name,SMILES,reason
"carbon, monatomic",,No SMILES
"4-(3-propynyl)-1,6-heptadiyn-4-ol",,No SMILES
"1,2,3,3a.alpha.,4,5,6,6a.alpha.-octahydro-1.alpha.,3.alpha.-dimethylpentalene",,No SMILES
"2,4-dimethyl(O-in)-cis-1,3-dioxadecalin",,No SMILES
"2,4-dimethyl(O-out)-cis-1,3-dioxadecalin",,No SMILES
"2,9-dimethyl(O-in)-cis-1,3-dioxadecalin",,No SMILES
"2,9-dimethyl(O-out)-cis-1,3-dioxadecalin",,No SMILES
"3-hydroxy-2,6,6-trimethyl-3-hepten-5-one",,No SMILES
2-(2-methylpropyl)-2-butenoic acid ethyl ester,,No SMILES
2-butyl-2-butenoic acid ethyl ester,,No SMILES
2-(2-methylpropyl)-3-oxobutanoic acid ethyl ester,,No SMILES
"2-butyl-3-hydroxy-2-butanoic acid, ethyl ester",,No SMILES
"2-butyl-3-hydroxy-2-butenoic acid, ethyl ester",,No SMILES
2-butyl-3-oxobutanoic acid ethyl ester,,No SMILES
2-ethyl-3-hydroxy-2-hexenoic acid ethyl ester,,No SMILES
2-ethyl-3-oxohexanoic acid ethyl ester,,No SMILES
"butyric acid, 4-methyl-2-pentanone-4-ol ester",,No SMILES
ethyl diethylacetoacetate,,No SMILES
"1,8-octanediyl diformate",,No SMILES
"2,2,5,5-tetramethyl-2,3-hexanedione",,No SMILES
"cis-2-(2-methanoic acid, methyl ester)-2-methyl-5-(1-methylethyl)-1,3-dioxane",,No SMILES
"d,l-2,3-di(1-methylethyl)butanoic",,No SMILES
"meso-2,3-di(1-methylethyl)butanoic",,No SMILES
"1,3-dioxane, 2,4-dimethyl-2-(2-methylpropyl)-, cis-",,No SMILES
"1,3-dioxane, 2,4-dimethyl-2-(2-methylpropyl)-, trans-",,No SMILES
"(3RS),4,(5RS)-trimethylheptane",,No SMILES
"(3RS)-ethyl-2,(4RS)-dimethylhexane",,No SMILES
"(3RS)-ethyl-2,(4SR)-dimethylhexane",,No SMILES
"2,(3RS,4RS),5-tetramethylhexane",,No SMILES
"2,(3RS,4SR),5-tetramethylhexane",,No SMILES
"(3-methyl-3-buten-1-ynl)benzene - to remove, see 500036328",,No SMILES
"1,6-methano(10)-annulene",,No SMILES
"1,5-methano(10)-annulene",,No SMILES
"1,4-endomethylenetetrahydronaphthalene",,No SMILES
cis-5-methyl-3-phenyl-2-furanone,,No SMILES
trans-5-methyl-3-phenyl-2-furanone,,No SMILES
benzyl crotane,,No SMILES
"3,3-dimethyl-2-phenyl-1-propanol",,No SMILES
"2-(p-tolyl)-2-methyl-1,3-propanediol",,No SMILES
"3-pentanol, 2-phenyl-, dl-",,No SMILES
"3-cyclohexene-1-methanol, alpha-vinyl-, acetate",,No SMILES
(+)-3-methyl-1-(2-methyl-1-propenyl)cyclohexene,,No SMILES
(+)-4-methyl-1-(2-methyl-1-propenyl)cyclohexene,,No SMILES
"(1,5-dimethyl-3-(1-methylethylidene)cyclohexene",,No SMILES
"1,2,5,5-tetramethylbicyclo[2.2.1]-2-heptene",,No SMILES
"1,4-endomethylenedecahydronaphthalene",,No SMILES
"(E,E,E)-1-tris(1-propenoxy)ethane",,No SMILES
"(E,E,Z)-1-tris(1-propenoxy)ethane",,No SMILES
"(E,Z,Z)-1-tris(1-propenoxy)ethane",,No SMILES
"(Z,Z,Z)-1-tris(1-propenoxy)ethane",,No SMILES
"4-ethylidenyl-2,2,6,6-tetramethyl-3,5,6-trihydro-2H-pyran",,No SMILES
D-mono-sec-butyl phthalate,,No SMILES
DL-mono-sec-butyl phthalate,,No SMILES
DL-mono-sec-butyl phthalate,,No SMILES
Butyl vinyl adipinate,,No SMILES
Vinyl methyl azelate,,No SMILES
"trans-1,3-cyclohexanedicarboxylic acid, diethyl diester",,No SMILES
(+)-1-ethylidene-2-(1-methylethyl)-5-methylcyclohexane,,No SMILES
"(E)-3,3-diethyl-1,5-octadiene",,No SMILES
"1,1-dimethyl-3-methylene-2-propylcyclohexane",,No SMILES
"3,3,6,6-tetramethyl-octanedioic anhydride",,No SMILES
Butyl vinyl adipinate,,No SMILES
Vinyl methyl azelate,,No SMILES
1-(1-methylethyl)-2-propylcyclohexene,,No SMILES
1-(1-methylpropyl)cyclooctene,,No SMILES
"cyclohexanemethanol, alpha-ethyl-2-methyl-, acetate",,No SMILES
"2-Propynoic acid, 1,4-phenylene ester",,No SMILES
tripropylene glycol n-propyl ether,,No SMILES
tripropylene glycol n-propyl ether,,No SMILES
"1,2-cyclopentanonaphthalene",,No SMILES
"1,2-cyclopentano-1,2,3,4-tetrahydronaphthalene",,No SMILES
"1,2,3,4,10,11-hexahydrofluorene",,No SMILES
"diethyl bicyclo[2.2.1]-5-heptene-2,3-dicarboxylate",,No SMILES
"1,2,3,4,5,6,7,8-octahydro-1,2-cyclopentanonaphthalene",,No SMILES
"7,7-dimethyl-2-butylbicyclo[3.1.1]-2-heptene",,No SMILES
trans-Stilbene ozonide,,No SMILES
"1,2,3,4,5,6,7,8-octahydro-12-methylphenanthrene",,No SMILES
"1,2,3,4,9,10,11,12-octahydrophenanthrene",,No SMILES
"4-phenyl-2-butanone, diethyl acetal",,No SMILES
"4a.alpha.,4b.alpha.,8a.alpha.,10a.beta.-tetradecahydrophenanthrene",,No SMILES
"4a.alpha.,4b.beta.,8a.alpha.,10a.beta.-tetradecahydrophenanthrene",,No SMILES
"1,3,6,8-tetramethyl-1,6-cyclodecadiene",,No SMILES
"1-(2-ethyl-1-butenyl)-2,3,3-trimethylcyclopentene",,No SMILES
"1-butyl-3-tert-butyl-1,3-cyclohexadiene",,No SMILES
d-3-methyl-1-(5-methylcyclohexyl)-1-cyclohexene,,No SMILES
.DELTA.-11-dodecahydrophenanthrene,,No SMILES
"phenanthrene, tetradecahydro-, trans-syn-trans-",,No SMILES
"trans,cis-2,5-bis(1,1-dimethylethyl)cyclohexanol",,No SMILES
"trans,trans-2,5-bis(1,1-dimethylethyl)cyclohexanol",,No SMILES
1-methyldecyl propanoate,,No SMILES
"2,2-dimethyldecyl ethanoate",,No SMILES
"2,4,5-trimethylundecanoic acid",,No SMILES
"2-ethyl-4,4-dimethylbutyl 3,3-dimethylbutanoate",,No SMILES
"2,2,3,3,5,5,6-heptamethyl-4-heptanone",,No SMILES
"anti-4,5-bis(1,1-dimethylethyl)-2-(1-methylethyl)-1,3-dioxolane",,No SMILES
tert-butyl peroxydecanoate,,No SMILES
dipropylene gycol di-tert-butyl ether,,No SMILES
"2,3-benzo-1,6-methano(10)-annulene",,No SMILES
"3,4-benzo-1,6-methano(10)-annulene",,No SMILES
"2,2-dimethyl-4,5-cyclohexanoindane",,No SMILES
"3,8-dimethyl-2,5-(dimethylendomethylene)bicyclo[4.4.0]decane",,No SMILES
"5,7,7-trimethyl-4-(3-methylbutyl)bicyclo[3.1.1]-2-heptene",,No SMILES
"2-(1-methylethyl)-1,1'-bicyclohexyl (low boiling isomer)",,No SMILES
2-cyclohexyl-2-(cyclohexan-4-ol)propane,,No SMILES
