SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
CC(C)c1ccc(C(=O)O)cc1,4-(1-methylethyl)benzoic acid,4-(1-methylethyl)benzoic acid,0,,,,,,,213.0,249.0,,,390.0,601.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(C)c1cccc(O)c(=O)c1,"2-hydroxy-4-(1-methylethyl)-2,4,6-cycloheptatrien-1-one","2-hydroxy-4-(1-methylethyl)-2,4,6-cycloheptatrien-1-one",0,,,,,,,211.0,245.0,,,324.6,610.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(=O)c1c(C)cc(C)cc1O,"1-(2-hydroxy-4,6-dimethylphenyl)ethanone","1-(2-hydroxy-4,6-dimethylphenyl)ethanone",0,,,,,,,216.0,247.0,,,333.1,525.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
c1ccc(C2OCCCO2)cc1,"2-phenyl-1,3-dioxane","2-phenyl-1,3-dioxane",0,,,,,,,187.0,221.0,,,321.6,501.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC=Cc1ccc(O)c(OC)c1,2-methoxy-4-(1-propenyl)phenol,2-methoxy-4-(1-propenyl)phenol,0,1.0692,1.0182,13.094,2.946,0.152,0.142,213.0,244.0,,,285.1,535.5,,313.15,373.15,wtt_bulk_complete,164.20399999999998,43.791499929041805,65.9151615316674,,
CC(C)c1ccccc1C(=O)O,2-(1-methylethyl)benzoic acid,2-(1-methylethyl)benzoic acid,0,,,,,,,216.8,252.1,,,336.2,555.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CCCc1cccc(C(=O)O)c1,3-propylbenzoic acid,3-propylbenzoic acid,0,,,,,,,203.0,235.0,,,316.1,559.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC1(c2ccccc2)OCCO1,"2-methyl-2-phenyl-1,3-dioxolane","2-methyl-2-phenyl-1,3-dioxolane",0,,,,,,,190.0,224.0,,,333.6,491.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(C)c1cccc(C(=O)O)c1,3-(1-methylethyl)benzoic acid,3-(1-methylethyl)benzoic acid,0,,,,,,,213.0,249.0,,,324.6,564.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC1=C(C)C(=O)C(C)=C(C)C1=O,"1,4-benzoquinone, tetramethyl-","1,4-benzoquinone, tetramethyl-",0,,,,,,,211.0,243.0,,,384.84,526.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C(=O)O)cc(C)c1C,.alpha.-isodurylic acid,.alpha.-isodurylic acid,0,,,,,,,205.0,236.0,,,,566.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C)c(C)c(C(=O)O)c1,"2,3,5-trimethylbenzoic acid","2,3,5-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,565.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
OOC1CCCc2ccccc21,"1,2,3,4-tetrahydro-1-hydroperoxynaphthalene","1,2,3,4-tetrahydro-1-hydroperoxynaphthalene",0,1.39,1.32,27.338,6.212,0.182,0.166,195.0,226.0,,,,590.0,,313.15,373.15,wtt_bulk_complete,164.20399999999998,43.20979909153958,63.960384929818495,,
Cc1cc(C)c(C(=O)O)cc1C,"2,4,5-trimethylbenzoic acid","2,4,5-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,563.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1ccc(C(=O)O)c(C)c1C,"2,3,4-trimethylbenzoic acid","2,3,4-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,563.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
Cc1cc(C)c(C(=O)O)c(C)c1,"2,4,6-trimethylbenzoic acid","2,4,6-trimethylbenzoic acid",0,,,,,,,205.0,236.0,,,,565.0,,313.15,373.15,wtt_bulk_partial_2of8,164.20399999999998,,,,
CC(=O)OC(C)c1ccccc1,.alpha.-methylbenzenemethyl acetate,.alpha.-methylbenzenemethyl acetate,0,1.116,1.055,1.971,0.796,0.15,0.14,199.0,233.0,306.0,330.4,,493.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,76.23610557748663,97.8733572716538,86.04522403701908,107.9774900734796
c1ccc(COCC2CO2)cc1,"1-(benzyloxy)-2,3-epoxypropane","1-(benzyloxy)-2,3-epoxypropane",0,1.168,1.11,2.312,0.892,0.171,0.16,205.0,236.0,310.0,330.7,,518.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,79.62176364558178,103.236779558999,89.44487808824175,113.51444784168902
c1ccc(C2CCOCO2)cc1,"1,3-dioxane, 4-phenyl-","1,3-dioxane, 4-phenyl-",0,1.0924,1.039,3.479,1.636,0.169,0.159,187.0,221.0,282.0,307.3,,517.0,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,67.00636407024028,83.11135879866444,75.2145883484513,91.18726380459988
CC(C)OC(=O)c1ccccc1,1-methylethyl benzoate,1-methylethyl benzoate,0,0.9936,0.9415,2.114,0.882,0.148,0.138,199.0,233.0,286.0,312.4,,490.84,,313.15,373.15,wtt_bulk_complete+cpsat2,164.20399999999998,70.81862567555069,90.02706004795272,78.42524591977185,97.76829887609756
CC=Cc1ccc(OC)cc1,1-methoxy-4-(1-propenyl)benzene,1-methoxy-4-(1-propenyl)benzene,0,0.9837,0.9322,1.931,0.762,0.151,0.141,193.0,222.0,279.0,300.0,294.64,506.3,,313.15,373.15,wtt_bulk_complete+cpsat2,148.20499999999998,74.96199824359007,96.41678369193538,83.15001775157187,104.93920198593489
