smiles,flashpoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_aldehyde,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_term_acetylene,fr_unbrch_alkane
C(CO)O,384.15,7.625,-0.125,7.625,0.125,0.40752789066641704,62.068000000000005,56.02,62.036779432,26,0,0.06622663964681728,-0.3939905415754596,0.3939905415754596,0.06622663964681728,1.0,1.25,1.25,16.30425825223958,10.818323674812085,1.5752986759502907,-1.6990667974042981,1.392607250745466,-1.8453009104147722,4.062481069474973,0.1859385623806979,1.9747448713915894,6.0,3.414213562373095,2.3086407533730107,2.3086407533730107,1.914213562373095,1.1324555320336755,1.1324555320336755,0.4472135954999578,0.4472135954999578,0.09999999999999996,0.09999999999999996,0.0,0.0,-0.08,6.854752972273345,3.9200000000000004,2.92,1.9199999999999995,24.69266064661818,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,10.213054789681411,0.0,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,23.426818718707246,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,15.25,0.0,0.0,0.0,0.0,-0.25,0.0,1.0,4,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-1.029,14.171600000000002,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)O,313.15,9.0,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,60.05200000000001,56.02,60.021129368000004,24,0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.36392906806316,10.854985217204096,1.6509951854331453,-1.5897739953032324,1.4156543939895587,-1.7770437432804953,5.624779759282926,-0.1339289924624054,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,37.3,5.969305287951849,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.09089999999999993,13.309800000000001,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC=O,233.15,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18,0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2052,11.738000000000001,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C(=O)C)O,314.15,9.893518518518519,-0.7870370370370374,9.893518518518519,0.1851851851851849,0.4878577781338866,88.106,80.042,88.052429496,36,0,0.15741111984993672,-0.3856390817220484,0.3856390817220484,0.15741111984993672,1.8333333333333333,2.0,2.0,16.27899473905322,10.296398709904446,1.9661529314460873,-1.901700621648495,1.7642546845532479,-2.0975987710988857,5.790165085818145,-0.1235281389856674,3.2575861612334887,56.568425030288566,5.1547005383792515,3.9328121551534467,3.9328121551534467,2.6427344100918364,1.8283484387635316,1.8283484387635316,1.286623879240057,1.286623879240057,0.5883303373356245,0.5883303373356245,0.0,0.0,-0.37,13.609640474436812,5.630000000000001,1.9247638412589243,1.9054820936639114,36.78983322325915,5.106527394840706,6.103966387748303,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,9.901064578912528,5.783244946364939,0.0,19.95144078712955,0.0,0.0,0.0,0.0,0.0,0.0,16.99373872895395,4.794537184071822,0.0,13.847474399381248,0.0,0.0,37.3,6.103966387748303,4.794537184071822,0.0,5.783244946364939,0.0,0.0,13.847474399381248,0.0,0.0,0.0,5.106527394840706,0.0,9.893518518518519,8.280092592592592,0.0,-0.1851851851851849,0.0,-0.7870370370370374,2.798611111111111,0.0,0.75,6,1,2,0,0,0,0,0,0,2,1,2,1,0,0,0,0,-0.043800000000000006,22.361799999999995,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CC(=O)C,255.15,9.444444444444445,0.16666666666666696,9.444444444444445,0.16666666666666696,0.3982369618339747,58.08,52.032,58.041864812,24,0,0.12626794356014373,-0.30034390268719197,0.30034390268719197,0.12626794356014373,1.5,1.5,1.5,16.136528004376032,10.550822254593742,1.6191254887288415,-1.5578363654489198,1.5007222223890127,-1.6913205217908898,5.717069246232807,-0.11449259533352314,2.8030394876740514,26.264662506490403,3.5773502691896257,2.908248290463863,2.908248290463863,1.7320508075688772,1.2041241452319316,1.2041241452319316,0.9082482904638631,0.9082482904638631,0.0,0.0,0.0,0.0,-0.33,3.2451124978365313,3.67,1.0445318352059925,6.883957759412302,25.63065735666653,4.794537184071822,5.783244946364939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,4.794537184071822,5.783244946364939,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,5.783244946364939,4.794537184071822,0.0,13.847474399381248,0.0,0.0,17.07,0.0,4.794537184071822,0.0,5.783244946364939,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,9.444444444444445,0.0,0.0,0.16666666666666696,0.0,0.0,3.0555555555555554,0.0,0.6666666666666666,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5952999999999999,16.355,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
C(CCC(=O)O)CC(=O)O,464.15,9.896551870748299,-0.8700103930461072,9.896551870748299,0.0627777777777776,0.5600766476893669,146.142,136.06199999999998,146.0579088,58,0,0.302839787989633,-0.4812303886150306,0.4812303886150306,0.302839787989633,0.9,1.2,1.4,16.368303746958908,10.178073298009096,1.9850888590073617,-1.9155969275208165,1.9818468222751913,-1.9691874058509673,5.674388687360017,-0.13887551333382342,3.0550899395377584,113.70950594454669,7.983127663125442,5.539350896673833,5.539350896673833,4.625897657686229,3.0625686671503685,3.0625686671503685,1.994583867633254,1.994583867633254,1.031284333575184,1.031284333575184,0.5524514503058252,0.5524514503058252,-1.06,116.61674541783222,8.94,4.784806790484913,6.9399999999999995,58.475473304292144,10.213054789681411,0.0,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,12.841643245852019,12.841643245852019,0.0,19.802129157825057,11.938610575903699,0.0,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,22.15166536558511,9.589074368143644,0.0,25.683286491704038,0.0,0.0,74.6,11.938610575903699,9.589074368143644,0.0,12.841643245852019,12.841643245852019,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,19.793103741496598,16.262565192743764,0.0,-1.740020786092214,0.0,1.017685185185185,0.0,0.0,0.6666666666666666,10,2,4,0,0,0,0,0,0,2,2,4,5,0,0,0,0,0.716,33.73959999999999,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C1=CC=C(C=C1)C=O,337.15,10.006481481481481,0.7291666666666669,10.006481481481481,0.7291666666666669,0.4956362681365689,106.12399999999997,100.07599999999998,106.041864812,40,0,0.14954802883036308,-0.2978964116504968,0.2978964116504968,0.14954802883036308,1.125,1.75,2.125,16.128918620598057,10.236032132295673,1.7947307206774124,-1.814861063410933,1.9099593255102678,-1.7250862341623157,5.7375750026284,0.11183469450156037,2.9910469146846217,167.00151696675914,5.819990956308912,4.3723499056016175,4.3723499056016175,3.931851652578137,2.4350609975132884,2.4350609975132884,1.5285347327207177,1.5285347327207177,0.9356552548998028,0.9356552548998028,0.5316063389306863,0.5316063389306863,-1.11,91.36757727918736,5.035137880986937,2.262450086021194,0.936277398677246,47.95786733393734,0.0,6.286160523129555,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,30.33183534230805,0.0,5.563451491696996,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,35.89528683400505,0.0,0.0,0.0,0.0,6.286160523129555,0.0,0.0,10.357988675768818,30.33183534230805,0.0,17.07,0.0,4.794537184071822,0.0,0.0,0.0,11.849612014826551,0.0,12.13273413692322,18.19910120538483,0.0,0.0,0.0,10.006481481481481,0.0,0.7291666666666669,0.0,9.097685185185185,0.8333333333333333,0.0,0.0,0.0,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1.4990999999999999,31.829499999999996,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CC=CC=C1,262.15,2.0,2.0,2.0,2.0,0.4426283718993647,78.11399999999999,72.06599999999999,78.046950192,30,0,-0.062268570782092456,-0.062268570782092456,0.062268570782092456,0.062268570782092456,0.3333333333333333,0.5,0.6666666666666666,13.646993161855445,10.379006838144555,1.5737245910733615,-1.6942617326375462,1.794093161855452,-1.4738931618554547,4.985993161855452,1.718006838144549,3.000000000000001,71.96100505779535,4.242640687119286,3.464101615137755,3.464101615137755,3.0,2.0000000000000004,2.0000000000000004,1.1547005383792521,1.1547005383792521,0.6666666666666671,0.6666666666666671,0.38490017945975075,0.38490017945975075,-0.78,34.3994618804395,3.4115708812260532,1.6057694396735218,0.5823992601400448,37.43140311949697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.6866,26.441999999999993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CC=C(C=C1)C(=O)[O-],394.15,10.089814814814815,-1.129074074074074,10.089814814814815,0.21990740740740766,0.5263180674240564,121.11499999999997,116.07499999999997,121.02950297991,46,0,0.0714811011359167,-0.5448151187546493,0.5448151187546493,0.0714811011359167,1.2222222222222223,1.7777777777777777,2.111111111111111,16.36552806487446,10.21585779679087,1.8542661497966302,-1.9740187270767555,1.9384699513914256,-2.2127953131048272,5.8496778119258925,-0.25455359903600017,2.9814546140411315,203.415952604261,6.69023444431199,4.703247926875855,4.703247926875855,4.304530452640311,2.568931892986823,2.568931892986823,1.653482882349704,1.653482882349704,1.0094913287441554,1.0094913287441554,0.5742356160406284,0.5742356160406284,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,52.75210108613335,9.901064578912528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,0.0,5.969305287951849,9.901064578912528,5.969305287951849,0.0,0.0,0.0,35.89528683400505,0.0,5.106527394840706,0.0,0.0,5.969305287951849,0.0,0.0,10.357988675768818,30.33183534230805,0.0,40.129999999999995,5.969305287951849,9.901064578912528,0.0,5.563451491696996,0.0,0.0,12.13273413692322,18.19910120538483,0.0,0.0,0.0,0.0,10.089814814814815,10.089814814814815,0.21990740740740766,-1.129074074074074,8.06287037037037,0.0,0.0,0.0,0.0,9,0,2,0,0,0,1,0,1,2,0,2,1,0,0,0,1,0.05009999999999992,30.772499999999997,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CC=C(C=C1)C(=O)O,394.15,10.200925925925926,-0.8790740740740739,10.200925925925926,0.3310185185185188,0.6106035394285075,122.12299999999996,116.07499999999997,122.036779432,46,0,0.3351782346710392,-0.47763925058011736,0.47763925058011736,0.3351782346710392,1.2222222222222223,1.7777777777777777,2.111111111111111,16.36552806487446,10.21585779679087,1.960773902753577,-1.8765596977532841,1.9553829899343609,-1.9306285909556449,5.868348678084368,0.06966674059501057,2.9814546140411315,203.415952604261,6.69023444431199,4.7422132319119505,4.7422132319119505,4.304530452640311,2.5884145455048704,2.5884145455048704,1.6711779681929224,1.6711779681929224,1.0207396434199782,1.0207396434199782,0.5807298335466442,0.5807298335466442,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,52.75210108613335,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,18.19910120538483,12.13273413692322,0.0,5.563451491696996,9.901064578912528,5.969305287951849,0.0,0.0,0.0,35.89528683400505,0.0,0.0,0.0,0.0,11.075832682792555,0.0,0.0,10.357988675768818,30.33183534230805,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,5.563451491696996,0.0,0.0,30.33183534230805,0.0,0.0,5.106527394840706,0.0,10.200925925925926,8.384814814814815,0.3310185185185188,-0.8790740740740739,8.295648148148148,0.0,0.0,0.0,0.0,9,1,2,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.3848,33.4013,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
