feature,mean_abs_shap
MolLogP,2.3409467
SMR_VSA1,1.0681522
fr_Al_OH_noTert,0.8556273
VSA_EState3,0.7047208
BCUT2D_MRHI,0.60611045
fr_ketone,0.47229528
fr_lactone,0.45379466
BCUT2D_MWHI,0.41051534
MinEStateIndex,0.27559888
SlogP_VSA3,0.26603407
PEOE_VSA6,0.25551695
MaxPartialCharge,0.21564634
BCUT2D_MRLOW,0.21288729
Kappa1,0.1924219
SMR_VSA5,0.19050512
fr_aldehyde,0.16986659
MolWt,0.15509729
Chi0n,0.14506175
BCUT2D_CHGHI,0.12670366
Kappa3,0.12523331
PEOE_VSA1,0.1032621
PEOE_VSA2,0.07194508
PEOE_VSA11,0.014150263
