n_features,rmse
127,0.0464540906257705
125,0.0464540906257705
123,0.0464540906257705
121,0.0464540906257705
119,0.0464540906257705
117,0.0464540906257705
115,0.0464540906257705
113,0.0464540906257705
111,0.0464540906257705
109,0.0464540906257705
107,0.0464540906257705
105,0.0464540906257705
103,0.0464540906257705
101,0.0464540906257705
99,0.0464540906257705
97,0.0464540906257705
95,0.0464540906257705
93,0.0464540906257705
91,0.0464540906257705
89,0.0464540906257705
87,0.0464540906257705
85,0.0464540906257705
83,0.0464540906257705
81,0.04645989995265236
79,0.0465057059465171
77,0.045593556215661336
75,0.045923967658851886
73,0.04567129376284891
71,0.04584611532291752
69,0.045510218508144164
67,0.04405200668585134
65,0.04425008578946777
63,0.04296753934860015
61,0.04321636877324148
59,0.044592133852930045
57,0.0441257453941822
55,0.0440494225961673
53,0.04429679377489784
51,0.04575157833074713
49,0.04601072457007032
47,0.04484484348130645
45,0.04530574982717939
43,0.045597143879231986
41,0.0456280508811431
39,0.04421672009463863
37,0.0444003761302125
35,0.04644729806014936
33,0.04483714403122094
31,0.04689162084540932
29,0.04713308778924923
27,0.04790826663753472
25,0.047920478141778224
23,0.04720427701480253
21,0.04803181912519419
19,0.046898705006010594
17,0.04715480411909899
15,0.04974653583165645
13,0.04918557994700736
11,0.047790492775433076
9,0.049686047924358205
7,0.05224639882936577
5,0.051351776341903216
3,0.05181578176853949
1,0.09651163709215016
