feature,mean_abs_shap
MaxPartialCharge,0.03343008
HallKierAlpha,0.0121015
RingCount,0.012076635
BertzCT,0.009442613
VSA_EState1,0.009304711
FractionCSP3,0.008161668
PEOE_VSA1,0.0076030707
BalabanJ,0.0065403488
SMR_VSA1,0.0059418348
Kappa3,0.004372183
Chi1,0.0034113908
VSA_EState3,0.0027264433
EState_VSA8,0.002717531
Chi4n,0.002095406
Chi0,0.002048954
PEOE_VSA7,0.0020007698
EState_VSA2,0.001972347
BCUT2D_MRLOW,0.0018839409
BCUT2D_LOGPLOW,0.0018317342
fr_unbrch_alkane,0.0017352741
SMR_VSA7,0.0016788244
Chi3n,0.001463162
FpDensityMorgan1,0.0010661393
Chi2n,0.0009696325
SMR_VSA6,0.0009688722
EState_VSA4,0.00091674353
VSA_EState6,0.00068433693
SMR_VSA10,0.00046357067
Kappa1,0.00041945314
PEOE_VSA8,0.00018589415
EState_VSA7,0.00012584282
