feature,mean_abs_shap
Chi2n,3.7361803
Chi3n,2.9393265
BCUT2D_CHGHI,1.7638975
BCUT2D_LOGPLOW,1.3302466
Chi4n,1.0843052
MinEStateIndex,0.99160105
VSA_EState4,0.97989804
PEOE_VSA7,0.8293876
SlogP_VSA8,0.78140265
Chi0,0.6497706
BertzCT,0.62656224
MinPartialCharge,0.53450024
BCUT2D_CHGLO,0.52340126
NumRotatableBonds,0.50101435
MolMR,0.4020709
EState_VSA8,0.37404147
Kappa2,0.35689175
BalabanJ,0.33194938
SMR_VSA5,0.32721063
VSA_EState6,0.29992265
BCUT2D_MRHI,0.27439797
MinAbsEStateIndex,0.24015373
EState_VSA3,0.23879057
PEOE_VSA1,0.23748115
Chi0n,0.22109765
VSA_EState3,0.20447245
PEOE_VSA6,0.20086725
SMR_VSA7,0.199831
EState_VSA5,0.17624217
SlogP_VSA3,0.15069191
VSA_EState9,0.025059577
