n_features,rmse
127,5.077470119104249
125,5.077470119104249
123,5.077470119104249
121,5.077470119104249
119,5.077470119104249
117,5.077470119104249
115,5.077470119104249
113,5.077470119104249
111,5.077470119104249
109,5.077470119104249
107,5.077470119104249
105,5.077470119104249
103,5.077470119104249
101,5.077470119104249
99,5.077470119104249
97,5.077470119104249
95,5.077470119104249
93,5.077470119104249
91,5.077470119104249
89,5.077470119104249
87,5.077470119104249
85,5.077470119104249
83,5.077470119104249
81,5.077470119104249
79,5.078723287414133
77,5.082724682504232
75,5.085495601545845
73,5.058293303177499
71,5.034285680676621
69,5.0289944325549
67,5.216537948227426
65,5.240995935724815
63,5.385227618793545
61,5.368284979321782
59,5.18380109201192
57,5.187537918294649
55,5.175546373439094
53,5.074970700794431
51,5.128130975278965
49,5.32654929773631
47,5.149846354462534
45,5.045746095542569
43,5.274891869105766
41,5.254473208039655
39,5.340463981175979
37,5.5245555555261046
35,5.500812754490462
33,5.340745315081878
31,5.177787788492167
29,5.310637072500116
27,5.09439251570594
25,5.119401953350716
23,5.300005034852627
21,5.017117990027466
19,5.267871496221129
17,5.176795542725536
15,4.964563822599185
13,5.29720588789681
11,5.332182764198988
9,6.105532110771224
7,5.980264988575631
5,6.229857064939865
3,8.0655285460248
1,9.244745720446979
