feature,mean_abs_shap
Chi0n,0.16650823
Kappa1,0.061978456
NumValenceElectrons,0.020959042
Chi1n,0.017954988
SlogP_VSA5,0.0060891653
SMR_VSA5,0.0050878366
MolLogP,0.0049355556
MolMR,0.0045753284
qed,0.0037734925
Kappa2,0.0022801254
Kappa3,0.0019531434
Chi2n,0.0018134462
MolWt,0.0016650615
NumRotatableBonds,0.001663774
MinEStateIndex,0.0014881464
VSA_EState8,0.0014386965
BCUT2D_MRHI,0.001277821
FpDensityMorgan2,0.0007811394
BertzCT,0.0007257236
BCUT2D_CHGLO,0.0007143528
Chi3n,0.0007118878
MinPartialCharge,0.0006186197
FractionCSP3,0.0005620756
MaxPartialCharge,0.00051201996
VSA_EState7,0.00048976595
Chi4n,0.00041385173
SMR_VSA10,0.00040240487
VSA_EState3,0.00039724712
BCUT2D_MWLOW,0.00039351502
BalabanJ,0.00038925503
EState_VSA4,0.0003726432
FpDensityMorgan1,0.00036126078
BCUT2D_LOGPLOW,0.00034826784
TPSA,0.0003158845
LabuteASA,0.0002908305
EState_VSA5,0.00028849038
MaxEStateIndex,0.00024228523
EState_VSA6,0.00021735858
PEOE_VSA7,0.00020020788
VSA_EState5,0.00019968397
MinAbsPartialCharge,0.0001957754
PEOE_VSA6,0.000183164
VSA_EState9,0.00016680015
Ipc,0.00016319512
fr_unbrch_alkane,0.00016116795
BCUT2D_CHGHI,0.0001591595
HallKierAlpha,0.0001494766
SlogP_VSA4,0.00013754138
VSA_EState6,0.00012843795
VSA_EState1,8.5989974e-05
VSA_EState2,6.7582456e-05
Chi1,3.5074114e-05
RingCount,1.4154326e-05
EState_VSA7,1.2562132e-05
EState_VSA2,9.38786e-06
NumSaturatedCarbocycles,0.0
SMR_VSA4,0.0
