feature,mean_abs_shap
Ipc,0.34294468
HeavyAtomMolWt,0.08190904
VSA_EState3,0.066197306
Chi1,0.06533592
BCUT2D_LOGPLOW,0.045288716
MinEStateIndex,0.04229338
BertzCT,0.040808897
qed,0.033699356
BCUT2D_CHGHI,0.032141883
BalabanJ,0.02848591
Chi3n,0.026287599
BCUT2D_MRHI,0.02484552
RingCount,0.024335636
BCUT2D_CHGLO,0.022357807
MolWt,0.020876816
VSA_EState5,0.020426044
Kappa2,0.020211922
BCUT2D_MWLOW,0.01987388
Chi2n,0.019496508
BCUT2D_MRLOW,0.018768355
MinPartialCharge,0.017578518
BCUT2D_LOGPHI,0.016897382
EState_VSA5,0.01547263
Kappa3,0.014633085
PEOE_VSA7,0.014435672
BCUT2D_MWHI,0.013901525
SMR_VSA5,0.013042672
VSA_EState1,0.012868482
MolMR,0.012443317
NumRotatableBonds,0.011926501
FpDensityMorgan3,0.010634161
EState_VSA8,0.009605186
MaxPartialCharge,0.009551912
FpDensityMorgan1,0.009041526
Chi0,0.007122534
FpDensityMorgan2,0.006428941
PEOE_VSA9,0.0055538286
MolLogP,0.0050581805
SMR_VSA10,0.0043021017
Kappa1,0.004286378
fr_allylic_oxid,0.004259126
VSA_EState2,0.0033757912
LabuteASA,0.003217847
fr_bicyclic,0.0027442672
PEOE_VSA1,0.0024934856
SMR_VSA4,0.0023444293
EState_VSA2,0.0022821033
