n_features,rmse
140,43.234696959239365
138,43.234696959239365
136,43.234696959239365
134,43.234696959239365
132,43.234696959239365
130,43.234696959239365
128,43.234696959239365
126,43.234696959239365
124,43.234696959239365
122,43.234696959239365
120,43.234696959239365
118,43.234696959239365
116,43.234696959239365
114,43.234696959239365
112,43.217397068220535
110,43.24244123513843
108,42.76581819419114
106,43.23739416059108
104,43.24884570116399
102,43.24884570116399
100,43.08212253923244
98,42.23010035806316
96,42.30237531854419
94,42.735106366264084
92,42.501366203529784
90,42.93403059145868
88,41.49653703666032
86,42.21099490958845
84,42.537053182181594
82,42.26855884108085
80,42.57936800529055
78,42.384317986494224
76,42.37268522101343
74,41.699956539627614
72,42.26498219448519
70,43.09230606301889
68,43.267672048503435
66,42.790009562570454
64,42.238429445806844
62,42.71610924579597
60,42.254265293390525
58,43.271782026877034
56,42.29473183746369
54,42.32991388556456
52,42.72997590698223
50,42.832025826818374
48,42.58787370112931
46,42.285559659504024
44,42.437447776341585
42,42.50981743807169
40,42.29883060089898
38,42.425419955153444
36,41.97441499129569
34,42.235928635349275
32,42.22105725592061
30,42.33262830762594
28,43.46138853134679
26,43.024690176742276
24,43.3122171280486
22,42.88090391300514
20,43.11645782716666
18,43.81571975385824
16,44.17275341644712
14,46.26538723725793
12,46.30137485563894
10,46.47948372192422
8,47.22872360340919
6,47.00305323540797
4,53.46659062522418
2,56.359228911570426
1,70.70837296939581
