feature,mean_abs_shap
BertzCT,34.72519
VSA_EState3,20.907093
TPSA,9.822183
HallKierAlpha,8.254131
RingCount,5.527794
FpDensityMorgan2,5.501987
FpDensityMorgan1,5.063813
NumRotatableBonds,4.5677676
BCUT2D_MRHI,4.171664
MinEStateIndex,4.1545963
MinPartialCharge,4.131128
FpDensityMorgan3,3.7983732
BCUT2D_LOGPHI,3.652383
BCUT2D_MRLOW,3.356941
fr_bicyclic,3.3219366
FractionCSP3,3.259999
PEOE_VSA6,3.1112967
PEOE_VSA1,2.8980134
VSA_EState8,2.840689
VSA_EState6,2.460317
EState_VSA8,2.457189
VSA_EState1,2.0987942
EState_VSA4,1.9989358
fr_ester,1.8836126
Kappa3,1.7991806
MolLogP,1.6756129
SlogP_VSA8,1.6174161
fr_COO,1.5649844
SlogP_VSA2,0.68319464
PEOE_VSA8,0.6680506
fr_para_hydroxylation,0.66162527
NumAliphaticHeterocycles,0.58707917
EState_VSA1,0.48857456
PEOE_VSA2,0.44383386
fr_lactone,0.38629737
NOCount,0.1819415
