n_features,rmse
127,0.011532421422753422
125,0.011532421422753422
123,0.011532421422753422
121,0.011532421422753422
119,0.011532421422753422
117,0.011532421422753422
115,0.011532421422753422
113,0.011532421422753422
111,0.011532421422753422
109,0.011532421422753422
107,0.011532421422753422
105,0.011532421422753422
103,0.011532421422753422
101,0.011532421422753422
99,0.011532421422753422
97,0.011532421422753422
95,0.011532421422753422
93,0.011532421422753422
91,0.011532421422753422
89,0.011532421422753422
87,0.011532421422753422
85,0.011532421422753422
83,0.011532421422753422
81,0.011532421422753422
79,0.011532421422753422
77,0.011567544321699387
75,0.011526219272925454
73,0.01152881908011707
71,0.01150406981239193
69,0.011606778323975615
67,0.011596958032692927
65,0.01153303746988366
63,0.011124158473592997
61,0.011198799797483809
59,0.011191447175564863
57,0.011246077523290716
55,0.011219256328190484
53,0.011163692701649986
51,0.01108626736358169
49,0.01105019352539604
47,0.01065473277775583
45,0.010685925128065219
43,0.010760779687413713
41,0.01116200633016622
39,0.010793954184090635
37,0.010793826881843766
35,0.011327683034616409
33,0.011329354206903109
31,0.011098922998830578
29,0.011364168451521627
27,0.011467632706202583
25,0.01154981081928559
23,0.011832045585068727
21,0.011194566234721872
19,0.011125581151427014
17,0.010512468302309414
15,0.011259685385050459
13,0.011064771354707917
11,0.01136507010951883
9,0.01133183582696441
7,0.012227769734824331
5,0.01962273561639544
3,0.01844729651821868
1,0.025189350271029018
