feature,mean_abs_shap
Kappa2,0.0052759233
MaxPartialCharge,0.004298409
VSA_EState8,0.0039534387
BCUT2D_MWLOW,0.0037880023
SlogP_VSA8,0.002854364
HallKierAlpha,0.0028228427
VSA_EState3,0.002777606
SlogP_VSA6,0.002742493
SlogP_VSA4,0.0021729644
fr_unbrch_alkane,0.0021658998
BCUT2D_MRHI,0.0021382335
VSA_EState4,0.002110708
VSA_EState1,0.0018705081
EState_VSA9,0.0012092789
BertzCT,0.0010402307
VSA_EState6,0.0010227571
SlogP_VSA2,0.0008949657
FpDensityMorgan1,0.0008387495
PEOE_VSA1,0.0007473687
PEOE_VSA6,0.00074008136
SMR_VSA1,0.000569523
EState_VSA6,0.0005315528
MinPartialCharge,0.00037174302
EState_VSA8,0.00035678875
EState_VSA4,0.0003126232
