feature,mean_abs_shap
BCUT2D_LOGPHI,0.54396224
SlogP_VSA10,0.3671662
SMR_VSA10,0.36222795
BCUT2D_MWHI,0.2334674
BCUT2D_CHGLO,0.2063521
VSA_EState4,0.1553468
BCUT2D_MRLOW,0.1477102
BCUT2D_MWLOW,0.13970615
BertzCT,0.11170871
SMR_VSA7,0.11035887
PEOE_VSA7,0.10593191
fr_NH0,0.09991825
MaxAbsPartialCharge,0.097625606
MinPartialCharge,0.09638713
PEOE_VSA8,0.09054547
SMR_VSA1,0.086564966
BalabanJ,0.08636319
EState_VSA8,0.078314066
fr_C_O,0.07248475
VSA_EState10,0.0708943
BCUT2D_CHGHI,0.07069447
BCUT2D_MRHI,0.07060084
MolLogP,0.06601447
MaxEStateIndex,0.065972365
Chi0v,0.06428861
BCUT2D_LOGPLOW,0.061525375
MinAbsPartialCharge,0.056633446
MinAbsEStateIndex,0.05559642
HallKierAlpha,0.055427574
EState_VSA6,0.055280365
fr_ester,0.05444524
Chi2v,0.052975155
Kappa2,0.04876319
qed,0.048718583
Kappa3,0.04798281
MinEStateIndex,0.047374655
VSA_EState5,0.0471896
FpDensityMorgan2,0.046273798
NumHeteroatoms,0.043649536
MaxPartialCharge,0.0429258
PEOE_VSA6,0.042061724
VSA_EState7,0.03985677
EState_VSA5,0.03800383
VSA_EState8,0.032275308
EState_VSA3,0.03152755
Chi4n,0.031266764
Kappa1,0.031120514
ExactMolWt,0.031075543
VSA_EState2,0.030638421
VSA_EState6,0.03004449
SlogP_VSA2,0.02993377
SMR_VSA5,0.029900901
PEOE_VSA14,0.029857283
NumAromaticRings,0.029221838
SMR_VSA3,0.025639554
SlogP_VSA5,0.025295876
fr_unbrch_alkane,0.02506605
TPSA,0.025048228
Chi0,0.024642875
HeavyAtomMolWt,0.023805734
FractionCSP3,0.023295287
Chi0n,0.021239767
MolMR,0.018971285
VSA_EState1,0.018253408
EState_VSA2,0.018140765
VSA_EState3,0.01776367
SMR_VSA6,0.016082633
fr_Al_OH,0.01563994
NumValenceElectrons,0.014581893
PEOE_VSA11,0.013915175
NumRotatableBonds,0.012473259
SlogP_VSA12,0.01113665
Chi1n,0.010799911
PEOE_VSA2,0.009133382
fr_ether,0.008026053
fr_allylic_oxid,0.0055548917
fr_amide,0.00553364
fr_methoxy,0.005391586
fr_COO,0.0018506057
