feature,mean_abs_shap
HeavyAtomMolWt,30.21074
Ipc,7.7331176
VSA_EState3,6.5837526
TPSA,6.437493
NHOHCount,3.82984
VSA_EState8,3.6874037
HallKierAlpha,3.2850974
MaxEStateIndex,2.9262834
BertzCT,2.6704173
Chi1,1.7223657
SMR_VSA1,1.3627293
BCUT2D_MRHI,1.1096271
BCUT2D_MWHI,0.8918296
BCUT2D_MRLOW,0.8165598
VSA_EState4,0.7127893
PEOE_VSA1,0.6910436
SMR_VSA10,0.64681005
FpDensityMorgan1,0.5392959
fr_lactone,0.5329005
MolLogP,0.5060985
VSA_EState5,0.4931229
PEOE_VSA10,0.4678519
MinEStateIndex,0.46691433
BCUT2D_LOGPLOW,0.44630542
BalabanJ,0.42524272
Kappa2,0.40087247
MaxPartialCharge,0.3946731
VSA_EState7,0.39462703
VSA_EState1,0.3847614
fr_COO,0.38454613
BCUT2D_LOGPHI,0.38328654
FractionCSP3,0.3793471
NumRadicalElectrons,0.360995
Chi4n,0.3579514
EState_VSA4,0.3462875
EState_VSA9,0.34491476
EState_VSA5,0.33553305
BCUT2D_CHGHI,0.33271837
fr_Al_OH_noTert,0.31202066
Kappa3,0.3073926
MolWt,0.28332376
LabuteASA,0.24820708
EState_VSA2,0.2400006
Chi3n,0.23739888
Chi1n,0.23412889
MinPartialCharge,0.2281242
MolMR,0.21893176
FpDensityMorgan3,0.21397316
MinAbsPartialCharge,0.20086624
PEOE_VSA7,0.19480257
MaxAbsPartialCharge,0.19287263
fr_unbrch_alkane,0.19150312
fr_allylic_oxid,0.18315923
RingCount,0.17729661
fr_Al_COO,0.17451128
SMR_VSA7,0.17240536
VSA_EState9,0.16383141
fr_aryl_methyl,0.1606977
SlogP_VSA5,0.159827
EState_VSA1,0.15775469
SlogP_VSA3,0.15369625
SlogP_VSA6,0.15296099
VSA_EState6,0.15099433
fr_C_O_noCOO,0.14735934
EState_VSA3,0.14588366
BCUT2D_MWLOW,0.13865864
EState_VSA8,0.13527197
PEOE_VSA9,0.133807
VSA_EState2,0.1333212
NumSaturatedHeterocycles,0.13249582
PEOE_VSA8,0.11776821
Kappa1,0.1159258
fr_bicyclic,0.11443304
PEOE_VSA6,0.10984463
PEOE_VSA11,0.10564386
EState_VSA6,0.086874716
EState_VSA7,0.08255087
Chi2n,0.07837531
SlogP_VSA8,0.07739022
SlogP_VSA4,0.071088105
fr_furan,0.06901959
SlogP_VSA1,0.06747008
SMR_VSA6,0.041662313
NumAliphaticCarbocycles,0.03702258
fr_para_hydroxylation,0.032902516
NumAliphaticRings,0.027143467
NumAromaticHeterocycles,0.015767563
