feature,mean_abs_shap
NR-AR,0.9344056
NR-PPAR-gamma,0.45503926
NR-ER-LBD,0.35168388
SR-p53,0.30936867
NR-ER,0.20137462
EState_VSA4,0.1401736
SR-ATAD5,0.1387407
BalabanJ,0.13779445
NumAliphaticCarbocycles,0.11857045
MolLogP,0.113653846
EState_VSA5,0.10661125
EState_VSA8,0.10300005
fr_bicyclic,0.102424905
BCUT2D_MRLOW,0.10206308
MinPartialCharge,0.098784946
VSA_EState7,0.09863849
MaxAbsPartialCharge,0.084542364
PEOE_VSA11,0.081814006
BCUT2D_CHGLO,0.07268486
EState_VSA6,0.06978678
EState_VSA2,0.06882531
TPSA,0.068704285
SMR_VSA10,0.0682681
VSA_EState8,0.0671651
SlogP_VSA1,0.0654988
EState_VSA10,0.0653404
VSA_EState4,0.06491544
MinAbsEStateIndex,0.06442808
VSA_EState3,0.0636452
MinAbsPartialCharge,0.06287028
Chi3v,0.061481312
MaxEStateIndex,0.05888608
EState_VSA9,0.055508144
Chi2v,0.05395743
EState_VSA7,0.052759446
BCUT2D_LOGPLOW,0.052141048
BCUT2D_MRHI,0.050242838
PEOE_VSA1,0.050052427
VSA_EState9,0.049618214
SMR_VSA6,0.04951958
SR-HSE,0.045485277
HeavyAtomMolWt,0.04522328
SlogP_VSA6,0.04450562
BCUT2D_MWHI,0.04396363
PEOE_VSA7,0.043738335
PEOE_VSA6,0.04179044
PEOE_VSA8,0.041128855
SMR_VSA7,0.039782472
Chi2n,0.038024113
Ipc,0.036584016
Chi4v,0.035952773
SMR_VSA5,0.034894787
NR-Aromatase,0.0344965
PEOE_VSA9,0.03430674
MinEStateIndex,0.034110136
FpDensityMorgan3,0.034084193
Chi1n,0.033838976
Chi1v,0.033357263
Kappa2,0.033196904
FpDensityMorgan1,0.03289043
fr_NH0,0.032602817
SlogP_VSA4,0.032594003
qed,0.03165766
SR-ARE,0.031516645
SR-MMP,0.029552575
EState_VSA3,0.029376892
NumRotatableBonds,0.029312706
MaxPartialCharge,0.028621756
Chi4n,0.025625303
PEOE_VSA2,0.02249324
FractionCSP3,0.021572705
BCUT2D_MWLOW,0.020771427
FpDensityMorgan2,0.02036218
BCUT2D_CHGHI,0.020032272
Chi3n,0.019121395
NR-AhR,0.019011091
PEOE_VSA10,0.01584199
VSA_EState10,0.014452436
VSA_EState6,0.014093267
NumAliphaticHeterocycles,0.014068361
RingCount,0.012780141
SlogP_VSA2,0.012728292
fr_ketone,0.01160507
fr_NH1,0.011466198
SlogP_VSA8,0.009931637
fr_ketone_Topliss,0.009854162
VSA_EState1,0.00975918
BertzCT,0.008683612
SlogP_VSA10,0.008080595
PEOE_VSA12,0.008065973
PEOE_VSA13,0.00763594
SMR_VSA4,0.0050981636
fr_para_hydroxylation,0.0024946046
fr_allylic_oxid,0.0018601487
PEOE_VSA14,0.0014567228
NumHDonors,0.0014420666
fr_sulfonamd,0.0013164547
fr_C_S,0.0
fr_nitrile,0.0
fr_nitro_arom_nonortho,0.0
fr_pyridine,0.0
