feature,mean_abs_shap
NR-AR-LBD,0.17121448
NR-Aromatase,0.082641535
BCUT2D_MWLOW,0.08033098
BertzCT,0.04236693
MaxEStateIndex,0.031699207
NR-ER,0.028361838
BCUT2D_CHGLO,0.025989356
SR-ATAD5,0.023466062
SR-MMP,0.023110893
fr_allylic_oxid,0.022727275
EState_VSA8,0.019334717
SMR_VSA4,0.016646834
VSA_EState6,0.015171368
SMR_VSA6,0.014948529
SR-p53,0.014074126
PEOE_VSA11,0.011747231
NR-PPAR-gamma,0.010406212
SMR_VSA9,0.009823538
NR-AhR,0.0074270144
fr_Ar_COO,0.003402945
RingCount,0.00324447
fr_NH0,0.0014677774
fr_benzene,0.0013410635
