feature,mean_abs_shap
FractionCSP3,0.72083473
NR-Aromatase,0.49127626
SR-MMP,0.3810168
SR-ARE,0.23499152
MolLogP,0.20196283
BCUT2D_LOGPHI,0.20022282
NumAromaticRings,0.19193107
SlogP_VSA8,0.16572154
NR-ER,0.1643138
VSA_EState4,0.16278863
Kappa3,0.15831675
BCUT2D_MRLOW,0.15353742
SMR_VSA10,0.14673434
SlogP_VSA1,0.13763498
TPSA,0.13671376
SMR_VSA5,0.13541307
BCUT2D_CHGLO,0.12945352
SlogP_VSA3,0.1261623
BertzCT,0.1147154
VSA_EState6,0.11282508
fr_bicyclic,0.111460276
FpDensityMorgan3,0.10729706
EState_VSA6,0.10188571
BCUT2D_MRHI,0.100340486
PEOE_VSA6,0.10016229
PEOE_VSA9,0.10008389
fr_aniline,0.09333205
qed,0.09219243
MaxPartialCharge,0.09159514
BCUT2D_MWLOW,0.08490278
EState_VSA5,0.084174335
BCUT2D_LOGPLOW,0.08282155
SlogP_VSA11,0.07859918
VSA_EState8,0.078589804
MinEStateIndex,0.07661746
BalabanJ,0.0721289
EState_VSA9,0.0716221
PEOE_VSA1,0.071436204
PEOE_VSA7,0.07100486
EState_VSA8,0.06791259
BCUT2D_MWHI,0.066661075
VSA_EState5,0.06518247
EState_VSA1,0.0650838
Kappa2,0.06441161
BCUT2D_CHGHI,0.06316928
FpDensityMorgan1,0.05974592
MinPartialCharge,0.054853514
EState_VSA7,0.053616144
SR-ATAD5,0.052994918
Chi3v,0.0504531
SlogP_VSA10,0.05015241
NHOHCount,0.04786504
Chi4n,0.047269452
MaxAbsPartialCharge,0.044565294
SMR_VSA1,0.04309462
NumHeteroatoms,0.042714912
HeavyAtomMolWt,0.04154615
PEOE_VSA10,0.041386824
PEOE_VSA3,0.038230795
Kappa1,0.03812005
fr_Ar_N,0.031689845
VSA_EState10,0.030803297
NumValenceElectrons,0.026336782
fr_Ar_NH,0.022294242
NumHAcceptors,0.02084428
fr_ketone,0.018783152
NR-PPAR-gamma,0.01859521
PEOE_VSA14,0.01712761
SlogP_VSA12,0.015106688
fr_hdrzine,0.0068875533
fr_aldehyde,0.001689217
fr_thiazole,0.0016362807
fr_hdrzone,0.0011310199
