feature,mean_abs_shap
SR-ARE,0.27756932
NR-ER,0.2588953
BCUT2D_LOGPHI,0.24511422
MolLogP,0.21471487
SR-MMP,0.1931841
BertzCT,0.17409785
MolMR,0.16964003
MinAbsPartialCharge,0.15174317
NR-PPAR-gamma,0.1454823
SR-p53,0.14328335
NR-AhR,0.12741107
PEOE_VSA10,0.124570765
VSA_EState1,0.11412667
VSA_EState7,0.112571284
SMR_VSA7,0.10292978
EState_VSA2,0.10036959
MinAbsEStateIndex,0.100003965
MinPartialCharge,0.09893904
FpDensityMorgan1,0.09678925
SlogP_VSA6,0.09436046
NR-ER-LBD,0.09294774
EState_VSA8,0.09255637
VSA_EState2,0.089530386
fr_Ar_N,0.088897474
EState_VSA5,0.08064625
VSA_EState4,0.07655365
EState_VSA9,0.07197181
EState_VSA6,0.07110808
MaxPartialCharge,0.06964758
BCUT2D_LOGPLOW,0.06959353
SlogP_VSA2,0.06779361
TPSA,0.06512595
SR-ATAD5,0.06384278
Ipc,0.05827506
BCUT2D_MRLOW,0.05736106
PEOE_VSA9,0.05343231
Chi4v,0.053393926
BCUT2D_MWLOW,0.053391702
SMR_VSA5,0.050057456
BCUT2D_MRHI,0.04964561
BCUT2D_CHGLO,0.049585246
fr_NH1,0.047024116
EState_VSA10,0.046095062
SlogP_VSA4,0.045256145
MaxEStateIndex,0.044779345
SMR_VSA4,0.04266347
SlogP_VSA1,0.04255231
BalabanJ,0.042084917
EState_VSA4,0.04119974
EState_VSA1,0.040958885
HallKierAlpha,0.03822136
Kappa3,0.035381828
BCUT2D_CHGHI,0.03461362
EState_VSA7,0.034562673
SlogP_VSA5,0.033862207
Chi3v,0.0338468
PEOE_VSA8,0.032307632
Chi0v,0.032186516
PEOE_VSA11,0.031764455
HeavyAtomMolWt,0.030672865
BCUT2D_MWHI,0.030616634
NumAliphaticRings,0.030568216
MinEStateIndex,0.030326935
Chi2v,0.029650709
Kappa2,0.028264776
qed,0.027390959
SlogP_VSA8,0.026855117
Chi4n,0.02643808
PEOE_VSA3,0.025697365
SMR_VSA6,0.025617158
VSA_EState8,0.025042532
VSA_EState5,0.024254113
MaxAbsPartialCharge,0.023667807
NumHAcceptors,0.023244146
NR-AR-LBD,0.022481645
EState_VSA3,0.02176986
SR-HSE,0.021088827
VSA_EState9,0.02108181
LabuteASA,0.02054199
PEOE_VSA6,0.020452408
fr_bicyclic,0.020374613
Chi3n,0.020204175
PEOE_VSA7,0.019929962
VSA_EState10,0.019435294
SMR_VSA9,0.01933167
fr_Ndealkylation2,0.018633604
Kappa1,0.017470635
Chi2n,0.017220473
fr_nitro_arom,0.015620056
Chi1n,0.015328146
NumRotatableBonds,0.015103984
fr_ArN,0.014883368
SMR_VSA10,0.013881405
VSA_EState3,0.013590112
Chi1v,0.013383784
fr_unbrch_alkane,0.0133699365
VSA_EState6,0.012550251
FpDensityMorgan3,0.011703447
FpDensityMorgan2,0.010866056
fr_NH0,0.010569581
SMR_VSA3,0.009948355
FractionCSP3,0.009804812
fr_allylic_oxid,0.009647921
PEOE_VSA4,0.009579161
fr_COO,0.009431246
PEOE_VSA1,0.0089109335
SMR_VSA1,0.008591965
SlogP_VSA12,0.008382262
PEOE_VSA14,0.007613435
SlogP_VSA10,0.006061567
Chi0n,0.0060520982
fr_ester,0.005671671
PEOE_VSA12,0.0054797363
PEOE_VSA13,0.0054532248
NumHeteroatoms,0.0050848806
fr_imidazole,0.003860847
SlogP_VSA11,0.0016714904
NumHDonors,0.001091104
fr_nitrile,0.0009775885
NHOHCount,0.0007488334
fr_sulfonamd,0.00053764356
fr_epoxide,0.0
fr_piperzine,0.0
fr_pyridine,0.0
NR-AR,0.0
