feature,mean_abs_shap
NR-ER,1.9803703
BalabanJ,0.35995072
SR-p53,0.23189972
EState_VSA9,0.22670864
EState_VSA5,0.223655
SR-ATAD5,0.22325025
MolLogP,0.17268816
FpDensityMorgan1,0.16563988
SR-HSE,0.1586468
NR-AR-LBD,0.15006419
VSA_EState4,0.13828018
BCUT2D_MWLOW,0.13432287
NR-AhR,0.12601593
Chi4v,0.12535252
BCUT2D_MRLOW,0.12469602
PEOE_VSA6,0.12203907
HeavyAtomMolWt,0.11597015
EState_VSA6,0.11324893
EState_VSA8,0.10695242
BertzCT,0.104476824
PEOE_VSA8,0.10234539
MinEStateIndex,0.0965535
PEOE_VSA9,0.09558655
SR-MMP,0.09437582
HallKierAlpha,0.09428822
BCUT2D_LOGPLOW,0.093547925
VSA_EState1,0.09352543
PEOE_VSA7,0.09245501
Kappa2,0.09086582
EState_VSA7,0.08867142
qed,0.08821971
MaxAbsPartialCharge,0.088123865
SR-ARE,0.08559408
BCUT2D_MWHI,0.08190505
BCUT2D_CHGLO,0.07938168
Chi2n,0.07854084
MaxEStateIndex,0.07848942
EState_VSA3,0.07806091
TPSA,0.07424805
VSA_EState5,0.073549576
EState_VSA4,0.073239826
MinAbsPartialCharge,0.07159556
SMR_VSA6,0.07041443
SlogP_VSA2,0.0685135
SlogP_VSA1,0.066375986
VSA_EState3,0.064932324
BCUT2D_LOGPHI,0.06428777
Ipc,0.06364748
EState_VSA2,0.06206593
Chi0v,0.061399978
FpDensityMorgan2,0.058505923
SMR_VSA5,0.05552811
PEOE_VSA1,0.055149395
VSA_EState8,0.051905032
SMR_VSA10,0.050612602
fr_aniline,0.049137127
FpDensityMorgan3,0.04872608
BCUT2D_CHGHI,0.047796704
FractionCSP3,0.046682317
MolMR,0.046254072
MinAbsEStateIndex,0.045523815
SlogP_VSA5,0.043181635
BCUT2D_MRHI,0.042523667
MinPartialCharge,0.04204603
SlogP_VSA3,0.04169524
VSA_EState6,0.03896072
PEOE_VSA10,0.03862997
fr_amide,0.03776965
MaxPartialCharge,0.03699356
Chi4n,0.03693972
VSA_EState7,0.035892837
Chi3v,0.034373272
MolWt,0.033807527
PEOE_VSA3,0.033369012
EState_VSA1,0.032537233
Chi0n,0.032470424
Kappa1,0.029534869
Kappa3,0.02785259
SMR_VSA7,0.027214333
NR-PPAR-gamma,0.026212431
NR-Aromatase,0.026031535
VSA_EState9,0.024720075
SMR_VSA1,0.023480248
fr_bicyclic,0.023178216
NumHeteroatoms,0.022193203
fr_phenol,0.021674132
NHOHCount,0.021455364
fr_Ar_OH,0.020780757
NumRotatableBonds,0.020554056
PEOE_VSA13,0.019960042
Chi1,0.019352978
NumAliphaticHeterocycles,0.019041453
VSA_EState2,0.017580777
SMR_VSA9,0.01751365
SlogP_VSA8,0.016824955
PEOE_VSA14,0.015830101
fr_allylic_oxid,0.014618923
Chi3n,0.013404698
SlogP_VSA6,0.013016494
Chi0,0.01208589
SlogP_VSA4,0.011953277
SMR_VSA3,0.011251858
PEOE_VSA2,0.009467143
fr_NH0,0.0068642385
NumValenceElectrons,0.0065277414
SlogP_VSA12,0.0064533725
PEOE_VSA11,0.0062450417
NumHAcceptors,0.0054552504
PEOE_VSA12,0.0053805737
NumAliphaticCarbocycles,0.004717783
fr_phenol_noOrthoHbond,0.0046311147
NOCount,0.0033940987
VSA_EState10,0.0024659703
SMR_VSA4,0.0017057509
NumAromaticRings,0.0016630489
NumAromaticHeterocycles,0.0016264407
fr_piperdine,0.0
fr_nitro_arom,0.0
fr_sulfide,0.0
fr_para_hydroxylation,0.0
NR-AR,0.0
fr_methoxy,0.0
fr_ketone_Topliss,0.0
fr_COO,0.0
SlogP_VSA7,0.0
PEOE_VSA4,0.0
fr_sulfonamd,0.0
