feature,mean_abs_shap
SR-p53,0.5600444
NR-AR-LBD,0.41740966
NR-Aromatase,0.2765544
MolLogP,0.26336575
SR-ARE,0.19738978
SR-HSE,0.16392769
VSA_EState3,0.1492799
fr_COO,0.14917193
SR-MMP,0.11059482
VSA_EState6,0.108261235
SR-ATAD5,0.10530477
SMR_VSA6,0.097697474
MinPartialCharge,0.09209811
MinAbsEStateIndex,0.091046505
SMR_VSA10,0.09082116
fr_Al_COO,0.08541579
PEOE_VSA6,0.08395231
Chi4v,0.08352484
VSA_EState2,0.07849181
MinAbsPartialCharge,0.0777517
BCUT2D_LOGPHI,0.072074674
BCUT2D_MRHI,0.069610186
BCUT2D_MRLOW,0.06679971
BCUT2D_LOGPLOW,0.06495584
SlogP_VSA6,0.060649864
qed,0.05704851
BCUT2D_CHGLO,0.05510448
EState_VSA5,0.054702833
MinEStateIndex,0.053670734
FpDensityMorgan3,0.052823078
PEOE_VSA2,0.051096335
MaxEStateIndex,0.04848611
VSA_EState7,0.04677999
EState_VSA4,0.0464919
VSA_EState4,0.042601928
PEOE_VSA8,0.04220268
BCUT2D_CHGHI,0.041447777
FpDensityMorgan2,0.041255962
BalabanJ,0.04094276
SMR_VSA7,0.040537793
SlogP_VSA2,0.040062767
EState_VSA3,0.039734434
BCUT2D_MWLOW,0.038979232
VSA_EState8,0.037801933
SlogP_VSA8,0.037149854
Chi0,0.035763394
VSA_EState5,0.0344579
EState_VSA7,0.03405132
PEOE_VSA10,0.0328508
HeavyAtomMolWt,0.032798596
Kappa1,0.03278283
MaxAbsPartialCharge,0.03214875
SlogP_VSA3,0.031871807
SlogP_VSA4,0.029418653
BCUT2D_MWHI,0.029262338
Kappa3,0.028463699
EState_VSA9,0.02684261
fr_unbrch_alkane,0.026645305
FractionCSP3,0.026593948
Chi2v,0.026065
TPSA,0.025925945
BertzCT,0.02451832
SMR_VSA5,0.024443613
EState_VSA8,0.023349764
PEOE_VSA7,0.02247365
SlogP_VSA5,0.022423875
VSA_EState1,0.02203249
Chi1v,0.022030927
SMR_VSA3,0.021989979
HallKierAlpha,0.021124365
MolMR,0.020865472
EState_VSA2,0.020231355
Kappa2,0.018918347
NR-ER-LBD,0.01851294
Chi1,0.015745174
MolWt,0.015399013
PEOE_VSA11,0.015310235
Chi3n,0.014890831
SlogP_VSA10,0.014403864
PEOE_VSA1,0.014143411
EState_VSA6,0.013709143
NR-AR,0.011552866
SMR_VSA9,0.010496029
fr_N_O,0.009894264
Chi2n,0.009823325
fr_C_O,0.009031508
NR-AhR,0.008855638
NumRotatableBonds,0.008748964
fr_NH0,0.007915963
fr_tetrazole,0.0077940105
NumAromaticCarbocycles,0.007325533
Chi0n,0.0070203594
PEOE_VSA4,0.0070006815
NumAromaticRings,0.0068992884
fr_sulfide,0.0064991764
NumHAcceptors,0.0056609097
fr_phenol,0.0054259277
fr_imidazole,0.005013708
NumHeteroatoms,0.0048552994
fr_Ar_N,0.004686973
NumAromaticHeterocycles,0.0030647533
fr_NH2,0.0029099665
fr_phenol_noOrthoHbond,0.0028793723
