n_features,auc
213,0.8892649903288202
211,0.8892649903288202
209,0.8892649903288202
207,0.8892649903288202
205,0.8892649903288202
203,0.8892649903288202
201,0.8892649903288202
199,0.8892649903288202
197,0.8892649903288202
195,0.8892649903288202
193,0.8892649903288202
191,0.8892649903288202
189,0.8892649903288202
187,0.8892649903288202
185,0.8892649903288202
183,0.8892649903288202
181,0.8892649903288202
179,0.8892649903288202
177,0.8892649903288202
175,0.8892649903288202
173,0.8892649903288202
171,0.8892649903288202
169,0.8892649903288202
167,0.8892649903288202
165,0.8892649903288202
163,0.8892649903288202
161,0.8892649903288202
159,0.8892649903288202
157,0.8864668680590267
155,0.8864668680590267
153,0.8828211592376066
151,0.8828211592376066
149,0.8828211592376066
147,0.8828211592376066
145,0.8828211592376066
143,0.8849129593810444
141,0.880903223002195
139,0.880903223002195
137,0.8820985373698736
135,0.8839241084041467
133,0.8839241084041467
131,0.880414230760872
129,0.8804576967378784
127,0.8808869232608175
125,0.882353899984787
123,0.8883956707886902
121,0.8869667267946015
119,0.8866244322256754
117,0.8803435985482364
115,0.8870645252428662
113,0.8779421033186273
111,0.8869504270532241
109,0.8803598982896138
107,0.8795394779736162
105,0.8781322669680308
103,0.8821257036055029
101,0.8836198465651012
99,0.8837611109903722
97,0.8772901136635298
95,0.8842175037489404
93,0.8790341859909157
91,0.887151457196879
89,0.8816095451285506
87,0.8797622411057745
85,0.8713189750722622
83,0.8812944167952534
81,0.8705365874861453
79,0.8816910438354378
77,0.8747853867385303
75,0.8731988785777931
73,0.8754971421120119
71,0.8785832264794732
69,0.8739269336926521
67,0.8712429096125008
65,0.8748777519396693
63,0.8647936452741616
61,0.8680698932910265
59,0.8744322256753527
57,0.8685480190380979
55,0.872047030187121
53,0.8795612109621193
51,0.8777954056462304
49,0.870020429009193
47,0.8687707821702563
45,0.8661084910786083
43,0.8751711472844631
41,0.8710581792102232
39,0.8758340034338121
37,0.8701562601873384
35,0.8638210940386413
33,0.8657498967683046
31,0.8658476952165692
29,0.8638645600156477
27,0.857056701367005
25,0.8477223828048595
23,0.8505150718275271
21,0.8447503966270402
19,0.841164453524004
17,0.8378827722600135
15,0.8247669136983027
13,0.8287087344880795
11,0.8319958489991959
9,0.8142861799926108
7,0.7896246712885489
5,0.7954898615608632
3,0.7924798426531632
1,0.7086339730076282
