feature,mean_abs_shap
SR-MMP,0.28393164
NR-Aromatase,0.26748073
NR-PPAR-gamma,0.21887828
NR-ER,0.21384966
SR-p53,0.20783865
SR-HSE,0.20313467
NR-AhR,0.17181008
SMR_VSA10,0.16543148
VSA_EState7,0.12854792
HallKierAlpha,0.12361947
EState_VSA4,0.116092056
BCUT2D_CHGLO,0.10871876
SMR_VSA5,0.105393305
SlogP_VSA5,0.09887605
NR-AR,0.09824452
PEOE_VSA7,0.09228226
PEOE_VSA1,0.090271264
HeavyAtomMolWt,0.08261392
BertzCT,0.07559775
PEOE_VSA10,0.07164141
SlogP_VSA3,0.071629874
MolLogP,0.07022709
BCUT2D_LOGPHI,0.068771966
MinAbsPartialCharge,0.06555161
BCUT2D_MWLOW,0.06423933
qed,0.059294656
FractionCSP3,0.058391813
BalabanJ,0.05836719
fr_allylic_oxid,0.057497628
VSA_EState6,0.056818206
VSA_EState8,0.05183161
BCUT2D_CHGHI,0.050756242
EState_VSA2,0.048758
SlogP_VSA8,0.04641056
SR-ATAD5,0.04476335
VSA_EState5,0.043914232
VSA_EState3,0.043500364
EState_VSA8,0.04349052
PEOE_VSA8,0.042710006
FpDensityMorgan3,0.04136224
PEOE_VSA2,0.040021896
EState_VSA9,0.0393736
FpDensityMorgan1,0.038813677
ExactMolWt,0.038702317
NumHAcceptors,0.03854919
BCUT2D_MRHI,0.037988976
SlogP_VSA2,0.03769625
BCUT2D_MRLOW,0.03750033
SlogP_VSA6,0.03591061
PEOE_VSA9,0.03562897
MolWt,0.03556707
MinPartialCharge,0.03551615
Kappa2,0.034317106
VSA_EState1,0.03326027
MaxPartialCharge,0.03280537
Chi2v,0.032630183
BCUT2D_LOGPLOW,0.031913143
TPSA,0.031293776
PEOE_VSA12,0.031047748
BCUT2D_MWHI,0.030447902
PEOE_VSA3,0.029539477
SlogP_VSA10,0.02952669
EState_VSA5,0.028831674
SMR_VSA7,0.028299417
NR-AR-LBD,0.027382879
VSA_EState2,0.024685098
Kappa3,0.024508575
MinAbsEStateIndex,0.024145959
PEOE_VSA11,0.023934156
SMR_VSA6,0.023202026
VSA_EState4,0.023176115
Chi3v,0.022127157
Chi4n,0.022077218
MaxEStateIndex,0.022033991
SlogP_VSA1,0.02171214
Chi1n,0.021066288
EState_VSA1,0.02095295
EState_VSA6,0.020915382
LabuteASA,0.020550868
MaxAbsPartialCharge,0.020262359
SMR_VSA9,0.020152448
Chi4v,0.019654788
SMR_VSA1,0.019293359
MolMR,0.018765777
PEOE_VSA6,0.018733991
MinEStateIndex,0.018386079
FpDensityMorgan2,0.018358633
Chi1v,0.018347656
SlogP_VSA4,0.017986434
NOCount,0.017926516
fr_ester,0.01694609
EState_VSA3,0.015912509
Ipc,0.014905031
EState_VSA7,0.014504097
Chi0n,0.014118752
Chi2n,0.013812553
Chi3n,0.013471002
Kappa1,0.012601715
VSA_EState10,0.011794766
Chi0,0.011793074
Chi1,0.010730278
SMR_VSA3,0.010593937
Chi0v,0.0104330415
VSA_EState9,0.010269403
EState_VSA10,0.010068648
fr_Ar_NH,0.009609025
SMR_VSA4,0.009380035
SlogP_VSA12,0.009235978
fr_Ndealkylation1,0.009150335
NumHDonors,0.009069026
fr_NH0,0.008951777
NumHeteroatoms,0.008874186
fr_para_hydroxylation,0.008707171
NumRotatableBonds,0.008662167
PEOE_VSA14,0.008528331
PEOE_VSA4,0.008447671
NHOHCount,0.00828225
fr_phenol,0.008262532
NumAromaticRings,0.007391723
NumAromaticHeterocycles,0.007106841
PEOE_VSA13,0.0061576176
NumAliphaticRings,0.0060771997
fr_aniline,0.0058373776
fr_ketone,0.0057704113
fr_C_O,0.005769145
PEOE_VSA5,0.005488705
fr_Ar_N,0.005474523
NumValenceElectrons,0.0051808977
NR-ER-LBD,0.0049357344
fr_methoxy,0.004901507
fr_nitro,0.0038886936
NumAliphaticHeterocycles,0.0036047152
fr_C_O_noCOO,0.0032600088
NumAliphaticCarbocycles,0.002971924
fr_bicyclic,0.002681064
fr_alkyl_halide,0.002543972
SlogP_VSA11,0.0024744126
fr_halogen,0.0019195875
HeavyAtomCount,0.0019193854
fr_amide,0.0014233574
fr_NH1,0.0012220615
fr_aryl_methyl,0.0010988321
fr_Al_COO,0.00094374997
fr_NH2,0.0006383038
fr_piperdine,0.0003166539
fr_piperzine,0.0
NumRadicalElectrons,0.0
fr_C_S,0.0
fr_nitro_arom_nonortho,0.0
fr_imide,0.0
fr_furan,0.0
fr_Imine,0.0
fr_sulfonamd,0.0
