feature,mean_abs_shap
NR-Aromatase,1.279856
SR-p53,0.61281276
NR-ER,0.42452565
SR-ARE,0.3821337
NR-AhR,0.38054174
NR-ER-LBD,0.31397393
NR-AR-LBD,0.22705147
NR-PPAR-gamma,0.19707385
VSA_EState8,0.1563014
MinAbsPartialCharge,0.13354978
SMR_VSA10,0.1333502
VSA_EState2,0.11678712
MolLogP,0.1160962
HallKierAlpha,0.10965673
BCUT2D_MRHI,0.1074641
BCUT2D_LOGPHI,0.101477414
SR-MMP,0.09536706
SMR_VSA5,0.0942956
VSA_EState4,0.0915266
EState_VSA5,0.09065182
qed,0.09008093
PEOE_VSA6,0.086012565
FpDensityMorgan3,0.08394922
EState_VSA6,0.08050974
BCUT2D_MRLOW,0.07956858
VSA_EState3,0.075107604
BalabanJ,0.074225076
Kappa1,0.06973155
EState_VSA3,0.06964949
HeavyAtomMolWt,0.06784811
TPSA,0.067745484
PEOE_VSA9,0.06680891
MinAbsEStateIndex,0.06159347
SMR_VSA9,0.05910651
ExactMolWt,0.054777157
VSA_EState1,0.05398596
SMR_VSA7,0.053409643
BCUT2D_MWLOW,0.050205637
VSA_EState5,0.0478239
BCUT2D_LOGPLOW,0.045956094
BCUT2D_CHGLO,0.045869347
PEOE_VSA8,0.04556925
BCUT2D_CHGHI,0.043786537
fr_NH0,0.042973056
SlogP_VSA8,0.041715328
EState_VSA9,0.04136288
SlogP_VSA4,0.040926065
MaxEStateIndex,0.040064894
PEOE_VSA3,0.0399679
EState_VSA7,0.039488524
NumRotatableBonds,0.03893966
Kappa3,0.038103305
Chi4n,0.037495676
EState_VSA4,0.03615931
FractionCSP3,0.03548104
fr_Ar_NH,0.035196576
Kappa2,0.034959514
Chi1v,0.034910254
BCUT2D_MWHI,0.034634624
MinEStateIndex,0.033458967
BertzCT,0.032875225
PEOE_VSA7,0.032614347
FpDensityMorgan1,0.032524943
MaxPartialCharge,0.03195129
SlogP_VSA1,0.031686746
FpDensityMorgan2,0.0315736
SlogP_VSA2,0.030076152
PEOE_VSA10,0.029724674
VSA_EState6,0.028384537
SMR_VSA1,0.027422555
MinPartialCharge,0.027396433
EState_VSA8,0.027201595
VSA_EState7,0.02711486
SMR_VSA3,0.026756417
SlogP_VSA3,0.025395175
NR-AR,0.024744427
fr_para_hydroxylation,0.024663813
PEOE_VSA11,0.023925174
EState_VSA10,0.023747835
LabuteASA,0.02335483
VSA_EState9,0.02194046
Chi0n,0.021744868
MolMR,0.020873418
Chi2n,0.020641576
PEOE_VSA2,0.020283239
SMR_VSA6,0.020192947
MaxAbsPartialCharge,0.019769898
PEOE_VSA1,0.01706172
Chi1n,0.016741123
Chi4v,0.016712664
Chi1,0.015910342
Chi3n,0.015300405
Chi3v,0.015287624
NumHAcceptors,0.014350888
SlogP_VSA12,0.013708059
VSA_EState10,0.012964271
fr_pyridine,0.012823169
PEOE_VSA12,0.012707806
Ipc,0.012122506
SlogP_VSA11,0.011645044
SR-HSE,0.011617303
PEOE_VSA13,0.010666542
fr_bicyclic,0.009024846
PEOE_VSA14,0.008579992
RingCount,0.0077850535
SlogP_VSA10,0.0076024374
fr_Imine,0.006963277
fr_ArN,0.0068206904
NumSaturatedCarbocycles,0.006253074
fr_amide,0.0051670023
SlogP_VSA7,0.0044312645
fr_Al_COO,0.0037170623
fr_methoxy,0.0030902699
fr_ketone_Topliss,0.0
fr_term_acetylene,0.0
