n_features,auc
213,0.8543752769162606
211,0.8543752769162606
209,0.8543752769162606
207,0.8543752769162606
205,0.8543752769162606
203,0.8543752769162606
201,0.8543752769162606
199,0.8543752769162606
197,0.8543752769162606
195,0.8543752769162606
193,0.8543752769162606
191,0.8543752769162606
189,0.8543752769162606
187,0.8543752769162606
185,0.8543752769162606
183,0.8543752769162606
181,0.8543752769162606
179,0.8543752769162606
177,0.8543752769162606
175,0.8543752769162606
173,0.8543752769162606
171,0.8543752769162606
169,0.8543752769162606
167,0.8543752769162606
165,0.8543752769162606
163,0.8543752769162606
161,0.8543752769162606
159,0.8543752769162606
157,0.8543752769162606
155,0.8543752769162606
153,0.8543752769162606
151,0.8543752769162606
149,0.8543752769162606
147,0.8543752769162606
145,0.8543752769162606
143,0.8543752769162606
141,0.8520270270270269
139,0.8534448382809039
137,0.8586619406291537
135,0.8525033229951262
133,0.8490474080638015
131,0.8800066459902526
129,0.8800066459902526
127,0.8773814798404962
125,0.8849800620292424
123,0.8481723526805495
121,0.8680992467877714
119,0.8573770491803279
117,0.8590939299955692
115,0.8622840053167923
113,0.8663380593708463
111,0.8532233052724856
109,0.8532233052724856
107,0.8546521931767833
105,0.8474745237040319
103,0.8573327425786442
101,0.8493907842268499
99,0.8534005316792203
97,0.8565130704474966
95,0.8581967213114754
93,0.863325210456358
91,0.8682986264953478
89,0.8529906956136464
87,0.8605782011519716
85,0.851783340717767
83,0.8578533451484271
81,0.8625719982277359
79,0.8485821887461231
77,0.8603234381922907
75,0.863203367301728
73,0.8567678334071775
71,0.8618852459016393
69,0.8434315463003987
67,0.8535888347363757
65,0.8669915817456803
63,0.8632255206025697
61,0.8508750553832521
59,0.868520159503766
57,0.8599246787771379
55,0.8804386353566681
53,0.865983606557377
51,0.8804940186087726
49,0.8832631812140009
47,0.8611098803721755
45,0.8600022153300841
43,0.8675343376163047
41,0.8647097917589721
39,0.8662051395657953
37,0.8518719539211342
35,0.867002658396101
33,0.870923792645104
31,0.8558706247230837
29,0.840230394328755
27,0.8536331413380595
25,0.8590607000443065
23,0.8778134692069117
21,0.8691681435533896
19,0.8621953921134249
17,0.8667478954364201
15,0.8472751439964555
13,0.8515728843597696
11,0.8510135135135135
9,0.8318176783340718
7,0.8339610101905183
5,0.8471034559149312
3,0.8348969871510854
1,0.7647153300841826
