feature,mean_abs_shap
SR-ARE,0.5635644
SR-p53,0.47465828
NR-Aromatase,0.4357681
MolLogP,0.18420066
NR-AR,0.18315719
BCUT2D_MWHI,0.14407411
MaxEStateIndex,0.13584918
qed,0.11963005
MinEStateIndex,0.10768763
NR-AR-LBD,0.10377255
SlogP_VSA2,0.09437684
SMR_VSA10,0.090376
Kappa3,0.08751462
BalabanJ,0.08620098
VSA_EState7,0.08580728
Chi1v,0.08147386
BCUT2D_MRHI,0.07636452
BCUT2D_MRLOW,0.07361057
BCUT2D_LOGPLOW,0.073382325
NR-ER-LBD,0.072287604
BCUT2D_MWLOW,0.0713322
NR-PPAR-gamma,0.07031848
FractionCSP3,0.06814205
VSA_EState5,0.0624251
PEOE_VSA7,0.0624107
FpDensityMorgan3,0.059511684
FpDensityMorgan2,0.05897941
VSA_EState8,0.057212923
VSA_EState4,0.0557081
EState_VSA7,0.055268344
SMR_VSA7,0.051772792
BCUT2D_LOGPHI,0.05162014
PEOE_VSA3,0.04893724
MolWt,0.048080664
NumRotatableBonds,0.043562654
PEOE_VSA6,0.041589558
fr_C_S,0.038356908
SMR_VSA1,0.03741468
SlogP_VSA1,0.034594394
SlogP_VSA10,0.03326534
fr_allylic_oxid,0.029871017
SlogP_VSA11,0.02492122
SlogP_VSA4,0.023397297
fr_phenol_noOrthoHbond,0.01801769
fr_priamide,0.015817603
SlogP_VSA7,0.01563521
fr_Ar_OH,0.014986485
NumAliphaticHeterocycles,0.011848479
fr_ester,0.011393549
