n_features,auc
213,0.9628567618031475
211,0.9628567618031475
209,0.9628567618031475
207,0.9628567618031475
205,0.9628567618031475
203,0.9628567618031475
201,0.9628567618031475
199,0.9628567618031475
197,0.9628567618031475
195,0.9628567618031475
193,0.9628567618031475
191,0.9628567618031475
189,0.9628567618031475
187,0.9628567618031475
185,0.9628567618031475
183,0.9628567618031475
181,0.9628567618031475
179,0.9628567618031475
177,0.9628567618031475
175,0.9628567618031475
173,0.9628567618031475
171,0.9628567618031475
169,0.9628567618031475
167,0.9628567618031475
165,0.9628567618031475
163,0.9628567618031475
161,0.9628567618031475
159,0.9628567618031475
157,0.9628567618031475
155,0.9628567618031475
153,0.9640515248510715
151,0.9635180492575798
149,0.9618175958033253
147,0.9665410776206989
145,0.9665410776206989
143,0.9628234195785543
141,0.9628234195785543
139,0.9640959811505291
137,0.9633846803592069
135,0.9623677425091135
133,0.9664243798346225
131,0.9677691828932159
129,0.9689806170534365
127,0.9673023917489109
125,0.9641515515248511
123,0.9657241931181648
121,0.9654518982839868
119,0.9653129723481817
117,0.9641015381879612
115,0.9620398773006135
113,0.9655130256957412
111,0.9626511514181559
109,0.9642682493109275
107,0.9658297768293768
105,0.9657075220058682
103,0.9651295901129191
101,0.9639292700275629
99,0.9667300168933938
97,0.9651407041877834
95,0.9635680625944697
93,0.9639514981772918
91,0.963362452209478
89,0.9617620254290032
87,0.9633013247977238
85,0.9589723926380369
83,0.9622010313861474
81,0.9621121187872321
79,0.9607173023917489
77,0.9618509380279185
75,0.9620343202631814
73,0.961834266915622
71,0.9586667555792655
69,0.9644627456210545
67,0.9609673690761981
65,0.9617120120921135
63,0.9648684093536053
61,0.9607061883168846
59,0.9613563616964523
57,0.9584667022317063
55,0.9611618653863252
53,0.9595614386058504
51,0.9593169289588335
49,0.9569663021250111
47,0.9573386236329688
45,0.9548712990130701
43,0.9538043478260869
41,0.9546712456655109
39,0.9546990308526718
37,0.955738196852494
35,0.9538988174624345
33,0.9559882635369432
31,0.951631546190095
29,0.9463523606295011
27,0.9490530808215524
25,0.9490364097092558
23,0.9438294656352805
21,0.9378278652085001
19,0.9448408464479416
17,0.9389392726949408
15,0.9352994131768473
13,0.9032130790433005
11,0.9073697430425892
9,0.9039993998399574
7,0.8914127100560149
5,0.8852416199875524
3,0.8672562683382234
1,0.7168550502356184
