feature,mean_abs_shap
MolLogP,0.66871965
NR-Aromatase,0.65542334
SR-p53,0.5808407
NR-AhR,0.5503624
SR-ARE,0.5420777
NR-ER,0.32836762
NR-PPAR-gamma,0.32751143
SMR_VSA6,0.2715869
BCUT2D_LOGPHI,0.23537345
VSA_EState3,0.20786947
SMR_VSA3,0.20517573
SMR_VSA10,0.19604343
SlogP_VSA2,0.1930359
BertzCT,0.15974347
SlogP_VSA10,0.1485349
FpDensityMorgan1,0.14406511
MinPartialCharge,0.13603935
MaxAbsPartialCharge,0.13414285
NR-ER-LBD,0.13150966
PEOE_VSA7,0.11807289
FpDensityMorgan2,0.11475656
MolMR,0.11328414
BCUT2D_MRHI,0.107895955
FractionCSP3,0.10617315
PEOE_VSA6,0.105379924
SMR_VSA7,0.10202192
SR-ATAD5,0.09926126
HallKierAlpha,0.09900772
EState_VSA4,0.09734747
BCUT2D_MWLOW,0.09449229
fr_phenol_noOrthoHbond,0.091941595
SlogP_VSA5,0.09134464
VSA_EState4,0.0911633
SlogP_VSA3,0.090684794
NR-AR-LBD,0.08947908
Chi2v,0.087913014
MinAbsEStateIndex,0.08594081
MinEStateIndex,0.07906187
qed,0.07821571
TPSA,0.076524615
fr_COO,0.076140285
Kappa3,0.074511915
EState_VSA6,0.07448305
BCUT2D_MRLOW,0.07392912
VSA_EState6,0.07220355
Chi1v,0.07178994
PEOE_VSA9,0.07088436
EState_VSA9,0.07055595
VSA_EState7,0.07053192
Chi4v,0.070035234
VSA_EState2,0.06662115
BalabanJ,0.06542715
MaxPartialCharge,0.06499828
BCUT2D_LOGPLOW,0.06326555
SlogP_VSA11,0.06295605
FpDensityMorgan3,0.06266764
PEOE_VSA13,0.06256093
EState_VSA5,0.06207144
EState_VSA7,0.061694436
SMR_VSA1,0.06141044
NumSaturatedHeterocycles,0.060988236
MaxEStateIndex,0.06097419
fr_Ar_OH,0.059739612
Ipc,0.059385646
PEOE_VSA8,0.059085093
BCUT2D_MWHI,0.058687165
BCUT2D_CHGLO,0.05854493
VSA_EState8,0.058061082
EState_VSA2,0.057681564
NHOHCount,0.05609516
NumAromaticCarbocycles,0.05479243
VSA_EState9,0.054694247
fr_Al_COO,0.053111803
fr_aniline,0.053011745
VSA_EState5,0.052224748
BCUT2D_CHGHI,0.051125992
fr_COO2,0.05080073
SMR_VSA5,0.050712544
HeavyAtomMolWt,0.049012784
EState_VSA3,0.048372302
Kappa2,0.047886528
Chi1,0.047542207
EState_VSA8,0.046910197
SMR_VSA9,0.045400232
PEOE_VSA1,0.04176324
LabuteASA,0.041552626
SlogP_VSA6,0.04097997
MinAbsPartialCharge,0.039041854
Chi0v,0.038360015
PEOE_VSA3,0.036569092
Chi3v,0.034172818
NumRotatableBonds,0.033376124
EState_VSA1,0.032764964
fr_Ar_N,0.03262007
PEOE_VSA2,0.031559862
Chi0,0.031553786
Chi3n,0.0314717
MolWt,0.030936101
PEOE_VSA10,0.029349865
PEOE_VSA12,0.028977508
NumHDonors,0.028290758
SR-HSE,0.027921444
SlogP_VSA4,0.027209515
NOCount,0.026331982
Chi0n,0.02631329
fr_piperdine,0.025011484
SlogP_VSA1,0.024938678
EState_VSA10,0.024058152
Kappa1,0.021919798
PEOE_VSA11,0.01968108
NumHeteroatoms,0.018213883
fr_nitro_arom,0.017094748
fr_nitro_arom_nonortho,0.015552177
VSA_EState10,0.014651609
fr_alkyl_halide,0.014305569
SlogP_VSA8,0.013441501
SMR_VSA4,0.012746141
fr_NH0,0.012019994
fr_nitro,0.011752701
PEOE_VSA14,0.011119604
NumAliphaticHeterocycles,0.010840393
NumAliphaticCarbocycles,0.009594133
fr_ArN,0.008949353
fr_bicyclic,0.008058426
NumAromaticHeterocycles,0.0068779537
NR-AR,0.00661161
fr_amide,0.0036355038
fr_pyridine,0.0017251116
fr_Imine,0.0010002151
