feature,mean_abs_shap
NR-PPAR-gamma,1.1919101
SR-ARE,0.817455
NR-AR-LBD,0.49701953
NR-Aromatase,0.4928967
NR-ER-LBD,0.46202618
SR-HSE,0.42421377
SR-ATAD5,0.41319713
SR-MMP,0.30022392
SMR_VSA10,0.28494787
BCUT2D_MRHI,0.22333694
BCUT2D_CHGHI,0.19000629
FpDensityMorgan3,0.18498895
NR-ER,0.18240276
BCUT2D_LOGPHI,0.17303327
PEOE_VSA7,0.14370464
BertzCT,0.14018145
VSA_EState2,0.1376985
PEOE_VSA8,0.12886523
FractionCSP3,0.121035784
HallKierAlpha,0.119803965
SlogP_VSA5,0.11953651
PEOE_VSA6,0.117976226
MaxAbsPartialCharge,0.11357477
qed,0.1046725
NumHDonors,0.104146734
VSA_EState3,0.10054695
MinEStateIndex,0.09989872
EState_VSA8,0.098496675
MinAbsPartialCharge,0.09195634
EState_VSA2,0.091391124
FpDensityMorgan1,0.08770694
Kappa3,0.08726808
MinPartialCharge,0.087041624
MaxPartialCharge,0.08664721
MolLogP,0.085969806
NR-AhR,0.085556135
VSA_EState7,0.08543491
PEOE_VSA9,0.08465534
BCUT2D_MRLOW,0.08461585
EState_VSA3,0.08190432
EState_VSA7,0.08173954
SMR_VSA5,0.081326135
BCUT2D_MWLOW,0.081219144
Chi2n,0.08093356
VSA_EState8,0.08070995
MolMR,0.08065922
Chi4v,0.07943409
EState_VSA6,0.0774817
EState_VSA4,0.07671155
BalabanJ,0.076498136
FpDensityMorgan2,0.07562021
SlogP_VSA3,0.07466564
Chi1v,0.07442991
BCUT2D_MWHI,0.07419728
Kappa2,0.07027412
VSA_EState10,0.070149064
PEOE_VSA2,0.06756736
HeavyAtomMolWt,0.06536844
TPSA,0.06498858
SlogP_VSA2,0.0613612
MaxEStateIndex,0.06021062
VSA_EState4,0.0597796
PEOE_VSA12,0.057413135
VSA_EState9,0.05717705
EState_VSA5,0.056610845
VSA_EState5,0.05555432
SMR_VSA6,0.055139888
EState_VSA10,0.053996403
SMR_VSA7,0.053448964
RingCount,0.053160377
SlogP_VSA8,0.05070269
VSA_EState6,0.048482895
SlogP_VSA1,0.046419073
Ipc,0.046157412
SMR_VSA3,0.04544987
fr_COO,0.043970935
PEOE_VSA10,0.04362777
PEOE_VSA1,0.041608825
PEOE_VSA11,0.039737273
MolWt,0.035488445
fr_NH1,0.034760978
Chi3v,0.033839695
VSA_EState1,0.03305573
SlogP_VSA10,0.03105643
NumRotatableBonds,0.030743457
SMR_VSA9,0.027875073
Chi0v,0.026291117
PEOE_VSA3,0.023324085
PEOE_VSA14,0.020289259
fr_para_hydroxylation,0.019008774
fr_C_O_noCOO,0.015633002
fr_bicyclic,0.015502442
NR-AR,0.015027434
SMR_VSA2,0.013687922
fr_NH0,0.010849885
PEOE_VSA5,0.009968956
fr_SH,0.0073591135
fr_aryl_methyl,0.0065958253
fr_halogen,0.006589321
fr_Al_OH_noTert,0.0054383036
fr_ketone,0.004791676
fr_Ndealkylation2,0.0034535972
fr_imidazole,0.0030328976
