SMILES,fom1,fp,mp,bp,dc,density,viscosity,tc,cpsat,beta
CC(=O)OCCOCCOCCOC(C)=O,76.6 +/- 2.3,426.6 +/- 11.9,-22.0 +/- 16.0,285.1 +/- 3.7,7.85 +/- 0.36,1.308 +/- 0.028,6.85 +/- 0.32,0.1942 +/- 0.0024,447.4 +/- 2.1,0.00082 +/- 0.00001
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,58.2 +/- 5.1,429.6 +/- 15.4,-18.4 +/- 16.7,316.3 +/- 10.8,5.83 +/- 0.90,1.137 +/- 0.024,10.61 +/- 2.12,0.1840 +/- 0.0074,556.7 +/- 6.9,0.00076 +/- 0.00002
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,60.1 +/- 3.1,461.2 +/- 21.3,-14.2 +/- 24.2,320.9 +/- 16.4,6.51 +/- 0.67,1.136 +/- 0.024,10.07 +/- 1.99,0.1945 +/- 0.0081,586.9 +/- 6.9,0.00075 +/- 0.00003
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,63.7 +/- 3.4,516.8 +/- 63.2,-32.1 +/- 7.1,300.5 +/- 9.4,6.01 +/- 0.38,1.039 +/- 0.020,7.08 +/- 1.32,0.1791 +/- 0.0021,564.9 +/- 2.5,0.00076 +/- 0.00001
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,59.5 +/- 5.1,453.6 +/- 28.2,-14.2 +/- 18.0,296.2 +/- 6.6,8.36 +/- 1.65,1.078 +/- 0.006,9.20 +/- 1.43,0.1851 +/- 0.0059,562.0 +/- 6.3,0.00076 +/- 0.00001
CCCCCOCCOCCOC,92.4 +/- 1.4,364.4 +/- 7.7,-38.8 +/- 2.7,236.3 +/- 14.8,5.39 +/- 0.43,0.904 +/- 0.010,2.03 +/- 0.07,0.1691 +/- 0.0016,402.0 +/- 2.5,0.00093 +/- 0.00002
CCCCOC(=O)COCCCOC(=O)CC1CCCO1,60.5 +/- 1.0,442.5 +/- 6.6,-10.9 +/- 16.4,343.7 +/- 7.4,7.05 +/- 0.86,1.185 +/- 0.044,11.39 +/- 2.07,0.1927 +/- 0.0020,557.6 +/- 9.0,0.00072 +/- 0.00002
CCCCOC(=O)OCCCCOC1COCC1OCC,64.6 +/- 3.4,429.3 +/- 10.6,-12.8 +/- 13.3,338.7 +/- 12.1,5.57 +/- 0.61,1.161 +/- 0.041,10.53 +/- 3.24,0.2017 +/- 0.0094,570.7 +/- 10.5,0.00073 +/- 0.00002
CCCCOC(=O)OCCOCCOC,82.9 +/- 2.3,392.1 +/- 6.7,-28.5 +/- 7.9,262.0 +/- 16.6,5.21 +/- 0.99,1.078 +/- 0.014,4.44 +/- 0.85,0.1883 +/- 0.0022,435.1 +/- 4.4,0.00086 +/- 0.00001
CCCCOC(=O)OCCOCCOCC,79.2 +/- 1.9,402.0 +/- 7.2,-29.0 +/- 10.0,272.5 +/- 14.2,5.06 +/- 1.09,1.071 +/- 0.011,5.34 +/- 0.91,0.1931 +/- 0.0049,464.4 +/- 4.2,0.00084 +/- 0.00002
