SMILES,mp_mean,mp_std,mp_pass,mp_marginal,mp_n_arch_pass,bp_mean,bp_std,bp_pass,bp_marginal,bp_n_arch_pass,dc_mean,dc_std,dc_pass,dc_marginal,dc_n_arch_pass,fp_mean,fp_std,fp_pass,fp_marginal,fp_n_arch_pass,all_pass,any_marginal
CC(=O)OCCOCCOCCOC(C)=O,-21.973820361254496,16.00648407150844,False,True,1,285.1189834808084,3.6700003698947152,True,False,4,7.848664267051771,0.363584630604032,False,False,0,426.60676562580875,11.910234543226137,True,False,4,False,True
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,-18.432539692168536,16.662360402973448,False,True,1,316.25551246935316,10.765913163239327,True,False,4,5.832285389030315,0.8979682490291239,True,False,3,429.58821495453884,15.358376047481217,True,False,4,False,True
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,-14.173711910108374,24.224499926207386,False,True,1,320.8675843715323,16.420567024142155,True,False,4,6.511083109150952,0.6726562355272604,True,True,2,461.2121131191431,21.260324565620856,True,False,4,False,True
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,-32.110468890655106,7.069932384362532,True,True,2,300.491474747289,9.390998148095212,True,False,4,6.013623375523814,0.38446005923991183,True,False,4,516.8067044105007,63.21211739039457,True,False,4,True,True
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,-14.24886894870887,18.010981858260365,False,True,1,296.2293215364816,6.615749142362648,True,False,4,8.364208611263523,1.6506170131097642,False,True,1,453.56472448487943,28.23980622527733,True,False,4,False,True
CCCCCOCCOCCOC,-38.80464829953198,2.7367632256385606,True,False,4,236.31869138352997,14.78818188960132,True,False,4,5.385670228372661,0.428052673848063,True,False,4,364.44694392027617,7.673633919192955,False,False,0,False,False
CCCCOC(=O)COCCCOC(=O)CC1CCCO1,-10.897312170609206,16.394299875930418,False,False,0,343.7320941552409,7.376174775607202,True,False,4,7.052174407422647,0.8583256494349706,False,True,3,442.49980266853515,6.6384111355697595,True,False,4,False,True
CCCCOC(=O)OCCCCOC1COCC1OCC,-12.791433720632224,13.34565266914754,False,False,0,338.687274912562,12.07000863381991,True,False,4,5.565551066345437,0.6128016854963491,True,False,4,429.34645420177253,10.600597145738325,True,False,4,False,False
CCCCOC(=O)OCCOCCOC,-28.469372799162173,7.853930101827365,False,True,2,262.00310640108444,16.58386140737339,True,False,4,5.21394629140922,0.9910733809091699,True,False,4,392.1012402473426,6.685883052442449,True,False,4,False,True
CCCCOC(=O)OCCOCCOCC,-28.983512101755213,10.039964902768293,False,True,2,272.5305673685705,14.221748069878654,True,False,4,5.061374950422409,1.087254951177291,True,False,4,402.03224204635137,7.181513497397656,True,False,4,False,True
CCCCOC(COC)(COC(=O)OCC)COC1CCOC1,-8.63263903333318,15.031160467401278,False,False,0,341.62019253443066,20.031443994423892,True,False,4,6.123631307194277,0.7948060587330112,True,False,4,437.2304066321165,19.73937443262816,True,False,4,False,False
CCCCOCCOCCOC(=O)OCC,-31.3527239151794,5.999798486112648,True,True,3,265.3025337747324,8.521581379753924,True,False,4,4.889683911454735,0.8698600848935457,True,False,4,400.2576240613755,4.105932970732778,True,False,4,True,True
CCCCOCCOCCOC(C)COCC,-22.89009162307985,3.293698314058902,False,False,0,317.78236579936123,23.00259766889528,True,False,4,5.490920347107796,0.6279467447128514,True,False,4,392.2455043963894,10.022182595829712,True,False,4,False,False
CCCOC(=O)OC(COCC)(COCC)COC1CCOC1,-5.4313769732936255,34.402906976799784,False,True,2,340.9803502531065,15.813013121616711,True,False,4,6.312360993609065,0.7865233951497977,True,True,3,437.45575275546906,16.38766152441024,True,False,4,False,True
CCCOC(=O)OCCCCOC1COCC1OCCC,-14.142788009558787,21.65271586974944,False,True,1,333.0178568505097,9.602379675169477,True,False,4,5.703767439078783,0.5955753309914268,True,False,4,429.44130203814234,9.865376681031751,True,False,4,False,True
CCCOC(=O)OCCOCCOCC,-26.828330718938794,10.332047937641278,False,True,2,258.51266464226944,12.076199189393613,True,False,4,5.366796853643701,0.9080947231886783,True,False,4,394.4280007383765,7.883789101997914,True,False,4,False,True
CCCOC(=O)OCCOCCOCC1CC(OCC)CO1,-8.112160882448055,17.249026819200534,False,False,0,356.9420844245609,25.87581074896655,True,False,4,6.3055564896221865,0.6531174684737556,True,False,4,440.1095749553,6.628475303766586,True,False,4,False,False
CCCOC(=O)OCCOCCOCCOC,-10.564922171880932,9.941237713489206,False,False,0,313.53137113643186,16.73916579249196,True,False,4,6.0431863861898165,0.8807443284877461,True,False,3,412.73841903088714,6.029080043065785,True,False,4,False,False
CCCOC(=O)OCCOCCOCCOCC,-14.795636033648842,11.037822704428741,False,False,0,323.0241602088073,14.5623261775464,True,False,4,5.710546194076431,0.771422531956448,True,False,4,420.57001519440746,12.199398806094573,True,False,4,False,False
CCCOC(CC)COCCOCCOC,-26.842276745134917,7.336244985909849,False,True,2,304.62210882537727,18.30297069718857,True,False,4,5.581373891250703,0.7115211659154076,True,False,4,384.509948441883,5.558506965052779,True,False,4,False,True
CCCOC(COC(=O)OC)C(COC1CCOC1)OCCC,-8.242375587993314,23.098801993885772,False,True,0,336.3473148457308,15.353878802400152,True,False,4,6.286060387891677,0.9173681311556046,True,True,3,435.867482359013,24.12425813463324,True,False,4,False,True
CCCOC(COCC)(COC(=O)OCC)COC1CCOC1,-6.017159557178562,25.892414151317265,False,True,0,338.5980003632436,19.98607668932594,True,False,4,6.179053272399962,0.7796064409291126,True,False,4,433.6876927893826,15.7336931896877,True,False,4,False,True
CCCOCCOCCOC(=O)OCCC,-27.898212525365032,14.528367453379209,False,True,2,267.38383599768576,10.157539607919464,True,False,4,5.0455161369154,0.9859314397008054,True,False,4,401.9942587450938,6.462762050880884,True,False,4,False,True
CCOC(=O)OCC(COCC(C)C)OCC1CCCO1,-16.767687564260843,13.68014418504746,False,True,0,311.9828511725094,17.002014975464103,True,False,4,5.712603400243256,0.6699937715942893,True,False,4,432.53084194922167,17.76436037121175,True,False,4,False,True
CCOC(=O)OCCCCOCCOCCOC,-7.556099090368413,16.107815622012506,False,False,0,338.27072648677756,20.298434355393937,True,False,4,5.795260725743249,1.0237006444182606,True,False,3,413.5022333517713,7.728877190139506,True,False,4,False,False
CCOCC(COC1CCOC1)(COC1CCOC1)OC(=O)OC1CCOC1,21.693735041755808,27.61027030615477,False,False,0,431.66269122100704,30.979271319950968,True,False,4,8.008880370771125,0.5257340955963036,False,False,0,463.16640946000604,28.17595407129316,True,False,4,False,False
CCOCC(OCC)C(COC(COC)C1CCCO1)OCC1CCCO1,1.9793347584427,17.231151369832904,False,False,0,424.7861600378125,46.711992664721414,True,False,4,6.4059923744333425,0.9243118567106872,True,True,4,453.11167205781487,23.900584478756944,True,False,4,False,True
COCCOC(=O)OC1CCCC1,-22.657892057395905,10.52489896920894,False,True,2,239.292760538799,10.350590974292118,True,False,4,5.478973786541114,0.9747886266228177,True,False,4,381.6112055806607,3.0424321766642954,True,False,4,False,True
