SMILES,fom1,fom1_std,fp_K,fp_K_std,fp_C,fp_C_std,all_pass,fom1_deployed,fp_C_deployed,route,found_by,on_front_all,on_front_feasible
CCCCCOCCOCCOC,92.41752571280476,1.358798859772294,364.44694392027617,7.673633919192955,91.29694392027619,7.673633919192955,False,90.2753,100.67770000000002,WSGA,both,True,False
CCCOC(=O)OCCOCCOCC,83.90233061778444,2.040486438602239,394.4280007383765,7.883789101997914,121.27800073837653,7.883789101997914,False,85.51197052001953,110.23995361328132,REINVENT,both,True,False
CCCCOC(=O)OCCOCCOC,82.88431611853042,2.3049178623170654,392.1012402473426,6.685883052442449,118.95124024734264,6.685883052442449,False,84.91907501220703,111.18477783203132,REINVENT,both,False,False
CCCCOCCOCCOC(=O)OCC,79.75019332781065,3.177668074945504,400.2576240613755,4.105932970732778,127.10762406137553,4.105932970732778,True,82.43588256835938,120.98818359375002,REINVENT,both,True,True
CCCOCCOCCOC(=O)OCCC,79.45706963499859,1.2472609489201016,401.9942587450938,6.462762050880884,128.84425874509384,6.462762050880884,False,83.35433197021484,119.91008911132816,REINVENT,both,True,False
COCCOC(=O)OC1CCCC1,79.26932042918361,2.3552300675902016,381.6112055806607,3.0424321766642954,108.4612055806607,3.0424321766642954,False,85.8563232421875,109.51470336914063,REINVENT,both,False,False
CCCCOC(=O)OCCOCCOCC,79.20833458631654,1.9252035794179374,402.03224204635137,7.181513497397656,128.8822420463514,7.181513497397656,False,83.13669,120.65365000000004,WSGA,both,True,False
CCCOC(=O)OCCOCCOCCOC,79.14240902147942,2.4406287974603837,412.73841903088714,6.029080043065785,139.58841903088717,6.029080043065785,False,80.91324,130.74117,WSGA,both,True,False
CCCOC(CC)COCCOCCOC,78.54249737295882,1.4884329214414758,384.509948441883,5.558506965052779,111.35994844188303,5.558506965052779,False,84.37664,114.38644000000004,WSGA,WSGA,False,False
CCCCOCCOCCOC(C)COCC,76.70985449669732,2.2211677354459933,392.2455043963894,10.022182595829712,119.0955043963894,10.022182595829712,False,83.513885,116.65804000000004,WSGA,WSGA,False,False
CC(=O)OCCOCCOCCOC(C)=O,76.57618361536571,2.344997027659511,426.60676562580875,11.910234543226137,153.45676562580877,11.910234543226137,False,77.66829,155.64312,WSGA,both,True,False
CCCOC(=O)OCCOCCOCCOCC,76.55349762155303,2.1272646684770216,420.57001519440746,12.199398806094573,147.42001519440748,12.199398806094573,False,78.16569,132.35998,WSGA,both,False,False
CCOC(=O)OCCCCOCCOCCOC,75.34054047190375,2.5800677817698143,413.5022333517713,7.728877190139506,140.3522333517713,7.728877190139506,False,78.5388,131.04772000000003,WSGA,WSGA,False,False
CCCOC(=O)OCCOCCOCC1CC(OCC)CO1,65.87398177288179,2.600354033892472,440.1095749553,6.628475303766586,166.9595749553,6.628475303766586,False,72.421616,176.45492000000002,WSGA,WSGA,True,False
CCCCOC(=O)OCCCCOC1COCC1OCC,64.64904256521477,3.426226742811378,429.34645420177253,10.600597145738325,156.19645420177255,10.600597145738325,False,73.765945,174.45828,WSGA,WSGA,False,False
CCCOC(=O)OCCCCOC1COCC1OCCC,64.62826651193666,3.277904013389111,429.44130203814234,9.865376681031751,156.29130203814236,9.865376681031751,False,74.02171,172.07427,WSGA,WSGA,False,False
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,63.7190631081224,3.3808828989104667,516.8067044105007,63.21211739039457,243.65670441050077,63.21211739039457,True,63.07973098754883,305.0977416992188,REINVENT,both,True,True
CCCCOC(=O)COCCCOC(=O)CC1CCCO1,60.49000565285142,0.9948667023106723,442.49980266853515,6.6384111355697595,169.34980266853518,6.6384111355697595,False,71.21924,181.72003,WSGA,WSGA,False,False
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,60.096823142431774,3.123450150147299,461.2121131191431,21.260324565620856,188.06211311914313,21.260324565620856,False,66.611595,251.66946000000007,WSGA,WSGA,False,False
CCOC(=O)OCC(COCC(C)C)OCC1CCCO1,59.60769715376192,3.5011528335430673,432.53084194922167,17.76436037121175,159.3808419492217,17.76436037121175,False,69.51558,233.54785000000004,WSGA,WSGA,False,False
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,59.49708042470752,5.056261625309757,453.56472448487943,28.23980622527733,180.41472448487946,28.23980622527733,False,63.278774,265.9551,WSGA,WSGA,False,False
CC(C)OCC(COCC1CCCO1)OC(=O)OC(C)C,58.2210600104683,5.06288167180278,429.58821495453884,15.358376047481217,156.43821495453886,15.358376047481217,False,70.039566,211.99432,WSGA,WSGA,False,False
CCCOC(COC(=O)OC)C(COC1CCOC1)OCCC,56.73640002353497,3.7249305530133974,435.867482359013,24.12425813463324,162.71748235901305,24.12425813463324,False,69.93277,218.05935,WSGA,WSGA,False,False
CCCOC(COCC)(COC(=O)OCC)COC1CCOC1,55.648794623060596,3.917559828946064,433.6876927893826,15.7336931896877,160.53769278938262,15.7336931896877,False,71.15092,184.00668,WSGA,WSGA,False,False
CCCOC(=O)OC(COCC)(COCC)COC1CCOC1,55.26047052167225,3.859077362937011,437.45575275546906,16.38766152441024,164.3057527554691,16.38766152441024,False,70.99908,188.77404,WSGA,WSGA,False,False
CCCCOC(COC)(COC(=O)OCC)COC1CCOC1,54.962518476832734,3.8816397812185177,437.2304066321165,19.73937443262816,164.08040663211654,19.73937443262816,False,70.463036,201.444,WSGA,WSGA,False,False
CCOCC(OCC)C(COC(COC)C1CCCO1)OCC1CCCO1,54.21053375785057,4.595309675480517,453.11167205781487,23.900584478756944,179.9616720578149,23.900584478756944,False,67.30267,234.82278,WSGA,WSGA,False,False
CCOCC(COC1CCOC1)(COC1CCOC1)OC(=O)OC1CCOC1,53.7363358295716,4.5069649619278955,463.16640946000604,28.17595407129316,190.01640946000606,28.17595407129316,False,67.20491,241.86074000000008,WSGA,WSGA,False,False
