SMILES,FOM1_40,FOM1_100,FOM1_avg,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_unbrch_alkane
CCOCOCOCOCC,102.93517921651951,118.2122672686366,110.57372324257805,0.39536641307053766,164.201,148.07299999999998,164.104858992,68,0.15195428817330883,-0.3555996470566448,0.3555996470566448,0.15195428817330883,0.6363636363636364,1.0,1.3636363636363635,16.767598250843673,10.876012080297832,1.85702178194232,-2.0417698027719773,1.809875408265573,-2.0640681484273333,4.084870159343322,-0.16705731385831263,2.6909155266923976,59.460913376568676,8.36396103067893,7.16852706778819,7.16852706778819,5.414213562373096,3.7236146391315987,3.7236146391315987,1.7474002407106257,1.7474002407106257,0.9082482904638631,0.9082482904638631,0.4114847437072807,0.4114847437072807,-0.16,10.840000000000002,9.839999999999998,9.840000000000002,67.38308463223672,18.947451815200196,13.585884612199655,6.792942306099827,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,18.947451815200196,0.0,0.0,13.847474399381248,33.59259084732532,0.0,0.0,0.0,0.0,33.59259084732532,18.947451815200196,0.0,13.847474399381248,0.0,0.0,36.92,1.0,11,0,4,0,0,0,0,4,0,4,8,0,0,0,0.9651000000000001,40.02300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
C(C)(=O)OCCOCCOC(C)=O,78.32713519820946,103.23204208779764,90.77958864300355,0.43975501615303964,190.195,176.08299999999997,190.084123548,76,0.30220730094685433,-0.46342251881867963,0.46342251881867963,0.30220730094685433,0.8461538461538461,1.2307692307692308,1.5384615384615385,16.57307641215372,10.672594260733122,1.9402323668872625,-2.0372240951440124,1.8133760198471018,-2.1174576748048834,5.656355597795518,-0.14342789251915952,2.9961049979124525,147.91732137225364,10.104448006685086,7.8696685770655055,7.8696685770655055,6.125897657686229,3.9711971193069777,3.9711971193069777,2.2924591083488637,2.2924591083488637,1.0659922112859819,1.0659922112859819,0.5907040147123218,0.5907040147123218,-1.1,11.9,7.544022314808277,10.9,76.95752571721397,14.210588861400147,13.213763929025836,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,23.79966322954379,11.938610575903699,0.0,13.847474399381248,26.427527858051672,0.0,0.0,0.0,0.0,38.36613843395537,23.79966322954379,0.0,13.847474399381248,0.0,0.0,61.830000000000005,0.75,13,0,5,0,0,0,0,5,0,5,6,0,0,0,0.12919999999999998,44.08500000000002,0,0,0,0,0,0,2,2,0,0,0,0,2,3,0,0,0,0,0,0,4
COCCOCCOCCOC,87.73375378256102,105.51272274217504,96.62323826236803,0.4761817023320393,178.22799999999998,160.08399999999997,178.120509056,74,0.07011439248751951,-0.38229772617229335,0.38229772617229335,0.07011439248751951,0.5833333333333334,0.9166666666666666,1.25,16.548487293507783,10.679667809422712,1.8833135163881196,-2.0382259777594,1.7926989352254334,-2.1005261372458204,4.316125829377169,0.01060465006207289,2.72724281291869,67.45811190640111,9.071067811865477,7.875633848974738,7.875633848974738,5.914213562373096,4.048547388496604,4.048547388496604,2.2103434310450782,2.2103434310450782,1.2355985596534889,1.2355985596534889,0.606493072294114,0.606493072294114,-0.16,11.839999999999998,10.840000000000002,9.839999999999998,73.74802674663331,18.947451815200196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.219595082555067,39.641291787077506,18.947451815200196,0.0,0.0,0.0,53.860886869632566,0.0,0.0,0.0,0.0,53.860886869632566,18.947451815200196,0.0,0.0,0.0,0.0,36.92,1.0,12,0,4,0,0,0,0,4,0,4,9,0,0,0,0.3124,45.39000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,7
CCOCOCOCOCOCC,89.42719377459848,71.68905085912193,80.5581223168602,0.3823404255649405,194.22699999999998,176.08299999999997,194.115423676,80,0.1519569417599505,-0.35559964705641384,0.35559964705641384,0.1519569417599505,0.5384615384615384,0.8461538461538461,1.1538461538461537,16.78866563166987,10.877498296750057,1.8790923714955947,-2.057283192421537,1.82743179602105,-2.083519887297722,4.088283148340911,-0.19008575056710864,2.7581498184332935,78.60357147141794,9.778174593052025,8.283882139438601,8.283882139438601,6.414213562373096,4.300964908321225,4.300964908321225,2.0693755161403153,2.0693755161403153,1.0749149571305299,1.0749149571305299,0.5044309996781483,0.5044309996781483,-0.2,12.800000000000002,11.8,11.799999999999999,78.8615719761402,23.684314769000245,13.585884612199655,13.585884612199655,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,23.684314769000245,0.0,0.0,13.847474399381248,40.38553315342514,0.0,0.0,0.0,0.0,40.38553315342514,23.684314769000245,0.0,13.847474399381248,0.0,0.0,46.150000000000006,1.0,13,0,5,0,0,0,0,5,0,5,10,0,0,0,0.9392,45.97500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
C1(CCCCC1)C(=O)OCC,73.17419669986415,87.418767146588,80.29648192322608,0.572362235900361,156.225,140.09699999999998,156.115029752,64,0.30841465533709006,-0.46576568634987137,0.46576568634987137,0.30841465533709006,1.3636363636363635,2.0,2.5454545454545454,16.532799927903277,9.89387827801078,2.2097945722316203,-2.186799204816299,2.238387800174044,-2.1954483748284606,5.719104471000436,-0.14858720381291066,2.2652187436469213,125.52442279202945,8.104448006685084,7.136487537236636,7.136487537236636,5.3425352551010965,4.509201921767763,4.509201921767763,3.0869821616491917,3.0869821616491917,2.225101514585491,2.225101514585491,1.5984009660410863,1.5984009660410863,-0.53,8.565510983763133,4.369018590889185,2.5237952602171454,67.92802411902382,4.736862953800049,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,19.26246486877803,19.765380445542643,0.0,12.52478801067431,9.53140013787187,5.969305287951849,5.917906046161393,39.02784531432067,6.606881964512918,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.917906046161393,39.02784531432067,0.0,0.0,26.3,0.8888888888888888,11,0,2,1,1,0,0,2,0,2,2,1,1,1,2.1298000000000004,43.20800000000001,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
CCCC(=O)c1ccccc1,83.00127890275381,101.07426140475565,92.03777015375474,0.6021153369839913,148.20499999999998,136.10899999999998,148.088815004,58,0.16236187177838105,-0.29419644810570195,0.29419644810570195,0.16236187177838105,1.2727272727272727,1.9090909090909092,2.4545454545454546,16.1380322162025,10.081744664624232,2.0050232448255265,-1.956297148098796,2.032571110726232,-1.9592884542484232,5.953781414348625,0.09815274445688302,2.6930079504145,225.88790998034074,8.104448006685086,6.709213198785089,6.709213198785089,5.342535255101096,3.9254679195347126,3.9254679195347126,2.5392017389944486,2.5392017389944486,1.5728264163942953,1.5728264163942953,0.9954450044077813,0.9954450044077813,-1.11,7.991112234580385,3.9146420616231925,2.1874378032478785,67.05269367712717,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,37.255572541998674,6.4208216229260096,11.984273114623004,0.0,4.794537184071822,5.783244946364939,0.0,19.765380445542643,0.0,35.89528683400505,0.0,0.0,0.0,5.783244946364939,0.0,0.0,30.12336912131146,30.33183534230805,0.0,17.07,0.3,11,0,1,0,0,1,1,1,0,1,3,0,0,1,2.6694000000000013,45.68050000000003,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
CCCCc1ccccc1,81.8572260187471,92.5575606272495,87.2073933229983,0.5957309560911629,134.22199999999998,120.10999999999997,134.109550448,54,-0.027897295142604965,-0.0653710717316953,0.0653710717316953,0.027897295142604965,1.1,1.8,2.4,13.928094568255245,10.100588827164405,1.8687601891678685,-1.9589484955842618,2.0257810758831734,-1.8110089866978991,5.138501418975812,0.7949849468755463,2.4265223465879537,164.65300142116237,7.234204518682008,6.508071689507773,6.508071689507773,4.931851652578137,3.971343774302781,3.971343774302781,2.5891519502467633,2.5891519502467633,1.6618298825622126,1.6618298825622126,1.0255780783709258,1.0255780783709258,-0.78,7.328459869848157,4.1024606217041155,2.218872016802184,62.89117157708339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.67639416492468,18.405094737549014,0.0,0.0,0.0,0.0,0.0,26.186202068468653,0.0,35.89528683400505,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,25.328831937239638,30.33183534230805,0.0,0.0,0.4,10,0,0,0,0,1,1,0,0,0,3,0,0,1,3.0292000000000012,45.05400000000003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
C1CC[C@@H]2CCCC[C@@H]2C1,61.20087271524672,77.11040488229962,69.15563879877317,0.4811931969340536,138.254,120.10999999999997,138.140850576,58,-0.03858457793998495,-0.05302166586531271,0.05302166586531271,0.03858457793998495,0.5,0.8,1.1,14.319766871069124,9.709527137905743,2.26292170199422,-2.3473474271087666,2.3945515811820894,-2.221595083137486,4.782737938129142,0.171046854201054,1.9253677344386608,80.60593781761291,6.811554787871634,6.811554787871632,6.811554787871632,4.9663264951887856,4.966326495188785,4.966326495188785,4.089073411524035,4.089073411524035,3.466326495188785,3.466326495188785,2.8575892353471586,2.8575892353471586,0.0,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,1.0,10,0,0,2,2,0,0,0,0,0,0,2,2,2,3.3668000000000022,43.91600000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C1CCC(C1)C2CCCC2,67.51523427077065,80.38288784654543,73.94906105865803,0.5208798588904004,138.254,120.10999999999997,138.140850576,58,-0.03858457793998495,-0.05302166586531271,0.05302166586531271,0.03858457793998495,0.5,0.8,1.1,14.31976687106913,9.897207366064714,2.2629217019942183,-2.157215987178355,2.394551581182094,-2.0570791413021703,4.782737938129133,0.34722801608670917,1.8474671140063972,80.60593781761291,6.811554787871633,6.811554787871632,6.811554787871632,4.966326495188786,4.9663264951887856,4.9663264951887856,4.089073411524035,4.089073411524035,3.4663264951887856,3.4663264951887856,2.857589235347159,2.857589235347159,0.0,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,1.0,10,0,0,2,2,0,0,0,0,0,1,2,2,2,3.3668000000000022,43.91600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC1CCCC1,78.77093279887723,91.3371210118468,85.05402690536201,0.521520997225693,140.26999999999998,120.10999999999997,140.15650064,60,-0.04142857745791716,-0.06538238183510822,0.06538238183510822,0.04142857745791716,1.1,1.8,2.4,14.187955573099249,10.00186281733752,2.128106589893785,-2.0577317972689353,2.284061477472353,-1.9125845848294503,4.661542116949925,0.4714833275701119,1.9111701105978576,70.10749561002055,7.234204518682008,7.234204518682008,7.234204518682008,4.931851652578137,4.931851652578136,4.931851652578136,3.6462643699419717,3.6462643699419717,2.6906706976806576,2.6906706976806576,1.9820508075688763,1.9820508075688763,0.0,8.1,4.760330578512397,2.7222222222222223,65.0178989038698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29031018309871,5.917906046161393,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,58.29031018309871,0.0,0.0,0.0,1.0,10,0,0,1,1,0,0,0,0,0,4,1,1,1,3.7569000000000026,46.10000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
