SMILES,DC_exp,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C#CCCCC,2.3155,4.964583333333334,4.964583333333334,0.9409722222222222,0.9409722222222222,0.35180438170232986,7.333333333333333,82.146,72.06599999999999,82.07825032,34,0,0.008590856339665507,-0.12010931716807509,0.12010931716807509,0.008590856339665507,1.6666666666666667,2.3333333333333335,2.5,13.763451003404006,10.261664084487078,1.7113597058051138,-1.7916049497757045,1.8813900915566912,-1.6241687635043183,4.818690894842287,0.8283273726292343,1.6143308351592656,2.5438576444484196,47.548875021634686,4.82842712474619,4.198670612749268,4.198670612749268,2.914213562373095,2.349335306374634,2.349335306374634,1.307677535825205,1.307677535825205,0.674667653187317,0.674667653187317,0.2788387679126026,0.2788387679126026,-0.44,20.986300857070454,5.559999999999999,4.559999999999998,3.5599999999999987,39.56318699167186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,13.344558822616634,6.4208216229260096,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,26.186202068468653,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,26.186202068468653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,12.841643245852019,0.0,0.0,12.844171518546268,6.423349895620259,0.0,0.0,0.0,0.0,0.0,2.568611111111111,0.0,8.29513888888889,2.13625,0.0,0.6666666666666666,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.225599999999997,0,1.8098,28.357999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
C#CCO,20.8,7.638888888888889,7.638888888888889,0.15277777777777768,-0.15277777777777768,0.37468964677801264,5.0,56.064,52.032000000000004,56.026214748,22,0,0.10346755159713841,-0.3836658299743484,0.3836658299743484,0.10346755159713841,2.0,2.25,2.25,16.249274754080798,10.779639157210948,1.429967321424617,-1.5538884140735332,1.3361250839676848,-1.638944438468456,4.806717543823849,0.3505673736696641,1.3709505944546687,2.4330963097956353,33.03830640231605,3.414213562373095,2.231670645876131,2.231670645876131,1.914213562373095,0.9584562912049245,0.9584562912049245,0.36223802824035045,0.36223802824035045,0.09128709291752768,0.09128709291752768,0.0,0.0,-0.48,6.854752972273344,3.52,2.52,1.5199999999999998,25.26259440067805,5.106527394840706,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,5.920434318855644,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,11.713409359353623,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,5.920434318855644,6.423349895620259,5.106527394840706,0.0,0.0,0.0,7.638888888888889,0.0,1.9861111111111112,0.0,4.527777777777778,-0.15277777777777768,0.0,0.3333333333333333,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2.2176,0,-0.3881,15.918800000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#COCC,8.0525,4.666805555555555,4.666805555555555,0.6076388888888888,0.6076388888888888,0.41066262042709656,5.6,70.091,64.04299999999999,70.041864812,28,0,0.1060150592225267,-0.44709566541040086,0.44709566541040086,0.1060150592225267,2.0,2.6,2.6,16.464195414158176,10.876170906485664,1.5595977561447352,-1.7906410142559923,1.5827640685010282,-1.7275886984121476,4.664901629657874,0.2995162661346985,1.4056390622295665,2.483699570591265,42.09986547010987,4.121320343559642,3.1927053408400363,3.1927053408400363,2.414213562373095,1.4885811956081048,1.4885811956081048,0.5508638320899772,0.5508638320899772,0.2276709006307398,0.2276709006307398,0.08333333333333334,0.08333333333333334,-0.64,11.245112497836532,4.360000000000002,3.3600000000000017,3.3600000000000025,31.946847992385525,4.736862953800049,6.106494660442553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,6.923737199690624,0.0,6.606881964512918,4.736862953800049,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,12.529844556062812,0.0,0.0,0.0,0.0,6.606881964512918,4.736862953800049,12.529844556062812,6.923737199690624,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,13.030231860133178,11.160212849420308,0.0,4.361111111111111,0.0,0.0,0.0,0.0,0.0,0.0,6.684166666666666,2.4547222222222222,0.0,0.5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2.9299200000000027,0,0.6136,20.458999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#COc1ccccc1,4.76,4.888316326530612,4.888316326530612,0.7083333333333335,0.7083333333333335,0.5093547808731408,7.888888888888889,118.13499999999995,112.08699999999997,118.041864812,44,0,0.13972067052974427,-0.40784642070224525,0.40784642070224525,0.13972067052974427,1.2222222222222223,1.8888888888888888,2.4444444444444446,16.468753441838,10.341234594696184,1.8264158275123459,-1.9134939704722895,2.0585487109031035,-1.7766697730146248,5.218247509692707,0.5206204400594283,1.9100860088599134,2.756899621214729,207.75928651033237,6.52709773749546,4.872349905601618,4.872349905601618,4.431851652578137,2.607607027581636,2.607607027581636,1.532965732398866,1.532965732398866,0.9199818604665643,0.9199818604665643,0.5565779913075294,0.5565779913075294,-1.42,145.16653667335342,5.7119261213720325,2.783041713531224,1.5039237974032542,54.274057969656326,4.736862953800049,11.856006493726458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.622451101005087,12.13273413692322,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,0.0,18.279356389346717,4.736862953800049,0.0,5.749511833283905,0.0,0.0,0.0,12.529844556062812,0.0,30.33183534230805,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,5.749511833283905,0.0,0.0,12.13273413692322,18.19910120538483,6.106494660442553,11.160212849420308,4.733611111111111,0.0,0.0,0.0,0.0,0.7083333333333335,9.252424414210129,6.972297808012094,0.0,0.0,0.0,9,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1.76628096226522,1,1.6561000000000001,35.90300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#Cc1ccccc1,2.6950000000000003,5.099814814814815,5.099814814814815,0.9375000000000002,0.9375000000000002,0.43694441995239286,7.875,102.13599999999998,96.08799999999998,102.046950192,38,0,0.02420775614931215,-0.11466530536013568,0.11466530536013568,0.02420775614931215,1.125,1.75,2.125,13.802254043828464,10.224913791156565,1.7592169101517794,-1.819867115906206,1.9248125752025795,-1.6576958588168613,5.30231134909581,1.6531055019449912,1.9034911933164034,3.049388908161901,191.02833704135648,5.819990956308912,4.464101615137754,4.464101615137754,3.931851652578137,2.4493587371177727,2.4493587371177727,1.5103629710818456,1.5103629710818456,0.9404557350153064,0.9404557350153064,0.5343778974176118,0.5343778974176118,-1.2200000000000002,91.36757727918736,4.927492625368731,2.1818477276782464,0.8859770341581867,49.16051274014944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,24.119535524240472,12.13273413692322,5.563451491696996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89528683400505,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,5.563451491696996,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,0.0,30.33183534230805,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,0.9375000000000002,2.526944444444444,9.602407407407407,5.099814814814815,0.0,0.0,0.0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3438798234765104,1,1.6679000000000002,34.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C1=CCC=CC1,2.2455,2.1805555555555554,2.1805555555555554,1.1388888888888888,1.1388888888888888,0.38966272622332315,18.666666666666668,80.13,72.06599999999999,80.062600256,32,0,-0.016896067685148813,-0.08444068375359089,0.08444068375359089,0.016896067685148813,0.6666666666666666,1.0,1.1666666666666667,13.82528462771458,10.200701885258546,1.755791908837549,-1.8695207699710474,1.9652288390679908,-1.6593744741276633,5.018944307257108,1.2329998221869518,1.719973094021975,2.4,58.039100017307746,4.242640687119286,3.7236146391315983,3.7236146391315983,3.0,2.299659828522119,2.299659828522119,1.4142135623730954,1.4142135623730954,0.8776643872851508,0.8776643872851508,0.5420350197234279,0.5420350197234279,-0.52,34.3994618804395,3.662481751824818,1.8066556556023234,0.7127241728381909,38.178924381914854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.304080427335524,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,24.304080427335524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,24.304080427335524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,0.0,0.0,0.0,24.304080427335524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.3333333333333333,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1028072284124355,1,1.8926,27.51399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CCCC1,2.0965,2.236111111111111,2.236111111111111,1.3194444444444444,1.3194444444444444,0.37908242774858664,20.8,68.119,60.05499999999999,68.062600256,28,0,-0.034778562662440664,-0.08852787792887483,0.08852787792887483,0.034778562662440664,1.0,1.6,1.8,13.908955829948088,10.368721598425221,1.8438377344047745,-1.6866606756717886,2.045512307816636,-1.4971461890918878,4.876292770651706,0.9293512716877673,1.760495029766198,2.3238508690240818,38.0,3.5355339059327378,3.276020881938894,3.276020881938894,2.5,2.1498299142610593,2.1498299142610593,1.4023081805739313,1.4023081805739313,0.9082482904638629,0.9082482904638629,0.5892556509887895,0.5892556509887895,-0.26,22.886435386960574,2.950970464135022,1.2497295661307843,0.5039801313892006,32.5035852997025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667762,19.26246486877803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.6,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737583007561644,1,1.7265,22.990999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CCCCC1,2.16,2.267361111111111,2.267361111111111,1.3194444444444444,1.3194444444444444,0.3925134126271643,21.333333333333332,82.146,72.06599999999999,82.07825032,34,0,-0.03506250967660176,-0.08853909262111662,0.08853909262111662,0.03506250967660176,0.8333333333333334,1.3333333333333333,1.5,13.930949479463571,10.094975600171141,1.8664053496446462,-1.9700421058469593,2.0666867108701252,-1.769326017912602,4.848378458082369,0.7300577478236923,1.719973094021975,2.2551447208210704,45.05865002596162,4.242640687119286,3.9831276631254413,3.9831276631254413,3.0,2.6498299142610593,2.6498299142610593,1.755861571167205,1.755861571167205,1.158248290463863,1.158248290463863,0.7600796553858445,0.7600796553858445,-0.26,34.3994618804395,3.914216027874565,2.012323325522952,0.8522145467348156,38.868527414099105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667762,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.683286491704038,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.683286491704038,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.683286491704038,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.6666666666666666,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3127780356712975,1,2.1166,27.607999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CCCCCC1,2.2325,2.298611111111111,2.298611111111111,1.3194444444444444,1.3194444444444444,0.4063379244355816,21.714285714285715,96.173,84.07699999999998,96.093900384,40,0,-0.035073282133704746,-0.08853928066218605,0.08853928066218605,0.035073282133704746,0.7142857142857143,1.2857142857142858,1.8571428571428572,13.946750644123505,10.200509800340743,1.8824701635217749,-1.8591738343412825,2.0819236072625937,-1.665995765165952,4.831790678103581,0.7176819800160965,1.9023918646574263,2.2029277664075284,54.43856189774725,4.949747468305834,4.690234444311988,4.690234444311988,3.5,3.1498299142610593,3.1498299142610593,2.1094149617604785,2.1094149617604785,1.408248290463863,1.408248290463863,0.9368563506824813,0.9368563506824813,-0.26,58.974147804380216,4.888367952522255,2.838891422835457,1.7674018438130124,45.23346952849571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.572861836593773,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10410811463005,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10410811463005,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10410811463005,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.7142857142857143,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9825065502970223,1,2.5067000000000004,32.22499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CCCCCCC1,2.248,2.318611111111111,2.318611111111111,1.3194444444444444,1.3194444444444444,0.42048665275473174,22.0,110.2,96.08799999999998,110.109550448,46,0,-0.03507346591861598,-0.0885392821504849,0.0885392821504849,0.03507346591861598,0.625,1.125,1.625,13.958669845942271,10.06916772211771,1.8945098322544995,-1.995277920697835,2.0934373842075975,-1.7961059200178253,4.82183690582804,0.6377403788636751,1.6154406097130694,2.172380198442006,62.10749561002054,5.6568542494923815,5.397341225498536,5.397341225498536,4.0,3.6498299142610593,3.6498299142610593,2.462968352353752,2.462968352353752,1.658248290463863,1.658248290463863,1.1136330459791182,1.1136330459791182,-0.26,72.69482743708812,5.869198966408269,3.7068222395822903,2.1527155819962744,51.59841164289232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.993683459519783,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000000000000002,0.0,0.0,0.75,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7195096571519453,1,2.8968000000000016,36.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
