SMILES,Activity,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_barbitur,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C1C(C(C)C)NC(=O)N1,0,10.831712962962964,-0.3854629629629629,10.831712962962964,0.1587499999999995,0.5000867939832601,142.15800000000002,132.07799999999995,142.07422756,56,0,0.3216580906569868,-0.3257237155972192,0.3257237155972192,0.3216580906569868,1.4,2.0,2.2,16.186486244364552,10.058235229065644,2.308082955742976,-2.0873188003615306,2.0422921758474333,-2.333577869750818,6.037020451978215,-0.1204851491843632,2.632619684762548,176.5866297400412,7.723614639131599,5.971197119306978,5.971197119306978,4.6090609052806215,3.2236324313660742,3.2236324313660742,2.684400319127501,2.684400319127501,1.4724630524858475,1.4724630524858475,0.9019292792840112,0.9019292792840112,-1.06,180.34962732918672,7.051856823266219,2.283867427599502,1.0970619828712438,58.98089901358698,5.316788604006331,6.041840829147961,0.0,0.0,5.907179729351506,6.031114512338072,10.111325788078153,4.794537184071822,0.0,0.0,13.847474399381248,5.917906046161393,0.0,0.0,9.589074368143644,11.938294241689578,0.0,10.633577208012662,5.917906046161393,19.88931522852921,0.0,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,17.980135070837537,4.794537184071822,5.917906046161393,13.847474399381248,0.0,0.0,0.0,58.2,0.0,9.589074368143644,0.0,23.89804111699893,0.0,0.0,0.0,0.0,13.847474399381248,10.633577208012662,0.0,0.0,0.0,21.35699074074074,4.662685185185185,0.0,-0.0634722222222223,-0.7257407407407408,0.0,3.769537037037037,0.0,0.6666666666666666,10,2,4,0,1,1,0,0,0,2,2,4,1,0,1,1,1,-0.1495999999999998,35.30039999999999,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C(NC=1C(C)=CC(C)=CC1)CC(=O)C,0,11.328079648526078,-0.2551360544217684,11.328079648526078,0.06218608276644,0.7689217443289819,205.257,190.13699999999997,205.11027872,80,0,0.2313148446896089,-0.3254662056532102,0.3254662056532102,0.2313148446896089,1.2666666666666666,1.9333333333333331,2.466666666666667,16.155572493567195,10.113024954632438,2.062650876733447,-2.0748349911309347,2.1550626757184723,-2.148984314129693,6.032981761675149,-0.1237072540609096,2.723715574106596,396.608634681643,11.422285251880869,9.255654169683153,9.255654169683153,6.986071002992366,4.853388943362996,4.853388943362996,3.745343806603323,3.745343806603323,2.0654994252352634,2.0654994252352634,1.374348025556098,1.374348025556098,-1.64,1653.4679003375852,11.434850299401196,4.731837042732852,3.539380677549348,89.49396218957219,5.316788604006331,5.783244946364939,0.0,5.907179729351506,0.0,0.0,9.589074368143644,0.0,0.0,0.0,17.696185628620217,32.40103015923047,5.687386274683562,6.4208216229260096,9.589074368143644,17.377810950400008,0.0,0.0,0.0,27.19203322199788,5.316788604006331,29.32600418877882,0.0,5.316788604006331,5.687386274683562,0.0,0.0,11.690424675716445,9.589074368143644,13.847474399381248,24.471461806010627,18.19910120538483,0.0,0.0,46.17,0.0,9.589074368143644,0.0,18.111246298642453,0.0,16.814289258077554,6.923737199690624,0.0,32.04657560476608,5.316788604006331,0.0,0.0,0.0,22.050664105148236,2.708981481481481,2.926684198370707,-0.3826687032837821,5.766333144368859,-0.06218608276644,5.325525190014277,0.0,0.3333333333333333,15,1,3,0,0,0,1,0,1,2,1,3,3,0,0,0,1,2.2210400000000003,59.84370000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClC=1C=CC(NC(=N)NC(=N)CCCCCCNC(=N)NC(=N)C=2C=CC(Cl)=CC2)=CC1,0,7.975837178484372,0.0525024495394872,7.975837178484372,0.0525024495394872,0.1466979821340717,475.428,447.2040000000002,474.1813982560001,170,0,0.1978565784797134,-0.3562643876222233,0.3562643876222233,0.1978565784797134,0.6875,1.28125,1.9375,35.49678498019433,10.127793278859889,2.0444023791806765,-2.119370369847723,2.127977158739676,-2.4005171488931203,6.305616119613855,0.6368155383151801,1.5013450095574516,925.9519309066447,23.34672421487486,17.61737178665475,19.129229678691654,15.3294075958929,10.227805664287612,10.983734610306067,7.083329697924618,7.956201258868589,4.427674476356102,4.931627107035071,2.773834531975198,3.0258108473146827,-3.0999999999999988,9128834.233329412,25.16308430554469,13.341650530990416,9.80476578588467,197.68530365478176,21.267154416025324,5.835619785757269,11.91910913748767,0.0,0.0,0.0,21.63713442316609,0.0,0.0,0.0,36.04352302631705,61.3725797935449,34.2616824227018,5.835619785757269,0.0,52.4796147641508,21.63713442316609,15.950365812018994,0.0,32.10410811463005,11.861545009918906,64.13965466687253,0.0,21.267154416025324,5.687386274683562,0.0,23.20187978046503,30.135105114914783,0.0,21.63713442316609,37.667559606327046,48.53093654769288,10.045266627482652,0.0,143.52,0.0,0.0,0.0,17.75472892324494,34.4099159337755,31.3706727663876,0.0,48.53093654769288,0.0,21.267154416025324,44.83901420363112,0.0,11.676597874041168,0.0,44.2050999784875,1.392606985015521,0.5712103499668391,13.880143803527677,4.199851255895697,0.6300453086211424,0.0,0.2727272727272727,32,8,8,0,0,0,2,0,2,4,8,10,9,0,0,0,2,4.996980000000003,133.8945999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
S=C=NC,0,4.1365740740740735,1.5902777777777777,4.1365740740740735,1.5902777777777777,0.3037923356236138,73.12,70.096,72.998620096,22,0,0.0581558570565057,-0.235932166347728,0.235932166347728,0.0581558570565057,2.0,2.25,2.25,32.09193668255301,11.423118664188555,1.2399835578795362,-1.3925409667106543,1.3603522754996829,-1.3293592698692256,7.778076627328323,1.4906058114516212,3.108612296674136,44.0,3.414213562373095,2.355461885963821,3.171958466891547,1.914213562373095,0.8749445384818684,1.2831928289457313,0.3148938906675066,0.497468076502562,0.0912870929175276,0.273861278752583,0.0,0.0,-0.2,6.854752972273345,3.8,2.799999999999999,1.7999999999999985,30.35829587529116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,12.217873443046695,7.04767198267719,5.161261852125548,0.0,17.379135295172244,0.0,0.0,4.992404732635669,0.0,7.04767198267719,0.0,0.0,0.0,0.0,0.0,12.217873443046695,12.208933834802735,0.0,0.0,0.0,4.992404732635669,0.0,0.0,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04767198267719,0.0,22.371540027807917,0.0,0.0,4.1365740740740735,3.300925925925926,2.138888888888889,0.0,0.0,0.0,0.0,0.0,1.5902777777777777,0.5,4,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.719,20.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=[N+]([O-])C=1C(C)=C(C)C=CC1,0,10.379537037037036,-0.3587962962962958,10.379537037037036,0.1990740740740746,0.4558415924169074,151.165,142.093,151.063328528,58,0,0.2720575142043234,-0.2583007965757644,0.2720575142043234,0.2583007965757644,1.3636363636363635,2.0,2.4545454545454546,16.628313889694212,10.097108293427585,2.0904554700809124,-1.9811150032937743,2.1899263873210058,-1.920402946892284,5.430751730716656,-0.3850354755928827,3.273580821537543,294.1435742307893,8.430721420318147,6.495760983996563,6.495760983996563,5.125897657686229,3.332772105276383,3.332772105276383,2.4761463210864534,2.4761463210864534,1.7727331707743794,1.7727331707743794,0.9333964727461076,0.9333964727461076,-1.38,275.36360378350537,7.723950103950105,2.6981307613188696,1.3676066560376277,64.81426307078998,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,12.13273413692322,19.410925891078243,11.629818560158606,4.923311048817671,4.923311048817671,5.687386274683562,0.0,0.0,0.0,13.847474399381248,0.0,39.44032245754439,0.0,0.0,5.687386274683562,0.0,0.0,4.923311048817671,0.0,23.96179266814682,11.126902983393991,18.19910120538483,0.0,0.0,43.14,0.0,10.114318268765572,0.0,10.610697323501231,0.0,11.126902983393991,6.06636706846161,12.990104268152232,12.990104268152232,0.0,0.0,0.0,0.0,10.020740740740742,10.379537037037036,1.904351851851853,0.0,5.074537037037037,0.0,3.620833333333333,0.0,0.25,11,0,3,0,0,0,1,0,1,2,0,3,1,0,0,0,1,2.21164,42.57040000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClC=1N=C(NCC)N=C(NCC)N1,0,5.679254220206601,0.1962037037037041,5.679254220206601,0.1962037037037041,0.7710639211017837,201.661,189.565,201.078123064,72,0,0.2284470148718813,-0.3543182642119109,0.3543182642119109,0.2284470148718813,1.0,1.4615384615384617,1.8461538461538465,35.49570119114351,10.685071291442684,2.013996456431237,-2.0416452343836364,2.079972539729685,-2.07830084687904,6.279504881877931,0.9990249028666248,2.8288672837931865,253.33545368371156,9.681798275874712,7.633818821882198,8.389747767900651,6.257550155273625,4.15194336656413,4.529907839573358,2.312314814850451,2.650376516741858,1.2779033798329424,1.446934230778646,0.8244286981063467,0.984537018181044,-1.1,814.6575541138848,9.984033613445378,4.811985946578983,3.022964882181997,81.95310611402068,10.633577208012662,0.0,0.0,17.180264882017248,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,25.44841428961376,13.08951281182515,0.0,0.0,23.497618452205504,0.0,14.951935562841626,0.0,13.847474399381248,23.72309001983781,5.283586320044258,0.0,10.633577208012662,11.896678561972989,0.0,11.600939890232516,28.04144837466677,0.0,0.0,13.847474399381248,0.0,5.283586320044258,0.0,62.73,0.0,0.0,0.0,5.283586320044258,11.896678561972989,13.08951281182515,0.0,0.0,13.847474399381248,25.585512770854287,11.600939890232516,0.0,5.679254220206601,11.88001385739481,6.117167422524567,0.0,0.99712962962963,0.0,0.0,5.437545981355505,0.0,0.5714285714285714,13,2,5,0,0,0,0,1,1,5,2,6,4,0,0,0,1,1.3885999999999998,53.164400000000015,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC=1C(O)=C(Br)C=C2C3(OC(=O)C=4C(Cl)=C(Cl)C(Cl)=C(Cl)C34)C=5C(=C(Br)C(O)=C(Br)C5)OC12,0,13.21520408163265,-1.7204706790123452,13.21520408163265,0.0496699420508939,0.1351286710495203,785.6750000000002,781.6430000000001,779.5546323480002,170,0,0.3413201464943037,-0.505432377996423,0.505432377996423,0.3413201464943037,0.7575757575757576,1.2121212121212122,1.696969696969697,79.92182539080211,9.77221378487116,2.575290688186893,-2.378781228079865,2.645397085007544,-2.3345435093807447,9.112300329934252,0.0222801682357265,2.0541299450535315,1396.5785931796286,24.14338170096983,15.297588384844572,24.66529032537721,15.428169788710644,8.634392752075776,13.318243722342094,6.9740238117564575,11.780552041257106,5.330118742258311,9.812527353251667,3.926560886959591,7.392056698997177,-0.3900000000000002,22727637.418433093,24.31086058106289,8.062367438221779,3.0961873052889497,238.92414884690157,19.68678069728151,20.44446269823264,17.100074477551498,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,46.40375956093006,75.85250972872062,5.563451491696996,45.726326761721126,24.48131788135333,116.0928404406793,0.0,0.0,0.0,5.601050810983688,0.0,72.36795142200616,22.99804733313562,4.736862953800049,0.0,22.99804733313562,110.12353515272744,16.182360077633263,10.337913764783735,0.0,27.048343150859804,30.023612200252877,20.090533254965305,0.0,75.99000000000001,11.570356098935536,15.007591973753234,0.0,72.10636163482457,11.126902983393991,0.0,12.13273413692322,0.0,0.0,63.719775591797394,55.87748546853017,13.01395793090899,38.97498301214,13.21520408163265,20.67217165528253,-1.0233930146132502,-0.8849849528288669,3.059839065255732,0.0,0.0,0.0,0.05,33,2,5,0,2,2,3,0,3,5,2,13,0,0,0,0,5,9.329399999999998,138.8671,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=[N+]([O-])C=1C=C(C#N)C(N=NC=2C=CC(N(CCC#N)CCC=3C=CC=CC3)=CC2)=CC1,0,10.859925668734729,-0.5591804380453227,10.859925668734729,0.0862599560244974,0.2425694564613257,424.4640000000001,404.30400000000026,424.16477388,158,0,0.2704095896459911,-0.3701673179778765,0.3701673179778765,0.2704095896459911,0.9375,1.6875,2.34375,16.628249873522424,10.124516237816794,2.1052981371711463,-2.236531763226328,2.267891670181235,-2.2626857628321937,5.581780479132467,-0.3844424419523114,1.7239756560802315,1177.8515797359269,22.76093777724795,17.25640850894918,17.25640850894918,15.600886748174156,9.966436150671672,9.966436150671672,6.9175235680684,6.9175235680684,4.806214257125097,4.806214257125097,3.119760712665489,3.119760712665489,-4.56,17468357.89570725,22.132547111294897,11.000738781068842,5.972681475183338,185.3799908181343,4.899909730850478,11.756607587475836,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,15.63803323510637,5.114250125629398,30.33183534230805,42.316108456931055,30.90963322343193,28.664191750916512,4.923311048817671,22.74954509873425,10.523783109476971,0.0,10.228500251258795,12.84164324585202,17.98942254267563,94.0376260736989,12.138442625584547,4.899909730850478,22.74954509873425,0.0,0.0,18.012823860642822,6.4208216229260096,32.77654400382709,17.54772460632,83.02490507279813,0.0,0.0,118.68,4.923311048817671,15.37620982350406,0.0,16.93822404106412,18.652964303522147,18.652964303522147,23.762552697081823,12.13273413692322,36.40105665510033,33.33036543182477,5.261891554738487,0.0,0.0,12.454769332492049,37.29589209846076,2.97259246681847,0.0,25.58473851668235,1.2898202813146202,1.402187304231753,0.0,0.1666666666666666,32,0,8,0,0,0,3,0,3,7,0,8,9,0,0,0,3,5.8446600000000055,121.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N(CCN)CC=1C=CC=CC1,0,5.330166603678508,0.7012237811791383,5.330166603678508,0.7012237811791383,0.6210413461036821,150.225,136.11299999999997,150.115698448,60,0,0.0205533263639061,-0.3292079101030942,0.3292079101030942,0.0205533263639061,1.181818181818182,1.9090909090909087,2.5454545454545454,14.865101103851424,10.204756248729364,1.8696849425606248,-2.008562117823103,1.955704887430968,-2.212021155464234,5.13560593940776,0.694768601876198,2.2758012873675093,184.01403827281283,7.9413112998685556,6.585421958697399,6.585421958697399,5.431851652578137,3.879592064766644,3.879592064766644,2.45105038954494,2.45105038954494,1.493063069903464,1.493063069903464,0.9306496889351392,0.9306496889351392,-0.8600000000000001,414.0733220718486,8.23861932938856,4.8800539566606185,3.161587790983284,67.41598234330755,11.050456081168516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,19.634269217737724,0.0,0.0,0.0,0.0,5.316788604006331,5.733667477162185,6.544756405912575,13.08951281182515,35.89528683400505,0.0,11.050456081168516,0.0,0.0,0.0,13.08951281182515,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,0.0,38.05,0.0,0.0,0.0,0.0,6.544756405912575,13.08951281182515,5.563451491696996,0.0,18.19910120538483,17.449522740929552,5.733667477162185,0.0,0.0,0.0,3.2263425925925926,6.636601788863693,0.0,10.303952585663897,0.0,2.4997696995464853,0.0,0.3333333333333333,11,3,2,0,0,0,1,0,1,2,2,2,4,0,0,0,1,0.7348999999999993,47.20310000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NC=1C(C)=CC(C=2C=C(C)C(N)=CC2)=CC1,0,5.800801891744352,0.8295527315864619,5.800801891744352,0.8295527315864619,0.7133911900621517,212.296,196.16799999999995,212.131348512,82,0,0.0343645128528648,-0.3985135232903777,0.3985135232903777,0.0343645128528648,0.6875,1.0625,1.375,14.555128300604116,10.001157506418965,2.014204618119739,-2.0731450119247183,2.254388430148791,-1.9143497083113328,5.699893346931119,1.4382168795000467,2.5020803743746223,480.7537051739064,11.706742302257044,9.618802153517008,9.618802153517008,7.575387400469408,5.303418012614796,5.303418012614796,4.142734410091837,4.142734410091837,2.8729340511723365,2.8729340511723365,1.7105232868024025,1.7105232868024025,-1.96,4453.211453270732,10.554231552738791,3.891413532893501,1.8664167146587,95.89816294837966,11.46733495432437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,60.36674864001567,11.374772549367124,0.0,0.0,11.374772549367124,0.0,0.0,0.0,13.847474399381248,11.46733495432437,47.52510539416365,11.126902983393991,11.46733495432437,11.374772549367124,0.0,0.0,0.0,0.0,13.847474399381248,11.126902983393991,36.39820241076966,0.0,11.126902983393991,52.04,0.0,0.0,0.0,0.0,0.0,22.50167553276112,11.126902983393991,0.0,38.112942673227685,12.13273413692322,11.46733495432437,0.0,0.0,0.0,0.0,17.81955750818846,0.0,12.146729024943308,0.0,4.033713466868229,0.0,0.1428571428571428,16,4,2,0,0,0,2,0,2,2,2,2,1,0,0,0,2,3.1348400000000005,70.17680000000003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
