SMILES,DC_exp
C#CCCCC,2.621
C#CCO,20.8
C#COCC,8.05
C#COCCCC,6.62
C#COc1ccccc1,4.76
C#Cc1ccccc1,2.98
C1=CC2C3C=CC(C3)C2C1,2.4601000000732864
C1=CCC=CC1,2.207378944222275
C1=CCCC1,2.07431816226685
C1=CCCCC1,2.2057709438565003
C1=CCCCCC1,2.2570926607670003
C1=CCCCCCC1,2.30425830702425
C1CCC(OC2CCCCC2)CC1,3.4026223437500014
C1CCC2CCCCC2C1,2.19601897401385
C1CCCC1,1.960770646323625
C1CCCCC1,2.016470689689275
C1CCCCCC1,2.0712698499715874
C1CCCCCCC1,2.111504049335625
C1CCOC1,7.52
C1CCOCC1,5.544150260970001
C1CO1,12.42
C1COCCO1,2.2099264
C=C(C)C,2.1225
C=C(C)C(=C)C,2.1001264733978746
C=C(C)C(=O)OC,6.32
C=C(C)C(=O)OCC,5.68
C=C(C)C1CC=C(C)CC1,2.3742
C=C(C)C=CC,2.422
C=C(C)CC,2.18
C=C(C)CC(C)(C)C,2.0908
C=C(C)c1ccccc1,2.28
C=C1CCC2CC1C2(C)C,2.497
C=CC(=C)C,2.098
C=CC(=C)CCC=C(C)C,2.3
C=CC(=O)OC,7.03
C=CC(=O)OCC,6.05
C=CC(=O)OCCCC,5.25
C=CC(C)=CC,2.426
C=CC=C(C)C,2.5878519008374994
C=CC=CC,2.319
C=CCC=C,2.054
C=CCCC,2.011
C=CCCC=C,2.125
C=CCCCC,2.077
C=CCCCC=C,2.161
C=CCCCCC,2.0826811539797503
C=CCCCCC=C,2.186
C=CCCCCCC,2.0923001875
C=CCCCCCCC,2.1705272991165
C=CCCCCCCCC,2.128355783125
C=CCCCCCCCCC,2.1281916613252503
C=CCCCCCCCCCC,2.1447582775000003
C=CCCCCCCCCCCC,2.128583476165
C=CCO,19.010982895087754
C=CCc1ccc(O)c(OC)c1,9.318874521925
C=CCc1ccccc1,2.63
C=COC=C,3.94
C=COCC(C)C,3.3152499996311366
C=Cc1ccc(CC)cc1,3.35
C=Cc1ccccc1,2.4641254600000004
CC,1.4369695698470002
CC(=CC(C)C)CC(C)C,2.293
CC(=O)C(C)(C)C,12.73
CC(=O)C(C)=O,4.02576587
CC(=O)C(C)C,10.287978647249998
CC(=O)C=CC1=C(C)CCCC1(C)C,11.66
CC(=O)C=CC1C(C)=CCCC1(C)C,10.78
CC(=O)CC(C)(C)O,18.2
CC(=O)CC(C)=O,26.524
CC(=O)CC(C)C,12.887117429060003
CC(=O)CCC(C)C,13.102713048875003
CC(=O)O,6.252837716950001
CC(=O)OC(C)(C)C,5.503229312075007
CC(=O)OC(C)=O,22.45
CC(=O)OC1CC2CCC1(C)C2(C)C,4.46
CC(=O)OC1CCCCC1,5.08
CC(=O)OCC(C)C,4.974990021335001
CC(=O)OCC(COC(C)=O)OC(C)=O,6.955858790177499
CC(=O)OCCC(C)C,4.72
CC(=O)OCCO,12.95
CC(=O)OCCOC(C)=O,7.7
CC(=O)OCCc1ccccc1,4.93
CC(=O)OCc1ccccc1,5.34
CC(=O)Oc1ccccc1,5.403345275305
CC(=O)c1ccccc1,17.425829171375
CC(C)(C)C,1.769
CC(C)(C)C=O,8.84280564726675
CC(C)(C)CC(=O)O,2.85
CC(C)(C)O,12.340772861263744
CC(C)(C)c1ccccc1,2.3447091406250005
CC(C)(O)Cc1ccccc1,5.6512005531875005
CC(C)(O)c1ccccc1,5.61
CC(C)=CCC(C)C,2.431
CC(C)=O,20.49331470812499
CC(C)C,1.747221504192325
CC(C)C(=O)O,2.58
CC(C)C(=O)OC(=O)C(C)C,13.6
CC(C)C(C)(C)C,1.93
CC(C)C(C)C,1.8794060803674748
CC(C)C(C)C(C)C,1.9738
CC(C)C(C)O,12.1
CC(C)C1=CC(=O)C(C)CC1,18.8
CC(C)CC(=O)CC(C)C,9.69871761315
CC(C)CC(C)(C)C,1.9357712628982728
CC(C)CC(C)C,1.893919358455825
CC(C)CCC(C)C,1.955427537019
CC(C)CCCC(C)C,1.987
CC(C)CCCC(C)O,5.965255807799991
CC(C)CCCCC(C)C,1.98
CC(C)CCCCCO,9.804849291175008
CC(C)CCO,14.953872279150008
CC(C)CCOC(=O)C(C)O,9.834654860275002
CC(C)CCOC(=O)CC(C)C,4.259782960275002
CC(C)CCOC(=O)c1ccccc1O,7.086951818465001
CC(C)CCOC=O,5.211202500000002
CC(C)CCOCCC(C)C,2.7917199062500004
CC(C)CO,16.795134053408177
CC(C)COC(=O)CCCCC(=O)OCC(C)C,5.19
CC(C)COC(=O)c1ccccc1,5.39
CC(C)COC=O,6.41
CC(C)Cc1ccccc1,2.30713780275
CC(C)O,19.264498727025018
CC(C)OC(=O)C(=O)OC(C)C,6.338609966
CC(C)OC(C)C,3.805
CC(C)c1ccc(C=O)cc1,10.68
CC(C)c1ccccc1,2.3711815348167504
CC(O)CC(=O)O,31.5
CC(O)CC(C)(C)O,24.891447090175006
CC(O)CC(C)O,24.69
CC(O)CCCO,26.205025696550024
CC(O)CCO,28.846244999999996
CC(O)CO,28.37777981304035
CC(O)Cc1ccccc1,8.950856915875008
CC(O)c1ccccc1,8.454135488024997
CC1(O)CCCC1,8.068990693725006
CC12CCC(C1)C(C)(C)C2=O,12.8
CC12CCC(CC1)C(C)(C)O2,4.57
CC1=C(C)CCCC1,2.140272184268375
CC1=CC(C)CCC1,2.1766291118985
CC1=CC=C(C(C)C)CC1,2.4526
CC1=CCC(=C(C)C)CC1,2.2918
CC1=CCC(C(C)C)=CC1,2.2738
CC1=CCC2CC1C2(C)C,2.1787
CC1CCC(=O)CC1,12.35
CC1CCC(C(C)C)C(O)C1,3.933676144632501
CC1CCC(O)CC1,12.709389601850006
CC1CCC2CC1C2(C)C,2.1456
CC1CCCC(=O)C1,12.4
CC1CCCC(O)C1,12.980344112075004
CC1CCCC1,1.980648546875
CC1CCCCC1,2.024
CC1CCCCC1=O,14.0
CC1CCCCC1O,8.682323486499996
CC1CCCO1,6.97
CC1COC(=O)O1,64.90605216990002
CC=C(C)C,1.979
CC=C(C)CCCC,2.436
CC=C(CC)CC,2.051
CC=CC,1.96
CC=CC(=O)OC,6.6645
CC=CC(=O)OCC,5.4
CC=CC=CC,2.141036983240663
CC=CCCC,1.978
CC=Cc1ccccc1,2.73
CC=O,21.0
CCC,1.66962767819975
CCC(=O)CC,16.780450588775
CCC(=O)O,3.45350014118175
CCC(=O)OC,6.077699
CCC(=O)OC(=O)CC,18.3
CCC(=O)OC1CCCCC1,4.82
CCC(=O)OCCC(C)C,4.783600760787497
CCC(=O)OCc1ccccc1,5.11
CCC(=O)Oc1ccccc1,4.77
CCC(C)(C)C,1.8601000931165
CCC(C)(C)C(C)C,1.978
CCC(C)(C)CC,1.9318113385615252
CCC(C)(C)CO,10.070547323725023
CCC(C)(C)O,5.714103370000018
CCC(C)(CC)CC,1.9777526307387503
CCC(C)(O)CC,4.322
CCC(C)=O,18.24570130250001
CCC(C)C,1.845
CCC(C)C(C)(C)C,1.96
CCC(C)C(C)C,1.92159129929975
CCC(C)C(C)CC,1.97267165779525
CCC(C)CC,1.8777305628665
CCC(C)CC(O)CC,3.832
CCC(C)CCC(C)C,1.89
CCC(C)CCC(C)O,7.1465625944250135
CCC(C)CCCCO,7.154852246150007
CCC(C)CCO,15.2
CCC(C)CO,15.603921874999996
CCC(C)O,15.943596847684162
CCC(C)OC(C)=O,5.034630408835
CCC(C)c1ccccc1,2.34458071305825
CCC(CC)C(=O)O,2.72
CCC(CC)CC,1.934672913132925
