SMILES,MP-Measured,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C,-182.4,0.0,0.0,0.0,0.0,0.3597849378839701,0.0,16.043,12.011,16.031300127999998,8,0,-0.07755789119307553,-0.07755789119307553,0.07755789119307553,0.07755789119307553,1.0,1.0,1.0,12.011,12.011,-0.07755789119307553,-0.07755789119307553,0.1441,0.1441,2.503,2.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739251027829551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426652776455239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.6361,6.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#C,-80.7,4.0,4.0,4.0,4.0,0.3329262983047797,1.0,26.037999999999997,24.022,26.015650064,10,0,-0.1235442874286935,-0.1235442874286935,0.1235442874286935,0.1235442874286935,1.0,1.0,1.0,12.588350269189625,11.433649730810373,0.4538059817609323,-0.7008945566183192,0.5790502691896258,-0.5756502691896258,4.465350269189625,3.3106497308103737,1.0,3.0,4.754887502163469,2.0,1.1547005383792517,1.1547005383792517,1.0,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,2.0,1.5600000000000003,0.5599999999999999,-4.712727272727272,14.103418534085428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4368,0,0.24939999999999998,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC,-102.7,4.597222222222222,4.597222222222222,1.6527777777777777,1.6527777777777777,0.34772809547953587,2.6666666666666665,40.065,36.033,40.031300128,16,0,-0.002967145727824748,-0.1204050604029647,0.1204050604029647,0.002967145727824748,2.0,2.0,2.0,13.166133740443081,10.856732284798312,1.0856736324802987,-1.227260764199471,1.2131522987310865,-1.1019892832097544,4.732114131271432,1.940409293105559,0.9182958340544897,2.475534205527556,21.509775004326936,2.7071067811865475,2.0773502691896257,2.0773502691896257,1.4142135623730951,0.7886751345948129,0.7886751345948129,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,-0.44,2.754887502163469,2.56,1.5600000000000003,1.5599999999999996,20.468360648482037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.597222222222222,1.6527777777777777,0.0,0.3333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3312000000000002,0,0.6395,14.507000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC#C,-36.4,4.541666666666667,4.541666666666667,1.9583333333333335,1.9583333333333335,0.3452918329404546,2.5,50.059999999999995,48.044,50.015650064,18,0,-0.019059005167027642,-0.10585412383428452,0.10585412383428452,0.019059005167027642,1.0,1.25,1.25,13.275691915602167,10.74782058976595,1.2312816051571862,-1.297945727126049,1.266391915602169,-1.2614794102340472,5.1526919156021735,2.6248205897659553,1.3709505944546687,3.137461179749811,55.01955000865387,3.414213562373095,2.1547005383792515,2.1547005383792515,1.914213562373095,0.8273502691896257,0.8273502691896257,0.2886751345948129,0.2886751345948129,0.08333333333333336,0.08333333333333336,0.0,0.0,-0.88,6.854752972273344,3.12,2.1200000000000006,1.120000000000002,25.832528154737915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,11.840868637711289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.687568428951806,0.0,0.0,0.0,0.0,0.0,0.0,24.687568428951806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.840868637711289,12.846699791240518,0.0,0.0,0.0,0.0,0.0,0.0,3.916666666666667,0.0,9.083333333333334,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6536000000000004,0,0.2528,17.665999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C#CC(=C)C,-113.0,4.8217592592592595,4.8217592592592595,0.7824074074074077,0.7824074074074077,0.37253922246462745,5.6,66.103,60.05499999999999,66.046950192,26,0,-0.008526315527030918,-0.11503793953958465,0.11503793953958465,0.008526315527030918,2.0,2.2,2.2,13.638543297915879,10.38582215044691,1.5894542548661137,-1.6644188352622664,1.7432225497454588,-1.5154499867357296,5.17067426576053,1.630116950882591,1.3787834934861756,3.348800763644439,72.52932501298082,4.284457050376173,3.284457050376173,3.284457050376173,2.270055610029662,1.3922285251880866,1.3922285251880866,0.924667653187317,0.924667653187317,0.24639963991337221,0.24639963991337221,0.0,0.0,-0.7000000000000001,9.65148445440323,4.300000000000001,1.603030303030303,3.3,32.508641845091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,12.499370002454143,12.49684172975989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.152040213667764,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,6.923737199690624,12.152040213667764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5731045300692665,0.0,6.923737199690624,0.0,12.499370002454143,6.423349895620259,0.0,0.0,0.0,0.0,0.7824074074074077,2.3333333333333335,0.0,4.8217592592592595,5.229166666666667,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3786060606060608,0,1.1957,23.64699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC(=O)O,9.0,9.131944444444445,9.131944444444445,1.2175925925925923,-1.2175925925925923,0.3972827977311012,5.4,70.047,68.031,70.005479304,26,0,0.3811396417809052,-0.4716348271194166,0.4716348271194166,0.3811396417809052,2.0,2.2,2.2,16.364293934834993,10.738093844382028,1.7371530243909508,-1.595760339342868,1.4427000337170577,-1.829891652613409,5.8501940619711705,-0.12992031822916464,1.3787834934861756,3.348800763644439,77.38407798525417,4.284457050376173,2.4328121551534467,2.4328121551534467,2.270055610029662,0.9664060775767234,0.9664060775767234,0.44949013170588936,0.44949013170588936,0.12347528753566926,0.12347528753566926,0.0,0.0,-0.97,9.65148445440323,4.030000000000001,1.3600330033003303,3.030000000000002,29.42411650072181,5.106527394840706,0.0,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,6.423349895620259,0.0,0.0,5.920434318855644,0.0,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,12.343784214475903,0.0,0.0,0.0,0.0,0.0,37.3,5.9693052879518484,0.0,0.0,0.0,0.0,0.0,5.920434318855644,0.0,0.0,6.423349895620259,9.901064578912528,0.0,0.0,9.131944444444445,7.486111111111111,0.0,0.22685185185185208,0.0,4.3217592592592595,0.0,0.0,0.0,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1.0961866006600665,0,-0.2958,16.4688,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC(C)(C)C,-78.2,5.055555555555555,5.055555555555555,0.06944444444444442,0.06944444444444442,0.38979118257318324,10.333333333333334,82.14599999999999,72.06599999999999,82.07825032,34,0,0.022719528256669997,-0.11954632983019578,0.11954632983019578,0.022719528256669997,1.3333333333333333,1.5,1.5,14.034940440774104,9.990355672485432,2.0024739375673875,-2.0435450722630426,2.0776337509661644,-1.9705033609670346,4.964119620470112,0.5714305600239037,1.3516441151533924,3.552734354515761,67.01955000865388,5.207106781186548,4.577350269189626,4.577350269189626,2.5606601717798214,2.038675134594813,2.038675134594813,2.3943375672974065,2.3943375672974065,0.4330127018922194,0.4330127018922194,0.0,0.0,-0.44,12.164797036380532,5.559999999999999,1.3429417013682328,3.5599999999999987,39.563186991671856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,0.0,20.771211599071872,5.414990469396779,0.0,0.0,0.0,0.0,0.0,5.414990469396779,20.771211599071872,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,17.75877468387268,20.771211599071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414990469396779,0.0,0.0,0.0,0.0,20.771211599071872,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,0.06944444444444442,2.6041666666666665,0.0,5.055555555555555,6.020833333333334,0.0,0.6666666666666666,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2444593099345622,0,1.6657,28.287999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC(C)(C)O,3.0,8.590277777777779,8.590277777777779,0.9305555555555554,-0.9305555555555554,0.42083972762220634,10.333333333333334,84.11799999999998,76.05399999999999,84.057514876,34,0,0.1192025256806494,-0.3782158677258175,0.3782158677258175,0.1192025256806494,1.6666666666666667,1.8333333333333333,1.8333333333333333,16.280183133595337,10.161557596442574,2.0272751830074296,-2.0350237514267633,1.9342770142904029,-2.1307273398272044,5.0025613772730955,0.14360083586314884,1.3516441151533924,3.552734354515761,70.919684538544,5.207106781186548,4.024563864689584,4.024563864689584,2.5606601717798214,1.7622819323447918,1.7622819323447918,1.7033545616723538,1.7033545616723538,0.3532248570316032,0.3532248570316032,0.0,0.0,-0.48,12.164797036380532,5.52,1.3174330987240765,3.5199999999999982,37.99247862947126,5.106527394840706,5.601050810983688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,5.920434318855644,13.847474399381248,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,19.448525210364934,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,10.707578205824394,0.0,12.343784214475903,13.847474399381248,0.0,0.0,0.0,0.0,20.23,5.601050810983688,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,5.920434318855644,11.529877290460965,0.0,0.0,0.0,8.590277777777779,-0.9305555555555554,2.1597222222222223,0.0,4.805555555555555,3.125,0.0,0.6,6,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.2120384508261504,0,0.3905,25.13079999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,97.0,11.92224537037037,11.92224537037037,6.944444444401121e-05,-1.1792044595616018,0.6538836088289658,13.166666666666666,246.262,232.14999999999995,246.089208928,94,0,0.3400246269325493,-0.4776203381012829,0.4776203381012829,0.3400246269325493,1.3888888888888888,1.9444444444444444,2.388888888888889,16.5537420746963,10.03753704043079,2.263945565440368,-2.220092308382448,2.1826234148411117,-2.2935551338256444,6.020697257918982,0.012814904513277674,2.379934533537021,3.062349524874275,512.7704310398213,13.759148545064338,10.265816594026225,10.265816594026225,8.431669413113385,5.466788954241966,5.466788954241966,3.9690007264983187,3.9690007264983187,2.6753391146468,2.6753391146468,1.3108757326809601,1.3108757326809601,-2.28,8225.053747903943,13.783613231552165,5.367837730609007,2.888962350780533,105.58098860831954,9.843390348640755,0.0,5.601050810983688,0.0,0.0,11.938610575903697,0.0,9.589074368143644,0.0,6.423349895620259,24.976905655469487,25.477292959539852,0.0,11.126902983393991,19.432464716784395,11.938610575903697,0.0,0.0,0.0,25.869346833290944,0.0,35.392371257240434,0.0,12.343784214475903,0.0,0.0,0.0,0.0,22.646188781728092,4.736862953800049,12.343784214475903,40.98427337384489,24.26546827384644,0.0,0.0,0.0,63.60000000000001,17.539661386887385,9.589074368143644,0.0,11.126902983393991,6.4208216229260096,0.0,12.13273413692322,25.980208536304467,0.0,5.920434318855644,16.266740244261015,5.174814814814814,0.0,22.905047556059458,8.979160997732427,-1.1242682350718056,0.4812081916099782,5.860215104560343,5.747114276266062,3.3933739606953894,0.0,0.2857142857142857,18,1,4,0,0,0,0,1,0,1,1,0,3,1,4,0,4,0,0,0,0,1,4.1104555093581805,1,2.3435,66.34580000000003,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC(C)(O)CC,30.5,8.895833333333332,8.895833333333332,0.6145833333333334,-0.8888888888888888,0.4803950453905759,17.428571428571427,98.14499999999998,88.06499999999998,98.07316494,40,0,0.12172478089305994,-0.37793275253018743,0.37793275253018743,0.12172478089305994,1.8571428571428572,2.2857142857142856,2.2857142857142856,16.281219671646035,10.066937147496283,2.1002168165853305,-2.1011672111419064,2.0328541849273924,-2.181231273107297,5.026025939813075,0.1180827918737764,1.6774212838293645,3.6557909262199413,86.84336711741774,5.914213562373096,4.731670645876131,4.731670645876131,3.121320343559643,2.322942104124613,2.322942104124613,1.7717451234139783,1.7717451234139783,0.999393331248492,0.999393331248492,0.10206207261596575,0.10206207261596575,-0.48,26.838740541269832,6.52,1.9942530556813034,2.24463768115942,44.35742074386786,5.106527394840706,5.601050810983688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,12.844171518546268,13.344558822616634,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,25.869346833290944,0.0,0.0,0.0,12.343784214475903,0.0,0.0,0.0,0.0,10.707578205824394,0.0,12.343784214475903,20.268296022307258,0.0,0.0,0.0,0.0,20.23,5.601050810983688,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,6.923737199690624,6.923737199690624,5.920434318855644,11.529877290460965,0.0,0.0,0.0,8.895833333333332,-0.8888888888888888,2.2465277777777777,0.0,5.5313888888888885,3.465138888888889,0.0,0.6666666666666666,7,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1.8575042747202997,0,0.7806,29.747799999999987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
