SMILES,Activity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
BrC(Br)Br,0,3.1041666666666665,3.1041666666666665,0.27083333333333326,0.27083333333333326,0.5812778100557083,9.0,252.731,251.72299999999998,249.762836332,26,0,0.1242210391429418,-0.06371690512631244,0.1242210391429418,0.06371690512631244,1.0,1.0,1.0,79.95015715657301,11.966842843427022,1.765796165548265,-1.7032920315316362,2.131510843773626,-1.4890108437736254,9.380183234707758,2.2798167652922494,0.8112781244591328,2.3237900077244498,8.0,3.5773502691896257,1.7112436882173077,6.46923330556142,1.7320508075688772,0.6546536707079772,3.4016802570830453,0.24743582965269675,6.680767400622813,0.0,0.0,0.0,0.0,1.44,3.2451124978365313,5.439999999999999,2.6652252252252246,9.876728395061724,50.341893844753635,0.0,2.6457101185676493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78983169384804,0.0,0.0,0.0,0.0,47.78983169384804,0.0,0.0,0.0,2.6457101185676493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.78983169384804,2.6457101185676493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6457101185676493,0.0,0.0,0.0,0.0,0.0,47.78983169384804,0.0,0.27083333333333326,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.6247063063063045,0,2.4547,30.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC(Br)C(Br)Br,0,3.261574074074074,3.261574074074074,0.3101851851851851,0.3101851851851851,0.6402410067492498,11.0,345.654,343.638,341.688998464,38,0,0.09197940541960592,-0.0742996396999463,0.09197940541960592,0.0742996396999463,0.6666666666666666,0.8333333333333334,0.8333333333333334,79.93694357483744,10.982039260355934,2.040799465535427,-1.9645341943016417,2.237632383003616,-1.925620883938426,9.290466596095287,1.4635280402052069,1.3609640474436813,2.9934972434784735,26.529325012980813,5.1547005383792515,2.6665584304161607,9.010544586874977,2.6427344100918364,1.206204894277303,4.868907009444061,0.6689098504474342,7.07245961658045,0.19047619047619047,5.142857142857143,0.0,0.0,1.92,13.609640474436812,7.919999999999998,3.8663320069380673,4.088918918918919,70.57438356479159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,0.0,0.0,7.4728841888644615,0.0,63.719775591797394,0.0,0.0,0.0,7.4728841888644615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,7.4728841888644615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4728841888644615,0.0,0.0,0.0,0.0,63.719775591797394,0.0,0.6203703703703702,13.046296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5.103558249158247,0,3.2182000000000004,43.284000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC(Br)c1ccccc1OCC1CO1,0,5.637361111111112,5.637361111111112,0.1308531746031747,0.1308531746031747,0.6269679868580863,19.785714285714285,321.99600000000015,311.91600000000005,319.90475375999995,76,0,0.12412749349973116,-0.4904297341272848,0.4904297341272848,0.12412749349973116,1.4285714285714286,2.142857142857143,2.7857142857142856,79.93445253207501,10.20499110014506,2.2328328878051633,-2.1037283706925107,2.3528137020811664,-2.050520904461739,9.237155413567056,0.26141534071068084,2.9831093693419404,2.0495569754405554,310.74523741954465,9.966255326250886,7.450740704457031,10.62273378268644,6.770856947829096,4.386134440001224,6.217485497584603,3.1048686195114703,6.164988005293201,1.9812060830880185,2.967709360522098,1.139248323110578,1.8957177405179926,-0.060000000000000074,3532.0014933008574,10.457554376363102,4.639729076899705,2.71551460958385,99.84752609385066,9.473725907600098,18.460360185545127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.05898900128353,6.06636706846161,5.563451491696996,10.343324058945148,9.473725907600098,31.859887795898697,0.0,0.0,0.0,9.840408482180534,13.213763929025836,29.828919765543436,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,31.859887795898697,19.31773031677414,4.736862953800049,0.0,9.299893586129226,24.26546827384644,0.0,0.0,0.0,21.759999999999998,0.0,0.0,0.0,3.7364420944322307,12.71084835226122,17.919845289493818,0.0,0.0,24.26546827384644,31.859887795898697,9.473725907600098,10.85034627739985,6.9227999811035525,0.0,0.0,1.1047685185185188,0.9043981481481483,7.949201152683297,0.29829365079365044,1.4701922713529858,0.0,0.4,14,0,2,0,1,1,0,1,0,1,1,0,2,0,4,1,4,0,1,1,0,1,3.4657299366622607,2,3.252600000000002,62.272000000000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0,3.8160363520408165,3.8160363520408165,0.5603259637188207,0.5603259637188207,0.2522005601980671,45.0,641.6999999999999,623.5559999999999,635.6508731760001,108,0,0.02710319874597883,-0.08785387114502827,0.08785387114502827,0.02710319874597883,0.3333333333333333,0.4444444444444444,0.5555555555555556,79.92410213240801,10.004835528123623,2.252477785478836,-2.254460542032712,2.336013566772932,-2.2459689374617136,9.12622808204506,0.5568971145453554,2.361901383287262,2.612152805754491,174.56842503028858,13.706742302257043,9.974529140312404,19.49050837500063,8.413591357920934,6.258797084199133,11.75285025694927,4.828013415732979,11.884888748613477,3.3320332973899682,12.036283413543556,2.040385996394628,5.212379074624037,2.88,7860.407803580008,18.927892720306513,9.807579365079365,6.760453541071917,160.95306876651117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57966338769609,38.524929737556064,28.963044421780875,0.0,0.0,95.57966338769609,0.0,0.0,0.0,67.48797415933694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57966338769609,28.963044421780875,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.963044421780875,0.0,38.524929737556064,0.0,0.0,95.57966338769609,0.0,0.0,22.896218112244902,3.3619557823129247,0.0,0.0,0.0,0.0,7.241826105442177,0.0,0.0,1.0,18,0,0,1,0,1,0,0,0,0,6,0,0,0,6,0,0,1,0,1,0,6,10.313156114895227,1,6.921600000000004,103.99200000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC1CCC(Br)C(Br)CCC1Br,0,3.7027314814814813,3.7027314814814813,0.6366203703703701,0.6366203703703701,0.4950951030281583,45.0,427.80000000000007,415.704,423.767248784,72,0,0.02710319874597883,-0.08785387114502827,0.08785387114502827,0.02710319874597883,0.5,0.6666666666666666,0.8333333333333334,79.92204088860437,10.004835528123625,2.2470257783935024,-2.2544605420327133,2.330154741056411,-2.2459689374617064,9.123322916850343,0.556897114545354,2.0700345588576434,2.450052921667673,107.01955000865388,9.137828201504695,6.649686093541602,12.99367225000042,5.609060905280622,4.172531389466089,7.835233504632845,3.2186756104886527,7.923259165742316,2.221355531593313,8.024188942362372,1.360257330929752,3.47491938308269,1.92,457.4776375075392,11.99183908045977,5.716615911989795,3.582142546087966,107.758205097642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,25.683286491704038,19.30869628118725,0.0,0.0,63.719775591797394,0.0,0.0,0.0,44.9919827728913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,19.30869628118725,0.0,0.0,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.30869628118725,0.0,25.683286491704038,0.0,0.0,63.719775591797394,0.0,0.0,14.810925925925925,2.546481481481481,0.0,0.0,0.0,0.0,4.975925925925926,0.0,0.0,1.0,12,0,0,1,0,1,0,0,0,0,4,0,0,0,4,0,0,1,0,1,0,4,5.7127281751147825,1,4.6144000000000025,69.32800000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC=CBr,0,3.0208333333333335,3.0208333333333335,1.7291666666666667,1.7291666666666667,0.5435004110474421,9.5,185.84599999999998,183.82999999999998,183.852324264,24,0,-0.011957664256772036,-0.058921763821950336,0.058921763821950336,0.011957664256772036,1.0,1.25,1.25,79.91991032899568,11.289347993908198,1.3880901549577371,-1.4414523570201756,1.855433806167522,-1.0725670520887107,9.13199507091701,2.6469517735485844,1.3709505944546687,2.549193338482967,19.219280948873624,3.414213562373095,1.910629484397706,5.082622562627114,1.914213562373095,0.7697691138053182,2.601120171388697,0.25197631533948484,1.3093073414159546,0.047619047619047616,1.2857142857142858,0.0,0.0,0.7,6.854752972273344,4.7,3.7,2.700000000000001,42.14968532132462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,9.9705762619386,0.0,0.0,0.0,31.859887795898697,0.0,0.0,0.0,0.0,0.0,9.9705762619386,0.0,0.0,0.0,0.0,0.0,31.859887795898697,0.0,0.0,0.0,0.0,9.9705762619386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9705762619386,0.0,31.859887795898697,0.0,0.0,6.041666666666667,3.4583333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4.3475,0,2.2474,26.993999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC=Cc1ccccc1,0,3.2055144557823128,3.2055144557823128,1.217013888888889,1.217013888888889,0.6270916563222549,10.333333333333334,183.048,175.99199999999996,181.973112324,46,0,-0.018293578039041903,-0.06222609466658146,0.06222609466658146,0.018293578039041903,1.1111111111111112,1.7777777777777777,2.3333333333333335,79.91872788159452,10.213086031755047,1.7757755209595267,-1.8597964222096148,2.0113001732790377,-1.642935896295929,9.109290134939863,1.6657223313579692,1.9100860088599134,2.8479481764153847,188.98242576044356,6.52709773749546,4.919416357336608,6.505412896451314,4.431851652578137,2.7509099606870984,3.666585489478788,1.7033384268593688,2.232003939897604,1.0550166599765949,1.3193494164957125,0.6368893266552895,0.942114502919186,-0.56,145.16653667335342,6.558483412322274,3.462586900316001,2.020085436209098,63.33923192174728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2617792402574,16.624759729500177,0.0,0.0,0.0,22.00596400478323,0.0,0.0,0.0,0.0,0.0,40.88057496497434,0.0,0.0,0.0,0.0,0.0,15.929943897949348,0.0,0.0,0.0,5.563451491696996,35.31712347327735,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,29.26040944318801,28.06267803487257,0.0,0.0,3.2055144557823128,1.849537037037037,0.0,1.217013888888889,0.0,10.144601284958428,2.0,0.0,0.0,0.0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2.5232576388274324,1,3.052200000000001,44.40300000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrCC(CBr)(CBr)CBr,0,3.4635416666666665,3.4635416666666665,0.3333333333333335,0.3333333333333335,0.6472091169487535,12.0,387.735,379.671,383.735948656,56,0,0.011199482999603216,-0.09210878040740475,0.09210878040740475,0.011199482999603216,0.6666666666666666,0.8888888888888888,0.8888888888888888,79.92182899112952,10.005324671854629,2.2403101202372833,-2.235223511987072,2.2708186777153148,-2.277497597930826,9.105177846562766,0.5322616028481677,1.9460397819628557,3.824684203207495,51.84847143196431,7.328427124746191,4.840285016783099,11.184271173241916,4.242640687119286,2.483258530022792,6.969134161008403,2.0345224838248486,4.277460299317654,1.1338934190276813,5.891883036371794,0.21428571428571422,5.785714285714283,1.92,93.40990953421706,10.92,5.555061483716949,3.211319857312723,89.66920990798141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,0.0,26.735349057642487,0.0,0.0,63.719775591797394,0.0,0.0,5.414990469396779,0.0,21.320358588245707,0.0,0.0,0.0,0.0,0.0,0.0,63.719775591797394,21.320358588245707,0.0,5.414990469396779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414990469396779,21.320358588245707,0.0,0.0,0.0,63.719775591797394,0.0,0.0,13.854166666666666,0.0,4.0625,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6.740141266909898,0,3.5524000000000013,57.609000000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrCCBr,0,3.201388888888889,3.201388888888889,1.0486111111111112,1.0486111111111112,0.5496400415990373,7.5,187.862,183.82999999999998,185.867974328,26,0,0.012858597828711611,-0.09190389857679508,0.09190389857679508,0.012858597828711611,1.0,1.25,1.25,79.91997558423593,10.99651658783644,1.604031990541181,-1.6345162219443494,1.8228633887549894,-1.6100720334176313,9.114875109822028,1.6164658543064645,1.3709505944546687,1.9747448713915894,6.0,3.414213562373095,2.1701425083915495,5.342135586620957,1.914213562373095,1.0345224838248486,3.277460299317654,0.3779644730092271,1.9639610121239308,0.07142857142857141,1.9285714285714277,0.0,0.0,0.96,6.854752972273344,4.960000000000001,3.9600000000000004,2.9600000000000004,42.83928835350887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,0.0,10.660179294122853,0.0,0.0,31.859887795898697,0.0,0.0,0.0,0.0,10.660179294122853,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,10.660179294122853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.660179294122853,0.0,0.0,0.0,31.859887795898697,0.0,0.0,6.402777777777778,0.0,2.0972222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4.910400000000001,0,1.7762,27.587999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrCCCBr,0,3.279513888888889,3.279513888888889,1.109375,1.109375,0.6014232508173057,8.4,201.889,195.84099999999998,199.883624392,32,0,0.003920518154214517,-0.09277654240938792,0.09277654240938792,0.003920518154214517,1.0,1.4,1.4,79.91976262360691,10.590062956319871,1.7096321025578087,-1.7565064521143945,1.896050752417141,-1.6883489125129756,9.094087295424744,1.1487467940058387,1.4056390622295665,2.19060968716425,12.364527976600282,4.121320343559642,2.877249289578097,6.049242367807505,2.414213562373095,1.5345224838248486,3.777460299317654,0.7315178636025008,2.3175144027172045,0.2672612419124243,1.3887301496588267,0.05050762722761051,1.3637059351454839,0.96,11.245112497836532,5.959999999999999,4.960000000000001,4.96,49.20423046790548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,6.4208216229260096,10.660179294122853,0.0,0.0,31.859887795898697,0.0,0.0,0.0,6.4208216229260096,10.660179294122853,0.0,0.0,0.0,0.0,0.0,0.0,31.859887795898697,10.660179294122853,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.660179294122853,6.4208216229260096,0.0,0.0,31.859887795898697,0.0,0.0,6.559027777777778,0.0,2.21875,0.0,0.0,0.0,1.2222222222222223,0.0,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5.91232,0,2.1663000000000006,32.20499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
