SMILES,name,beta_0C,beta_10C,beta_20C,beta_30C,beta_40C,beta_50C,beta_60C,beta_70C,beta_80C,beta_90C,beta_100C,fit_r2,n_points,flag
CC(=O)O,ethanoic acid,0.0010428480780453,0.001056268081707,0.001070000424268,0.0010840562462184,0.0010984472237712,0.0011131856014585,0.0011282842271378,0.0011437565896174,0.0011596168591331,0.0011758799309319,0.0011925614722439,0.9999913575193736,11,
CC(C)O,2-propanol,0.0009369490154062,0.0009991403459361,0.001063123137721,0.0011290577732936,0.0011971180352121,0.0012674928273438,0.0013403881447622,0.0014160293370238,0.0014946637188706,0.001576563593917,0.0016620297712582,0.999973463817542,11,
CCCO,1-propanol,0.0009002887788321,0.0009398214686144,0.0009804005673344,0.0010220954113316,0.0010649802654248,0.001109134817675,0.0011546447322476,0.0012016022686513,0.0012501069769944,0.0013002664805239,0.0013521973586508,0.9999724322547192,11,
c1ccoc1,furan,0.0013247378163119,0.0013816278126731,0.0014406564730588,0.0015019871164113,0.001565798367581,0.0016322860644511,0.001701665453683,0.0017741737275875,0.0018500729658224,0.0019296535595652,0.002013238213298,0.9999785510253164,11,
C1=CCCC1,cyclopentene,0.0012940147835671,0.0013355734910745,0.0013785882551124,0.0014231520082872,0.0014693653242304,0.0015173372327436,0.0015671861410596,0.0016190408777124,0.0016730418785118,0.0017293425377347,0.0017881107520479,0.999999808853613,11,
C=C1CCC1,methylenecyclobutane,0.0011146312641023,0.0011655065815987,0.0012180313659011,0.0012723271904172,0.0013285259068322,0.0013867708348477,0.0014472181164639,0.0015100382622718,0.0015754179225654,0.0016435619226327,0.0017146956096429,0.9999554721437875,11,
C=CC(=C)C,"2-methyl-1,3-butadiene",0.0010981031187397,0.0012065409472543,0.0013187982123624,0.0014353534490958,0.0015567368962916,0.0016835395693717,0.0018164240940046,0.0019561377356032,0.0021035281838386,0.0022595628174003,0.0024253523982837,0.999868642629086,11,
C=C/C=C\C,"(Z)-1,3-pentadiene",0.0013441359164901,0.0014028190795795,0.0014637430498087,0.0015270817842067,0.0015930258170398,0.001661784361035,0.0017335877322364,0.0018086901584403,0.0018873730441753,0.0019699487814775,0.0020567652162099,0.9999863798429388,11,
C=C/C=C/C,"(E)-1,3-pentadiene",0.0013532083488792,0.0014141954567383,0.0014775371873204,0.0015434204368355,0.0016120502169553,0.0016836519972223,0.0017584744153072,0.0018367924246506,0.0019189109644415,0.0020051692562553,0.0020959458561643,0.9999831394410305,11,
C=CCC=C,"1,4-pentadiene",0.0015425709635593,0.0016188245334756,0.0016984388180527,0.0017817130683374,0.0018689795610482,0.0019606084512383,0.0020570134961716,0.0021586588392325,0.0022660670908974,0.0023798290063135,0.0025006151407304,0.9999812752392252,11,
C1CCCC1,cyclopentane,0.0012029001646907,0.0012507314624926,0.001300192443391,0.0013513969284284,0.001404468411017,0.0014595411506875,0.00151676141649,0.0015762889046139,0.0016382983595095,0.0017029814335455,0.0017705488272985,0.999988691249608,11,
C=CCCC,1-pentene,0.0014987019029982,0.0015753455168812,0.0016552987308092,0.0017388584495303,0.0018263540993316,0.0019181524014681,0.0020146629992541,0.0021163451232904,0.002223715526238,0.0023373579793681,0.0024579347025407,0.9999818765187,11,
CC=C(C)C,2-methyl-2-butene,0.0013559408834995,0.0014496307343146,0.0015471747476644,0.0016489752352295,0.0017554802137294,0.0018671907845983,0.0019846699310073,0.0021085530657301,0.0022395607555722,0.002378514170099,0.002526353965274,0.9999831757709986,11,
C=C(C)CC,2-methyl-1-butene,0.0014775008996166,0.0015526140677626,0.0016309262588368,0.0017127216085962,0.0017983149852909,0.0018880564471726,0.0019823364870853,0.0020815922320394,0.0021863148078213,0.0022970581331422,0.0024144494786885,0.9999784215723958,11,
C/C=C\CC,(Z)-2-pentene,0.0013948955297022,0.0014734365279424,0.0015552008837605,0.0016404862622428,0.0017296224063102,0.0018229758668679,0.0019209555748572,0.0020240194369568,0.0021326821828043,0.0022475247513487,0.0023692055819145,0.9999530600901309,11,
C/C=C/CC,(E)-2-pentene,0.0013923700672335,0.0014689452383379,0.0015486470982785,0.0016317598893401,0.0017185981774804,0.0018095112650718,0.0019048883794238,0.0020051648023586,0.0021108291474909,0.0022224320452942,0.0023405965655351,0.9999769270790114,11,
C=CC(C)C,3-methyl-1-butene,0.0011796103589914,0.0012944774253995,0.0014136734680015,0.0015377466566939,0.0016673077736595,0.0018030415324866,0.0019457202015709,0.0020962201243389,0.0022555419061189,0.0024248352772666,0.002605429969819,0.9998393155994748,11,
O=C1CCO1,"1,3-propiolactone",0.0007814471228821,0.0007985553304737,0.0008160268226984,0.0008338763191043,0.0008521192814374,0.0008707719623512,0.0008898514579672,0.0009093757646483,0.000929363840383,0.0009498356712277,0.0009708123432983,0.9999998540741324,11,
CCCC=O,butanal,0.0011883456101486,0.0012238548512015,0.0012605054669228,0.0012983645860114,0.0013375044000292,0.0013780026585537,0.0014199432232911,0.001463416689518,0.0015085210846072,0.0015553626550395,0.0016040567552745,0.9999946749355076,11,
CCC(C)=O,butanone,0.0012352495117532,0.0012656495244528,0.0012970194484096,0.0013294116506317,0.0013628822361418,0.0013974913897632,0.0014333037560464,0.0014703888623996,0.0015088215912657,0.0015486827081114,0.001590059453083,0.9999995525881354,11,
CCC(C)C,2-methylbutane,0.0014406432405727,0.0015225184511594,0.0016078598483766,0.0016969938007795,0.0017902828294855,0.0018881310719243,0.0019909907447929,0.0020993698278666,0.0022138412481865,0.0023350539196038,0.0024637460918567,0.9999615413501768,11,
CCCCC,pentane,0.0014019259772599,0.0014742200947113,0.001549456362543,0.0016278924089016,0.0017098128269887,0.0017955329881736,0.0018854035086241,0.001979815504854,0.0020792068065464,0.0021840693372979,0.00229495792855,0.9999696089710276,11,
