SMILES,name,fom1_0C,fom1_10C,fom1_20C,fom1_30C,fom1_40C,fom1_50C,fom1_60C,fom1_70C,fom1_80C,fom1_90C,fom1_100C,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC(=O)O,ethanoic acid,105.39120687054633,108.6879767346428,111.5493041517905,113.81279282553301,115.59191601165071,117.0788746054755,118.28576431480096,119.29690815918133,120.13717131663694,120.96231088234663,121.63110689616857,9.0,9.0,0.8333333333333333,-0.8333333333333333,0.4298828832001217,6.25,60.05200000000001,56.02,60.021129368,24,0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.363929068063154,10.854985217204092,1.6509951854331455,-1.5897739953032324,1.4156543939895572,-1.7770437432804933,5.6247797592829265,-0.1339289924624054,0.8112781244591328,2.803039487674051,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819104,0.9277309429819104,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.47,0.8748582995951415,1.1560092559629749,24.059948994465937,5.106527394840706,0.0,0.0,0.0,5.969305287951848,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951848,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792557,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,37.3,5.969305287951848,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.7589395748987852,0,0.0908999999999999,13.3098,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)O,2-propanol,57.73137180515969,64.92386920615638,72.55005830646667,80.32637175397532,88.27078199189428,96.4187105333854,104.77824576003236,113.36426104189178,122.11732534286106,131.07585070126206,140.4055003736486,8.055555555555555,8.055555555555555,0.1666666666666667,-0.1666666666666667,0.4284047940316283,9.0,60.096,52.032,60.057514876,26,0,0.0483476118086921,-0.3937069016405105,0.3937069016405105,0.0483476118086921,1.5,1.5,1.5,16.26364309024246,10.50360186531773,1.6882269952162392,-1.7983014802258803,1.645781102895851,-1.8484367753744553,4.204004313602449,0.2156248273880762,0.8112781244591328,2.3237900077244498,8.0,3.5773502691896257,3.0245638646895836,3.0245638646895836,1.7320508075688772,1.412899428126413,1.412899428126413,1.093748048683948,1.093748048683948,0.0,0.0,0.0,0.0,-0.04,3.2451124978365313,3.96,1.297837837837838,1128.9599999999998,26.263369008818778,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,6.103966387748303,0.0,5.106527394840706,0.0,0.0,0.0,0.0,19.95144078712955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.103966387748303,0.0,0.0,0.0,13.847474399381248,0.0,0.0,5.106527394840706,0.0,0.0,0.0,8.055555555555555,0.0,0.0,0.0,-0.1666666666666667,3.4444444444444446,0.0,1.0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.2848594594594596,0,0.3871,17.354800000000004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCO,1-propanol,68.57202127440921,74.12161119920786,79.99504188024436,86.01502081673709,92.1696362357889,98.49151788583889,104.98349026240776,111.618953950713,118.4424981170245,125.38533841625808,132.64322667692298,7.875,7.875,0.3194444444444444,0.3194444444444444,0.4637839830239684,7.5,60.096,52.032,60.057514876,26,0,0.0427892799205337,-0.3963873506323362,0.3963873506323362,0.0427892799205337,1.75,2.0,2.0,16.24985029953303,10.547573166539824,1.5677116084812672,-1.6891847809432496,1.6080928326075683,-1.6908528015472264,4.096361134654408,0.2947685678579246,1.3709505944546687,1.9747448713915896,5.245112497836532,3.414213562373095,2.861427157873053,2.861427157873053,1.914213562373095,1.5233345472033857,1.5233345472033857,0.7236067977499788,0.7236067977499788,0.2236067977499789,0.2236067977499789,0.0,0.0,-0.04,6.854752972273344,3.96,2.9600000000000004,1.96,26.26336900881878,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.606881964512918,0.0,5.106527394840706,0.0,0.0,0.0,0.0,13.344558822616634,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353625,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,6.606881964512918,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,5.106527394840706,0.0,0.0,0.0,7.875,0.0,0.0,0.0,0.875,2.25,0.0,1.0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2.930400000000001,0,0.3887,17.376800000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1ccoc1,furan,122.88442591874269,127.78671468703033,132.45046366339184,136.77493711087536,140.70136133410585,144.0957009768179,147.17640995870596,149.97253667578082,152.16903924752035,154.22712680909623,155.6585009820267,4.583333333333333,4.583333333333333,1.625,1.625,0.4460314875501461,8.0,68.07499999999999,64.043,68.026214748,26,0,0.0902023545085363,-0.4726377692765221,0.4726377692765221,0.0902023545085363,1.0,1.6,1.8,16.322838790183503,10.690498814349615,1.5846923785346978,-1.498738922124002,1.7925139830361358,-1.163562151457997,4.787660640186304,0.5671124179950146,1.760495029766198,3.1250000000000004,60.12481811269772,3.5355339059327378,2.7176493672223665,2.7176493672223665,2.5,1.4714045207910322,1.4714045207910322,0.793148469923614,0.793148469923614,0.4253807916384657,0.4253807916384657,0.2268046058132573,0.2268046058132573,-0.7200000000000001,22.886435386960574,2.5136448598130845,0.9307991964363704,0.2933636125425802,30.2257323835738,4.417150937053347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,0.0,12.526325991278114,4.417150937053347,0.0,0.0,0.0,0.0,0.0,0.0,24.659060128201332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07621106525468,0.0,0.0,0.0,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.526325991278114,12.13273413692322,4.417150937053347,0.0,4.583333333333333,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.25,0.0,0.0,0.0,5,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0.4679397231280863,1,1.2795999999999998,18.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=CCCC1,cyclopentene,115.5507807789325,118.13120072061153,120.4425768985951,122.32899775440546,123.88922673308859,125.10527442446264,125.98316478293495,126.43743324854901,126.75481136149143,126.64880862439341,126.19106117461357,2.236111111111111,2.236111111111111,1.3194444444444444,1.3194444444444444,0.3790824277485866,20.8,68.119,60.05499999999999,68.062600256,28,0,-0.0347785626624406,-0.0885278779288748,0.0885278779288748,0.0347785626624406,1.0,1.6,1.8,13.908955829948088,10.36872159842522,1.8438377344047745,-1.6866606756717886,2.045512307816636,-1.4971461890918878,4.876292770651706,0.9293512716877672,1.760495029766198,2.3238508690240818,38.0,3.5355339059327378,3.276020881938894,3.276020881938894,2.5,2.1498299142610593,2.1498299142610593,1.4023081805739313,1.4023081805739313,0.9082482904638628,0.9082482904638628,0.5892556509887895,0.5892556509887895,-0.26,22.886435386960574,2.950970464135022,1.2497295661307843,0.5039801313892006,32.5035852997025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667762,19.26246486877803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,0.0,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.6,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737583007561644,1,1.7265,22.990999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C1CCC1,methylenecyclobutane,96.11809210830657,100.69010577569041,105.08139866466493,109.23765195230149,113.07326647825704,116.68038476282838,119.86125086854581,122.7056662545336,125.23312195114578,127.32037507825379,129.0581691673733,3.7604166666666665,3.7604166666666665,1.2916666666666667,1.2916666666666667,0.3790824277485866,22.0,68.119,60.05499999999999,68.062600256,28,0,-0.0319953423415829,-0.0998614140923649,0.0998614140923649,0.0319953423415829,1.4,1.8,1.8,14.07780884020118,9.946819807296825,2.016990886950154,-2.114407407886169,2.2143773204416077,-1.9166403638704463,5.014839381424118,0.6668332557543799,1.2987949406953987,2.3224050495909916,47.058650025961626,3.698670612749268,3.32842712474619,3.32842712474619,2.393846850117352,2.060660171779821,2.060660171779821,1.6035533905932735,1.6035533905932735,1.060660171779821,1.060660171779821,0.4267766952966367,0.4267766952966367,-0.26,10.39035952556319,2.950970464135022,0.8522145467348156,0.3436737121975501,32.5035852997025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152040213667764,19.26246486877803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,12.152040213667764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,12.152040213667764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.835569398847294,0.0,0.0,6.578935683598497,0.0,0.0,0.0,0.0,0.0,1.4351851851851851,0.0,0.0,3.971064814814815,3.7604166666666665,0.0,0.6,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5029719913041312,1,1.7265,22.990999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=C)C,"2-methyl-1,3-butadiene",118.14581042952705,121.63458531112494,124.54488615385745,126.86036348844496,128.73388422539884,130.39380269754994,131.69312071491686,132.7665051613059,133.61828154407942,134.43940501585865,135.06402435304585,3.5555555555555554,3.5555555555555554,1.0185185185185186,1.0185185185185186,0.410514682239005,6.6,68.119,60.05499999999999,68.062600256,28,0,-0.0403835494264105,-0.0988231071835824,0.0988231071835824,0.0403835494264105,1.8,2.0,2.0,13.663201110418695,10.361242455059084,1.5895312911950212,-1.712739217545651,1.8054771631746689,-1.4965000448055628,5.054291012534446,1.5785159751331,1.3787834934861756,3.204805417886435,51.058650025961626,4.284457050376173,3.4915638315627207,3.4915638315627207,2.270055610029662,1.5504768156519495,1.5504768156519495,1.0504768156519495,1.0504768156519495,0.3484617125293379,0.3484617125293379,0.0,0.0,-0.52,9.65148445440323,4.480000000000002,1.767356321839081,3.480000000000002,32.81981342104747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.806996004100142,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,24.806996004100142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,24.806996004100142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5731045300692665,0.0,6.076020106833881,6.923737199690624,13.157871367196996,0.0,0.0,0.0,0.0,0.0,1.0185185185185186,0.0,0.0,1.7222222222222223,8.925925925925926,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5835512643678178,0,1.7485,25.01099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C/C=C\C,"(Z)-1,3-pentadiene",109.68324619606604,114.55118161958094,119.25071716424405,123.61960106700624,127.61788700164983,131.31038468591427,134.60751188429396,137.61041120127678,140.16429647034568,142.29506460975895,143.87515508068225,3.463611111111111,3.463611111111111,1.75,1.75,0.410514682239005,9.0,68.119,60.05499999999999,68.062600256,28,0,-0.0466786580474098,-0.0990771271558352,0.0990771271558352,0.0466786580474098,1.6,2.2,2.2,13.498529479967454,10.526112324028912,1.4151736150000145,-1.557408864821473,1.641391231308492,-1.331044624165146,4.939198525898854,1.743142602221809,1.4056390622295665,2.924418198172918,42.0,4.121320343559642,3.4391575887554247,3.4391575887554247,2.414213562373095,1.6522652263201558,1.6522652263201558,0.7614856834587247,0.7614856834587247,0.3285328532178297,0.3285328532178297,0.1360827634879543,0.1360827634879543,-0.52,11.245112497836532,4.480000000000002,3.4800000000000018,3.480000000000002,32.81981342104747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80699600410014,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,19.075777413358388,6.578935683598497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576388888888889,5.423611111111111,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.118080000000003,0,1.7485,25.01099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C/C=C/C,"(E)-1,3-pentadiene",109.75307122145688,114.58704364581129,119.29072010327084,123.63459162731013,127.68622895884266,131.29279576375228,134.45472823896458,137.27093695642873,139.7658604528175,141.81451645991987,143.29430576619018,3.463611111111111,3.463611111111111,1.75,1.75,0.410514682239005,9.0,68.119,60.05499999999999,68.062600256,28,0,-0.0466786580474098,-0.0990771271558352,0.0990771271558352,0.0466786580474098,1.6,2.2,2.2,13.498529479967454,10.526112324028912,1.4151736150000145,-1.557408864821473,1.641391231308492,-1.331044624165146,4.939198525898854,1.743142602221809,1.4056390622295665,2.924418198172918,42.0,4.121320343559642,3.4391575887554247,3.4391575887554247,2.414213562373095,1.6522652263201558,1.6522652263201558,0.7614856834587247,0.7614856834587247,0.3285328532178297,0.3285328532178297,0.1360827634879543,0.1360827634879543,-0.52,11.245112497836532,4.480000000000002,3.4800000000000018,3.480000000000002,32.81981342104747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.80699600410014,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,19.075777413358388,6.578935683598497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576388888888889,5.423611111111111,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.118080000000003,0,1.7485,25.01099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCC=C,"1,4-pentadiene",116.04106015316974,120.49036429778798,124.8073941615814,128.628511507736,132.15265766882408,135.32623350216585,137.9514694342329,140.19638002748528,141.93027098111932,143.2430183083221,144.0481533265571,3.4791666666666665,3.4791666666666665,0.9166666666666669,0.9166666666666669,0.4323128922897264,6.4,68.119,60.05499999999999,68.062600256,28,0,-0.0174541677218813,-0.1027709432256533,0.1027709432256533,0.0174541677218813,1.2,1.6,1.6,13.593753188222768,10.430579593414524,1.5220570571414571,-1.6422567705776825,1.7334709107720063,-1.4297331947403298,4.785534449048993,1.4232134717068226,1.4056390622295665,2.6531630746803305,29.302968908806463,4.121320343559642,3.276020881938894,3.276020881938894,2.414213562373095,1.6329931618554523,1.6329931618554523,0.8130525295851416,0.8130525295851416,0.3333333333333333,0.3333333333333333,0.1178511301977579,0.1178511301977579,-0.52,11.245112497836532,4.480000000000002,3.4800000000000018,3.480000000000002,32.81981342104747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.157871367196996,12.152040213667762,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,25.309911580864757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,25.309911580864757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,12.152040213667762,13.157871367196996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541666666666667,6.958333333333333,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.118080000000003,0,1.7485,25.01099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
