SMILES,name,FOM1_0C,FOM1_10C,FOM1_20C,FOM1_30C,FOM1_40C,FOM1_50C,FOM1_60C,FOM1_70C,FOM1_80C,FOM1_90C,FOM1_100C
C#N,hydrogen cyanide,204.40061687924407,206.69811933204917,209.49649779646032,212.5993690164736,215.92162292362107,218.89933936791485,221.78016391324832,224.04182563964932,225.4424389759836,225.77713832861832,225.68455497953175
CN,methanamine,221.12678862348875,222.7140884159542,223.98396788465664,224.6181508305307,224.72451214504005,224.73326357065284,224.0924051959508,223.3020551713564,222.07728870578092,221.05911365578524,219.6260347463436
CO,methanol,142.4467365652389,147.57203348624037,152.75642647519058,157.93753923898777,163.05836762133927,168.1338388497829,173.0774318714364,178.0820547735906,182.97470699800064,187.84826013359523,192.70905263621273
NN,hydrazine,193.68291919362335,201.83705550349225,209.8487775318337,217.36219816791973,224.30018495959925,230.8173153669697,236.72546778156115,242.01395211755764,246.9704616620868,251.33301588833336,255.13925708538133
CC#N,acetonitrile,169.46948869513196,171.6869166813098,173.31587656684584,174.33582123508978,175.03599525479834,175.36000881723828,175.42412684394893,175.26402156632554,174.9446766455135,174.5600646251088,174.04560839515307
C1CC1,cyclopropane,189.4251856194173,184.032697758524,180.1814034330964,177.6020280170827,176.3252904504767,175.47999079429076,175.37226882552997,175.5984475030252,176.4686747387404,178.2062007870562,180.69162797475693
C1CO1,oxirane,163.33704661837626,165.45998528030302,167.74957414289702,170.04610252456325,172.4947470762367,174.8876746929129,177.39444134676904,180.01269242787723,182.449837591159,184.9243605220424,187.41649308611537
CC=O,ethanal,195.4735694084813,199.12946912997756,202.2061089830934,204.70191382055904,206.4473743468387,207.52075583641889,208.3401779208142,208.58972959033844,208.4985204668564,208.0426025602001,207.20041347269137
NC=O,formamide,117.56077270362584,126.41462092745591,135.26636246124684,143.6724232781809,151.61747284074153,159.09501582567393,166.15087340422568,172.7798952886485,178.97610815156776,184.8013415472385,190.39741308615163
CNC,N-methylmethanamine,174.6649890473133,177.8870709707799,180.56058508378132,182.77631832664125,184.129435654711,185.02100413384952,185.32670595085935,184.91471807130037,183.9334350293667,182.59755432575352,180.2706293891444
CCO,ethanol,95.65134680284189,101.51113645758149,107.55779307825664,113.58656713164692,119.505326815106,125.2998524261548,130.92602930727668,136.4168288874225,141.70480607179192,146.7781722174626,151.81889158324532
COC,dimethyl ether,195.17370152900173,194.59404885713815,193.4198551854472,191.86601105591703,190.49609827231285,188.40236681958987,186.51013981946917,184.55234052287196,182.61431851993788,180.89178468306017,179.5493731841106
