SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
C#N,hydrogen cyanide,0.191271,0.1875747,0.18368729,0.17958588,0.175270155,0.17074006,0.165996335,0.161037925,0.15586583,0.150480105,0.144902
CN,methanamine,0.20004,0.19515867,0.19012186,0.184911365,0.179527555,0.173969745,0.16823825,0.16233344,0.15625463,0.150002135,0.143595
CO,methanol,0.209408,0.205744005,0.202362355,0.19925716,0.196386995,0.19371323,0.1911987,0.18881146,0.18652003,0.18429841,0.182119
NN,hydrazine,0.339768,0.335605215,0.33147535,0.327371335,0.32328191,0.31919465,0.315099295,0.31098316,0.30683456,0.30264218,0.298401
CC#N,acetonitrile,0.214736,0.207995355,0.20179159,0.1961395,0.19098377,0.18626777,0.181935075,0.17793111,0.17419882,0.17068289,0.167317
N#CN,cyanamide,0.326947,0.323113,0.319329695,0.315595925,0.311901635,0.30823851,0.30459755,0.30097007,0.297347125,0.29371866,0.290079
C1CC1,cyclopropane,0.129567,0.12431735,0.119276965,0.114452855,0.109830965,0.105399925,0.101148853,0.0970649175,0.093134557,0.0893483785,0.0857036
C1CO1,oxirane,0.153002,0.150126885,0.14717785,0.144136665,0.140992385,0.13773264,0.134346745,0.130824385,0.12715393,0.12332364,0.119343
CC=O,ethanal,0.19576,0.19187086,0.18787517,0.183749385,0.179480505,0.175055845,0.170462775,0.165687925,0.16071898,0.15554294,0.150173
NC=O,formamide,0.378757,0.37460512,0.370452805,0.36630012,0.36214812,0.357995805,0.35384312,0.34969112,0.345538805,0.34138612,0.337234
CNC,N-methylmethanamine,0.146775,0.14331679,0.13974121,0.136033945,0.13219568,0.1282261,0.12412452,0.11989157,0.11552799,0.11103241,0.106419
CCO,ethanol,0.171344,0.168774595,0.166320985,0.163963925,0.161674675,0.15942944,0.157210795,0.155006315,0.152807945,0.150610315,0.148411
