SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
C#N,hydrogen cyanide,0.33,0.303,0.279,0.258,0.239,0.223,0.208,0.195,0.184,0.175,0.166
CN,methanamine,0.345,0.318,0.294,0.274,0.257,0.241,0.228,0.216,0.206,0.196,0.188
CO,methanol,0.995,0.856,0.742,0.649,0.573,0.51,0.458,0.413,0.375,0.342,0.313
NN,hydrazine,1.407,1.183,1.003,0.862,0.751,0.661,0.589,0.531,0.482,0.442,0.409
Cl,hydrogen chloride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#N,acetonitrile,0.598,0.528,0.474,0.433,0.4,0.374,0.353,0.336,0.322,0.31,0.3
C1CC1,cyclopropane,0.24,0.224,0.21,0.198,0.186,0.176,0.166,0.157,0.148,0.139,0.131
C1CO1,oxirane,0.355,0.328,0.302,0.278,0.255,0.234,0.214,0.195,0.178,0.162,0.147
CC=O,ethanal,0.341,0.31,0.284,0.262,0.244,0.229,0.215,0.203,0.192,0.182,0.173
NC=O,formamide,5.648,4.273,3.286,2.591,2.088,1.715,1.431,1.211,1.038,0.899,0.784
CNC,N-methylmethanamine,0.376,0.335,0.301,0.272,0.249,0.229,0.212,0.198,0.186,0.175,0.167
CCO,ethanol,2.251,1.846,1.522,1.268,1.068,0.908,0.779,0.673,0.586,0.514,0.452
COC,dimethyl ether,0.223,0.208,0.196,0.186,0.176,0.169,0.162,0.156,0.151,0.147,0.144
CS,methanethiol,0.31,0.275,0.246,0.223,0.203,0.187,0.173,0.161,0.151,0.143,0.135
CCl,chloromethane,0.253,0.239,0.226,0.214,0.202,0.191,0.181,0.171,0.162,0.154,0.146
N#CC#N,ethanedinitrile,0.227,0.208,0.193,0.18,0.169,0.16,0.153,0.147,0.143,0.141,0.141
FNF,difluoroamine,0.182,0.164,0.148,0.135,0.125,0.116,0.108,0.102,0.097,0.093,0.09
C=CC#N,propenenitrile,0.512,0.476,0.444,0.418,0.394,0.374,0.357,0.342,0.328,0.317,0.306
CC#CC,2-butyne,0.444,0.386,0.339,0.301,0.271,0.246,0.225,0.207,0.193,0.18,0.169
C#CCC,1-butyne,0.49,0.431,0.383,0.343,0.31,0.283,0.26,0.241,0.225,0.211,0.199
C=CC=C,"1,3-butadiene",0.293,0.265,0.24,0.219,0.2,0.183,0.168,0.155,0.143,0.133,0.124
C=C=CC,"1,2-butadiene",0.347,0.306,0.271,0.244,0.221,0.202,0.186,0.173,0.162,0.153,0.145
FCl,chlorine monofluroride,0.075,0.077,0.09,0.112,0.106,0.1,0.095,0.091,0.087,0.083,0.079
CCC#N,propanenitrile,0.67,0.609,0.555,0.507,0.465,0.428,0.394,0.365,0.339,0.315,0.294
C/C=C/C,(E)-2-butene,0.351,0.324,0.3,0.279,0.26,0.243,0.227,0.213,0.2,0.188,0.177
C/C=C\C,(Z)-2-butene,0.361,0.334,0.309,0.287,0.267,0.249,0.233,0.219,0.205,0.193,0.182
C=CCC,1-butene,0.324,0.299,0.278,0.258,0.241,0.225,0.211,0.198,0.185,0.174,0.163
C1CCC1,cyclobutane,0.392,0.354,0.321,0.294,0.272,0.253,0.237,0.224,0.213,0.204,0.196
CN1CC1,"aziridine, 1-methyl-",0.651,0.558,0.482,0.421,0.371,0.33,0.296,0.267,0.243,0.223,0.205
NC1CC1,cyclopropanamine,0.578,0.498,0.434,0.382,0.34,0.305,0.276,0.252,0.231,0.214,0.199
CC(C)=O,propanone,0.49,0.446,0.408,0.376,0.348,0.325,0.304,0.286,0.27,0.256,0.244
CCC=O,propanal,0.557,0.487,0.431,0.387,0.35,0.319,0.293,0.27,0.251,0.233,0.218
CC1CO1,methyloxirane,0.476,0.431,0.391,0.356,0.323,0.294,0.267,0.242,0.219,0.198,0.179
CC(C)C,2-methylpropane,0.342,0.313,0.287,0.264,0.244,0.226,0.21,0.196,0.182,0.17,0.158
CCCC,butane,0.337,0.311,0.288,0.267,0.248,0.231,0.216,0.202,0.189,0.177,0.166
CC(N)=O,ethanamide,48.861,29.728,18.587,12.29,8.52,6.148,4.592,3.533,2.788,2.251,1.842
CN(C)C,"N,N-dimethylmethanamine",0.317,0.283,0.255,0.233,0.214,0.198,0.185,0.175,0.166,0.158,0.152
CC(C)N,2-propanamine,0.655,0.569,0.502,0.451,0.411,0.379,0.354,0.333,0.316,0.302,0.291
CCCN,1-propanamine,0.699,0.617,0.548,0.492,0.446,0.408,0.375,0.348,0.324,0.303,0.285
CC(=O)O,ethanoic acid,1.768,1.409,1.15,0.967,0.834,0.733,0.656,0.596,0.549,0.51,0.479
CNNC,"N,N'-dimethylhydrazine",1.009,0.85,0.723,0.623,0.543,0.478,0.424,0.38,0.343,0.312,0.285
CC(C)O,2-propanol,6.036,4.272,3.088,2.303,1.76,1.37,1.082,0.864,0.697,0.566,0.46
CCCO,1-propanol,4.543,3.52,2.748,2.179,1.753,1.427,1.174,0.976,0.818,0.692,0.587
C[N+](=O)[O-],nitromethane,0.7,0.633,0.574,0.522,0.476,0.435,0.399,0.367,0.338,0.313,0.289
CSC,2-thiapropane,0.409,0.373,0.344,0.32,0.3,0.283,0.267,0.252,0.237,0.224,0.211
CCS,ethanethiol,0.484,0.422,0.371,0.33,0.296,0.269,0.246,0.226,0.21,0.196,0.183
CCCl,chloroethane,0.349,0.323,0.301,0.281,0.263,0.247,0.232,0.218,0.204,0.192,0.181
N#CCC#N,propanedinitrile,5.104,3.99,3.158,2.551,2.096,1.75,1.48,1.268,1.098,0.961,0.846
c1cc[nH]c1,pyrrole,2.099,1.687,1.381,1.156,0.986,0.854,0.75,0.665,0.596,0.538,0.488
c1ccoc1,furan,0.495,0.431,0.379,0.337,0.303,0.276,0.253,0.233,0.217,0.202,0.19
C1=CCCC1,cyclopentene,0.553,0.496,0.448,0.409,0.376,0.348,0.324,0.304,0.285,0.269,0.255
C=C1CCC1,methylenecyclobutane,0.494,0.424,0.368,0.323,0.287,0.257,0.233,0.213,0.196,0.182,0.17
C=C=C(C)C,"3-methyl-1,2-butadiene",0.522,0.449,0.39,0.342,0.304,0.273,0.247,0.226,0.208,0.193,0.179
CC=C=CC,"2,3-pentadiene",0.58,0.495,0.427,0.373,0.33,0.294,0.265,0.241,0.221,0.204,0.189
C=CC(=C)C,"2-methyl-1,3-butadiene",0.374,0.342,0.316,0.295,0.277,0.26,0.245,0.231,0.218,0.205,0.193
C=C/C=C\C,"(Z)-1,3-pentadiene",0.546,0.468,0.405,0.355,0.315,0.282,0.255,0.232,0.213,0.197,0.184
