wtt_url_fragment,wtt_name,formula,molar_mass,SMILES,density_0C_g_cm3,density_10C_g_cm3,density_20C_g_cm3,density_30C_g_cm3,density_40C_g_cm3,density_50C_g_cm3,density_60C_g_cm3,density_70C_g_cm3,density_80C_g_cm3,density_90C_g_cm3,density_100C_g_cm3,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK,cpsat_0C_J_K_mol,cpsat_10C_J_K_mol,cpsat_20C_J_K_mol,cpsat_30C_J_K_mol,cpsat_40C_J_K_mol,cpsat_50C_J_K_mol,cpsat_60C_J_K_mol,cpsat_70C_J_K_mol,cpsat_80C_J_K_mol,cpsat_90C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,notes,smiles_source
hydrogen_radical,hydrogen radical,H,1.007947,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pubchem
deuterium._atomic,"deuterium, atomic",D,2.014102,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pubchem
hydrogen,hydrogen,H2,2.016,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,20.3689,,http_no_props,pubchem
hydrogen._diatomic._normal,"hydrogen, diatomic, normal",H2,2.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pre-existing
hydrogen._diatomic._ortho,"hydrogen, diatomic, ortho",H2,2.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pre-existing
para-hydrogen,para-hydrogen,H2,2.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2713,,http_no_props,pre-existing
tritium_atom,tritium atom,T,3.016049,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pubchem
deuterium_hydride,deuterium hydride,HD,3.022101778,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,http_no_props,pubchem
helium,helium,He,4.002602,[He],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22208,,http_no_props,pubchem
tritium_hydride,tritium hydride,HT,4.024049268,[HH],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pubchem
deuterium._diatomic._normal,"deuterium, diatomic, normal",D2,4.028203556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6531,,http_no_props,pre-existing
deuterium._diatomic._ortho,"deuterium, diatomic, ortho",D2,4.028203556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http_no_props,pre-existing
