SMILES,SR-ARE,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,1.0,11.10759345867977,-3.723219416624674,11.10759345867977,0.0730106764928191,0.9002834195387214,258.324,248.244,258.01328418,86,0,0.2649058712178131,-0.493834038312308,0.493834038312308,0.2649058712178131,1.5,2.25,2.875,32.24798212578577,10.303171917150362,2.140438304730868,-2.0012882769839706,2.275493179382527,-2.1080256940124813,7.908623996634702,0.340545079598174,2.5417251486516017,618.7158480810886,11.759148545064338,8.504962905764325,10.137956067619776,7.503349863289461,4.56656155765048,6.929377616499767,3.08732596973987,5.85311009561258,1.8946778014172263,4.232486656880409,1.261949667208535,2.946943845109511,-1.1800000000000002,4725.855771246967,11.309706415889249,4.003138159763861,2.1564283130931607,96.91717495031808,4.736862953800049,5.749511833283905,0.0,4.339655680673546,10.023291153407584,0.0,0.0,18.54074924288409,0.0,11.336785877934735,0.0,25.12283840507545,0.0,16.82350259859828,13.154659938128988,31.57669766542768,0.0,4.9839785209472085,5.138973737607942,11.263392880364169,6.606881964512918,18.19910120538483,5.749511833283905,9.87583669140799,0.0,5.749511833283905,11.336785877934735,20.008657469789064,10.023291153407584,0.0,6.923737199690624,22.538756886058376,0.0,10.216620634085364,82.28,10.023291153407584,8.417796984328938,0.0,4.339655680673546,17.873094515413086,16.036705794403836,0.0,18.19910120538483,6.923737199690624,4.9839785209472085,9.87583669140799,28.1945385330058,1.0401634542705969,3.935218726379441,5.006232442050894,0.6087759826152683,0.6940920256991687,5.217416855631141,0.0,2.443448063639036,-3.723219416624674,0.2222222222222222,16,2,5,0,0,0,1,1,2,5,1,7,3,0,0,0,2,1.3424,62.16220000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0.0,11.165774675610985,-0.3697242693373643,11.165774675610985,0.2071439200680274,0.6662692979783309,288.475,256.21899999999994,288.245315644,118,0,0.0700869379971453,-0.3893245922913594,0.3893245922913594,0.0700869379971453,1.1428571428571428,2.0,2.8095238095238093,16.28663137979471,9.502103717062557,2.607977192102553,-2.5539150367276164,2.649710615880698,-2.518663042366021,5.19205310199195,-0.118588669848447,1.636467666698343,452.7547674940224,14.664925939000156,13.905032753313566,13.905032753313566,10.089265163677693,9.502193997413375,9.502193997413375,8.669268410652277,8.669268410652277,8.284267667842808,8.284267667842808,6.994399715416033,6.994399715416033,-0.3,105497.87086948728,14.302307322544465,4.84692990170901,1.8537925503635908,129.75445730725994,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4965990362844,93.29483088330248,0.0,5.601050810983688,5.106527394840706,0.0,0.0,0.0,29.086614654042357,83.65674143962505,0.0,11.64912463690315,0.0,0.0,0.0,0.0,0.0,10.707578205824394,0.0,29.086614654042357,78.05569062864136,11.64912463690315,0.0,0.0,20.23,0.0,5.106527394840706,0.0,11.016041280380469,0.0,36.51326743049759,51.36657298340809,0.0,5.573104530069267,19.92349450621513,0.0,0.0,0.0,0.0,11.165774675610985,1.6520985948391709,3.5640759637188197,0.0,15.49386352476788,4.624187241063143,0.0,0.9,21,1,1,4,0,4,0,0,0,1,1,1,1,3,0,3,4,5.090300000000005,86.94380000000007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,10.251875,-5.197723765432099,10.251875,0.3834876543209877,0.3655829600006943,206.027,197.963,205.974525856,68,0,0.3686319939678359,-0.3677349932814842,0.3686319939678359,0.3677349932814842,1.0,1.181818181818182,1.181818181818182,31.244088726682904,10.852331877889094,2.546591432255275,-2.2387996441509506,2.664163089548956,-2.231941953560101,7.714592451672556,0.1458475918942705,5.079498628795793,206.82512869394384,9.5,5.446991749427433,7.235846131427265,4.5,2.335968764920048,5.560692699260184,2.0588786496560663,6.329422353468237,1.103644378420567,4.874143713018236,0.1696963410006887,1.5272670690061991,0.26,88.55198210197693,11.259999999999998,2.638564941834449,2.0994518030301026,62.00124273590192,24.680173805850607,0.0,0.0,0.0,5.083227620067512,15.19152465357577,9.130096569862658,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,33.810270375713266,15.19152465357577,0.0,0.0,0.0,12.006964819758135,0.0,0.0,0.0,0.0,0.0,0.0,15.19152465357577,29.76340142591812,9.130096569862658,0.0,6.923737199690624,0.0,0.0,0.0,135.29000000000002,20.274752273643283,9.130096569862658,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,24.680173805850607,20.50375,0.0,32.999722222222225,5.3695987654321,0.0,0.0,0.0,0.0,0.3834876543209877,-10.395447530864196,1.0,11,5,7,0,0,0,0,0,0,3,5,9,2,0,0,0,0,-0.9922000000000002,34.712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=S(=O)(Cl)c1ccccc1,0.0,10.598302469135804,-3.5306018518518507,10.598302469135804,0.135802469135803,0.6097236773026035,176.62400000000002,171.58399999999995,175.96987808,54,0,0.260805862138789,-0.206912313579624,0.260805862138789,0.206912313579624,1.1,1.6,1.9,35.73294297380985,10.371043620050658,2.0591386243531367,-1.905915723938047,2.1189384485088074,-1.8725898026157957,8.133478465298177,0.6093643577145221,3.2186466288823383,303.7795180972205,7.612884175122366,4.989460690348945,6.561886217295128,4.605171715522539,2.6024444310503165,4.911786187877581,1.7509004106465742,4.3168396894652,1.0247423355372776,2.394504687072735,0.5830407889180501,1.3738734513028616,-0.54,165.63732925805002,7.56570824524313,2.5987104822168603,1.7183583740497963,63.86387098136106,0.0,0.0,0.0,0.0,9.050820825821477,0.0,0.0,8.417796984328938,0.0,0.0,18.19910120538483,12.13273413692322,10.682389259889488,4.895483475517775,8.417796984328938,19.733210085710965,0.0,0.0,0.0,4.895483475517775,0.0,30.33183534230805,0.0,0.0,0.0,0.0,10.682389259889488,8.417796984328938,9.050820825821477,0.0,0.0,35.227318817825825,0.0,0.0,34.14,9.050820825821477,8.417796984328938,0.0,4.895483475517775,0.0,0.0,12.13273413692322,18.19910120538483,0.0,0.0,10.682389259889488,21.196604938271605,0.0,0.135802469135803,0.0,0.0,0.0,7.861867283950618,0.0,0.0,1.50016975308642,0.0,10,0,2,0,0,0,1,0,1,2,0,4,1,0,0,0,1,1.6141,39.480800000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,1.0,10.775986052193767,-0.8580030862462318,10.775986052193767,0.0105246736415207,0.4893044482396905,621.9340000000001,612.8620000000001,621.7635027680001,110,0,0.30731606767834,-0.5068453544546648,0.5068453544546648,0.30731606767834,1.0476190476190477,1.6666666666666667,2.1904761904761907,126.9147402738889,10.140317789929703,2.122022015892288,-2.119169400362724,2.34317695095632,-2.0162585062664364,14.114771969697168,-0.1357317712870606,2.3121998069271603,677.608742370278,15.568549621822845,10.438675318090002,16.911170191618968,9.863081100704113,5.726373931987979,8.962621368752462,4.174384678835257,7.660956725997712,2.552477976472122,5.019097904999225,1.6555285128941544,4.259544998259924,-0.3000000000000001,38422.043744192095,17.06016904160207,7.3092478434784445,4.582269524608543,161.8674307514278,14.94991774348146,11.49902366656781,5.749511833283905,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,103.66789871520922,0.0,17.131368436122198,19.744454927553285,73.74191716915601,0.0,0.0,0.0,6.4208216229260096,0.0,46.60583364720124,17.248535499851716,4.736862953800049,0.0,17.248535499851716,67.77261188120417,16.182360077633263,11.21535880699783,10.710546813196189,5.563451491696996,30.33183534230805,0.0,0.0,66.76,5.969305287951849,9.901064578912528,0.0,12.170333456209914,15.069205937633209,12.703816033827788,0.0,30.33183534230805,22.590870627068057,45.181741254136114,9.843390348640757,8.255790897464996,6.2826334255424445,10.775986052193767,18.36672284811975,0.7397561833375326,0.6651405729458407,8.617828027370523,-0.0105246736415207,0.0,0.0,0.0714285714285714,21,2,4,0,0,0,2,0,2,3,2,7,4,0,0,0,2,4.625400000000002,104.1136,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,8.766203703703704,-1.4907407407407411,8.766203703703704,0.6406481481481481,0.2963895134660185,152.146,140.04999999999998,152.068473484,62,0,0.1101980451640111,-0.3935791369356992,0.3935791369356992,0.1101980451640111,0.8,1.1,1.3,16.384318468675577,10.11019465560095,2.2218604078542654,-2.185681291265348,1.974760576120942,-2.4075191473374944,4.726995434154113,-0.0900122236607212,3.685406534013343,76.10749561002055,8.146264369941973,5.382332347441762,5.382332347441762,4.629427617536366,2.8902154488695526,2.8902154488695526,1.9904361478610724,1.9904361478610724,1.1625677910153454,1.1625677910153454,0.4724282147491929,0.4724282147491929,-0.2,139.79835167144978,9.8,4.590123456790124,2.5902901465096244,58.17018824639602,25.532636974203527,18.31189916324491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,25.532636974203527,0.0,0.0,0.0,0.0,18.31189916324491,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,57.05830006647426,0.0,0.0,0.0,0.0,0.0,0.0,101.15,31.525663092270744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.532636974203527,0.0,0.0,0.0,42.57361111111111,0.0,0.0,0.0,-4.292314814814816,-1.2812962962962962,0.0,1.0,10,5,5,0,0,0,0,0,0,5,5,5,4,0,0,0,0,-2.9463000000000004,32.191999999999986,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.0,9.920883015243136,-0.9199088246409672,9.920883015243136,0.0,0.3985100287167373,351.8019999999999,321.56199999999995,350.14355164,120,0,2.0,-0.5501718609055201,2.0,0.5501718609055201,0.6190476190476191,0.9047619047619048,1.1428571428571428,16.55371090226356,10.107287015233975,2.1572703864426384,-2.127318290130443,2.228343826261751,-2.1983755598136003,5.932655863317744,0.031696790147237,-2.9454544667603325e-07,208.3168659129695,15.639981912617824,13.825381317280574,16.792509150268792,9.540111220059323,7.937816924487369,7.937816924487369,5.072444060602482,5.072444060602482,2.968908462243684,2.968908462243684,1.74578191578136,1.74578191578136,-0.4366233766233767,13761.926273844849,25.513264579179463,21.854543488911045,32.803803509885114,142.01405364435234,19.802129157825057,0.0,0.0,0.0,0.0,19.477968898871303,0.0,0.0,0.0,0.0,65.21404738278933,25.68328649170404,11.9386105759037,0.0,39.28009805669636,11.9386105759037,0.0,0.0,0.0,90.89733387449338,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,11.9386105759037,29.067043267014945,0.0,90.89733387449338,0.0,0.0,0.0,80.25999999999999,11.9386105759037,19.802129157825057,0.0,32.31961214472332,0.0,38.524929737556064,25.68328649170404,0.0,0.0,13.847474399381248,0.0,0.0,0.0,19.84176603048627,19.84176603048627,0.0,-1.8398176492819345,0.0,11.214318783068784,4.275300138573948,0.0,0.875,21,0,4,0,0,0,0,0,0,4,0,5,12,0,0,0,0,2.1911000000000005,76.76600000000006,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,11.560870653817082,-0.8180654761904764,11.560870653817082,0.2016439909297054,0.578029884636738,354.1,343.01199999999994,353.97126945200006,94,0,0.3300074157703424,-0.3935688359788516,0.3935688359788516,0.3300074157703424,1.588235294117647,2.294117647058824,2.8823529411764706,126.91270435690046,10.170003736779384,2.3449598863663663,-2.1375602717698894,2.2665509027857467,-2.332497675642047,14.11190835347684,-0.0459495406788159,2.335396041923273,524.8528777321774,12.57698579026012,8.66796477003229,10.825463061208612,8.024075805453151,4.979819620087545,6.058568765675706,3.758392526268739,4.920583208656224,2.618683077514236,3.387100942880697,1.7248777727695055,2.1597977598349702,-0.71,7965.508655134308,12.739314771557623,4.881735942153658,2.436855947276368,109.1864450414692,14.94991774348146,12.331867558483172,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,0.0,22.590870627068057,12.617665194539086,16.281030623326615,14.94991774348146,22.590870627068057,0.0,9.551078168738565,0.0,24.85665556915748,6.606881964512918,30.605110504077597,0.0,11.24901029325548,0.0,0.0,22.590870627068057,38.578947698429495,4.736862953800049,3.5701822710653963,12.64872279366088,15.78591793975672,0.0,0.0,104.55,29.68484423948696,14.69560176298435,0.0,13.027703587438928,3.5701822710653963,0.0,10.763943219404432,22.590870627068057,0.0,4.9839785209472085,9.843390348640757,6.886940192743764,1.801990479339884,24.89787942491812,18.49872777042916,-1.0460098188040647,0.0,0.0,-0.6068918367346952,-0.3126362118921639,0.0,0.5555555555555556,17,3,7,0,1,1,0,1,1,6,3,8,2,0,1,1,2,-1.2181000000000002,65.65930000000002,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)COC(=O)C(C)C,0.0,10.825046296296296,-0.103055555555555,10.825046296296296,0.0011574074074076,0.5648358693923418,144.21399999999997,128.08599999999998,144.115029752,60,0,0.3078709757987153,-0.4652133415325127,0.4652133415325127,0.3078709757987153,1.3,1.8,2.1,16.533740612593785,10.201851763261232,2.074058789991652,-2.077395786033552,1.986530149310611,-2.1429885074113333,5.709194101108372,-0.147890958062215,3.4037533061532064,105.82521876648651,8.146264369941973,7.178303900493526,7.178303900493526,4.536581260209188,3.703247926875855,3.703247926875855,3.178587216189526,3.178587216189526,1.030330085889911,1.030330085889911,0.4154665466377908,0.4154665466377908,-0.53,111.0417522239666,9.47,4.311528394676563,4.3587538349811625,62.568913158156434,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,27.694948798762496,5.917906046161393,0.0,12.52478801067431,9.53140013787187,5.969305287951849,0.0,0.0,11.835812092322788,27.694948798762496,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,11.835812092322788,27.694948798762496,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.887211334113244,12.52478801067431,0.0,0.0,0.0,27.694948798762496,0.0,4.736862953800049,4.925925925925926,0.0,10.825046296296296,0.0,0.0,0.3288425925925927,0.0,0.0,8.25351851851852,0.0,0.875,10,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.8416,40.635000000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,10.841575018896448,-0.4894685374149661,10.841575018896448,0.0324537037037033,0.3784671259823138,198.218,184.106,198.089208928,78,0,0.3327282809061663,-0.4587229859907454,0.4587229859907454,0.3327282809061663,0.9285714285714286,1.2142857142857142,1.4285714285714286,16.574273298442453,10.353759862568126,2.0469489369838976,-2.048672753818678,1.939138753980063,-2.1378757628482337,5.87171961085844,-0.1467541204395295,3.571887516567356,237.29556359515863,11.137828201504696,8.461420286601642,8.461420286601642,6.447264862732148,4.1009536313038994,4.1009536313038994,2.8324985539690277,2.8324985539690277,1.2465696011191056,1.2465696011191056,0.5151283791960047,0.5151283791960047,-1.58,819.1139966635345,12.42,5.963085289540455,5.134102003149425,83.19465865213179,9.473725907600098,13.213763929025836,0.0,0.0,0.0,11.9386105759037,0.0,9.589074368143644,0.0,0.0,13.157871367196996,13.847474399381248,11.146209060138537,0.0,19.06280027574374,11.9386105759037,0.0,0.0,0.0,13.847474399381248,13.213763929025836,24.30408042733553,0.0,0.0,0.0,0.0,0.0,25.152374504929533,19.06280027574374,0.0,13.847474399381248,24.30408042733553,0.0,0.0,52.6,11.9386105759037,9.589074368143644,0.0,13.213763929025836,11.146209060138537,0.0,0.0,13.847474399381248,0.0,22.63159727479709,0.0,9.376447467876035,0.0,21.683150037792892,0.0,0.6319032921810706,-0.9789370748299318,0.0,0.0,9.954102943646594,0.0,0.4,14,0,4,0,0,0,0,0,0,4,0,4,5,0,0,0,0,1.225,51.54600000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
