SMILES,FOM1_sat_100,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C#C/C(C)=C/C,86.09299232783597,4.96425925925926,4.96425925925926,0.9953703703703707,0.9953703703703707,0.38745248692348655,10.5,80.12999999999998,72.06599999999999,80.062600256,32,0,-0.005609130832372103,-0.11502806104041981,0.11502806104041981,0.005609130832372103,1.8333333333333333,2.3333333333333335,2.3333333333333335,13.714413975582444,10.310728527315225,1.6648200158198476,-1.7399442119017345,1.8270367530268201,-1.5820062126422412,5.20541172219219,1.524985111152364,1.650022421648354,3.613740815318512,91.09616281328596,4.99156383156272,4.1547005383792515,4.1547005383792515,2.808060412490447,1.9047005383792515,1.9047005383792515,1.1160254037844386,1.1160254037844386,0.6606836025229592,0.6606836025229592,0.08333333333333336,0.08333333333333336,-0.7000000000000001,19.80026905978025,5.3,2.532558139534884,1.603030303030303,38.873583959487604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,11.996454425689524,19.420578929450514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,11.649124636903148,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,13.847474399381248,11.649124636903148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5731045300692665,0.0,0.0,19.92349450621513,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,0.9953703703703707,2.4756944444444446,0.0,6.867037037037037,3.828564814814815,0.0,0.3333333333333333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237093023255814,0,1.5857999999999999,28.26399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C(C)=C/CC,86.93087033749211,5.0398148148148145,5.0398148148148145,1.0300925925925928,1.0300925925925928,0.435685114832598,10.714285714285714,94.15699999999998,84.07699999999998,94.07825032,38,0,-0.005341496400738039,-0.1150278893556043,0.1150278893556043,0.005341496400738039,1.8571428571428572,2.4285714285714284,2.5714285714285716,13.7699327099605,10.256201267245661,1.718588236039362,-1.7960766561881876,1.889243017769406,-1.6291508925288016,5.212610337900207,1.2024071966452512,1.679822907155627,3.566363899739213,101.69694286392863,5.698670612749268,4.8618073195657985,4.8618073195657985,3.308060412490447,2.4427053408400363,2.4427053408400363,1.4397227048854204,1.4397227048854204,0.7379812637105687,0.7379812637105687,0.36511178294677626,0.36511178294677626,-0.7000000000000001,31.916635235956914,6.3,3.488679245283018,3.1215251487290425,45.23852607388421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,18.92019162538015,18.9176633526859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,11.649124636903148,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,20.268296022307258,11.649124636903148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.993926152995275,0.0,0.0,12.999757306524504,12.844171518546268,6.423349895620259,0.0,0.0,0.0,0.0,1.0300925925925928,2.526944444444444,0.0,8.105324074074074,4.004305555555556,0.0,0.42857142857142855,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.1398113207547165,0,1.9759,32.880999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C=C/C,101.30445031819195,4.802222222222222,4.802222222222222,1.6527777777777777,1.6527777777777777,0.37253922246462745,8.0,66.10300000000001,60.05499999999999,66.046950192,26,0,-0.016436500227297784,-0.11530662498844554,0.11530662498844554,0.016436500227297784,1.8,2.4,2.4,13.47179838588594,10.55273291958927,1.4061373733879217,-1.5137689716446165,1.5793845862301377,-1.3486130678478652,5.0655512599130885,1.762233281821798,1.4056390622295665,3.044400719010069,62.59772060569361,4.121320343559642,3.232050807568877,3.232050807568877,2.414213562373095,1.488033871712585,1.488033871712585,0.6666666666666669,0.6666666666666669,0.2628917115316044,0.2628917115316044,0.09622504486493767,0.09622504486493767,-0.7000000000000001,11.245112497836532,4.300000000000001,3.3,3.3,32.50864184509099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,11.996454425689524,12.999757306524504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.152040213667762,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,6.923737199690624,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,12.999757306524504,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,0.0,2.3368055555555554,0.0,8.274444444444445,1.88875,0.0,0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.838,0,1.1957,23.64699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C=C/C=C,101.71283052297048,4.83,4.83,1.5902777777777777,1.5902777777777777,0.32792898282344696,7.833333333333333,78.114,72.06599999999999,78.046950192,30,0,-0.012181131223046954,-0.11529505730107915,0.11529505730107915,0.012181131223046954,1.6666666666666667,2.3333333333333335,2.5,13.529028886323745,10.496185646428069,1.4650433708358017,-1.5688162105561907,1.6488576771605306,-1.3923141119954712,5.131511898320273,2.047101586590204,1.6143308351592656,3.2618700080453777,91.09616281328596,4.82842712474619,3.5165078579450504,3.5165078579450504,2.914213562373095,1.6522652263201558,1.6522652263201558,0.7614856834587247,0.7614856834587247,0.32853285321782977,0.32853285321782977,0.12359693729953278,0.12359693729953278,-0.9600000000000001,20.986300857070454,5.04,4.04,3.04,38.183980927303345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,24.651410216121903,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.806996004100142,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,0.0,24.806996004100142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.228060320501644,0.0,12.499370002454143,6.423349895620259,0.0,0.0,0.0,0.0,0.0,2.316805555555556,0.0,9.76736111111111,3.4158333333333335,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.3935999999999997,0,1.3618000000000001,28.169999999999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C=C/CC,99.7438154373326,4.877777777777778,4.877777777777778,1.0319444444444446,1.0319444444444446,0.41940783452742547,8.666666666666666,80.13000000000001,72.06599999999999,80.062600256,32,0,-0.016168503649420178,-0.11530645410263222,0.11530645410263222,0.016168503649420178,1.8333333333333333,2.5,2.6666666666666665,13.611407006550705,10.413805946400997,1.5482747202157368,-1.6497679564784435,1.7361979056699768,-1.466149590787386,5.0749846150078115,1.226238142425842,1.6143308351592656,3.0160614900204057,72.52932501298082,4.82842712474619,3.9391575887554247,3.9391575887554247,2.914213562373095,2.02603867417337,2.02603867417337,0.9772838841927124,0.9772838841927124,0.4497784354582115,0.4497784354582115,0.18589251194173514,0.18589251194173514,-0.7000000000000001,20.986300857070454,5.3,4.300000000000001,3.3,38.873583959487604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,18.92019162538015,12.49684172975989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,12.152040213667762,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,13.344558822616634,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,6.076020106833881,12.999757306524504,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,0.0,2.3880555555555554,0.0,9.562500000000002,2.0494444444444446,0.0,0.3333333333333333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.798333333333334,0,1.5857999999999999,28.26399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C=C/c1ccccc1,70.791626021253,5.039549319727891,5.039549319727891,1.1393055555555558,1.1393055555555558,0.5090665530890782,9.5,128.17399999999998,120.10999999999997,128.062600256,48,0,-0.011564284750824251,-0.11529470500625556,0.11529470500625556,0.011564284750824251,1.2,1.9,2.5,13.834870891897717,10.193418847819833,1.779344765236284,-1.8625720059335045,1.988950004129441,-1.6549303251851846,5.5124136354823445,1.6627177327323341,2.029573889867405,2.789949981500122,249.11684126423842,7.234204518682008,5.618802153517007,5.618802153517007,4.931851652578137,3.110042339640732,3.110042339640732,1.9106836025229597,1.9106836025229597,1.1715809593399946,1.1715809593399946,0.7084875972073652,0.7084875972073652,-1.48,251.66716234355823,6.6373708920187795,3.527273497634347,1.7951232488542552,61.2007939367584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,36.252269661163695,17.71549170536476,0.0,0.0,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,41.97130694083893,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,5.563451491696996,36.407855449141934,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,6.076020106833881,36.407855449141934,5.920434318855644,6.423349895620259,0.0,0.0,0.0,0.0,1.1393055555555558,2.4356207482993195,9.959598450491308,8.632141912320485,0.0,0.0,0.0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.3411822441387486,1,2.333,44.30900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#C/C=C1\CC=CCC1,79.91140527268978,5.108871882086168,5.108871882086168,1.0597222222222222,1.0597222222222222,0.3379324205357543,21.88888888888889,118.17899999999999,108.09899999999998,118.07825032,46,0,-0.012632980091630382,-0.1152962004365609,0.1152962004365609,0.012632980091630382,1.5555555555555556,2.4444444444444446,3.0,14.015533460747472,10.011912844494487,1.9609560634686112,-2.0432606686874113,2.1515022661122596,-1.8527080179126636,5.214714613040489,0.901162789537096,1.9100860088599134,2.556006139261677,176.70521621571413,6.52709773749546,5.430721420318147,5.430721420318147,4.431851652578137,3.2229620992320456,3.2229620992320456,2.1834563250457126,2.1834563250457126,1.4662824694829701,1.4662824694829701,0.9722954694523401,0.9722954694523401,-0.9600000000000001,145.16653667335342,6.164378109452736,3.1427488448586414,1.7740518404469767,56.27297611696394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,23.64557906259267,25.33848497561191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,0.0,23.80116485057091,0.0,12.343784214475903,0.0,0.0,0.0,0.0,0.0,0.0,12.343784214475903,19.26246486877803,23.80116485057091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,5.5731045300692665,0.0,6.076020106833881,18.072474532523405,6.423349895620259,0.0,0.0,0.0,0.0,1.388888888888889,2.5414814814814815,0.0,14.736296296296297,0.0,0.0,0.3333333333333333,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.152565798083831,1,2.2861000000000002,39.90700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CC#CC#C,74.82504467016659,4.695416666666667,4.695416666666667,2.065,2.065,0.36134540242191915,3.0,74.08199999999998,72.06599999999999,74.015650064,26,0,-0.001339700544341829,-0.105811280915533,0.105811280915533,0.001339700544341829,0.8333333333333334,1.1666666666666667,1.3333333333333333,13.434017017499217,10.591212143487471,1.4089745318772213,-1.4347370204349652,1.4247170174992168,-1.4180878565125272,5.311017017499216,2.4682121434874755,1.6143308351592656,3.603376684306684,133.19311924156366,4.82842712474619,3.1547005383792515,3.1547005383792515,2.914213562373095,1.3273502691896257,1.3273502691896257,0.5386751345948129,0.5386751345948129,0.20683756729740643,0.20683756729740643,0.07216878364870323,0.07216878364870323,-1.32,20.986300857070454,4.68,3.6799999999999993,2.6799999999999993,37.5616377753904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,23.681737275422577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.528437066663095,0.0,0.0,0.0,0.0,0.0,0.0,36.528437066663095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.681737275422577,12.846699791240518,0.0,0.0,0.0,0.0,0.0,8.609166666666667,0.0,9.390833333333333,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8703999999999996,0,0.2562,25.441999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C#CC#CC#CC#C,58.77659553944503,4.767695578231293,4.767695578231293,2.0943877551020407,2.0943877551020407,0.3811154432599482,3.25,98.10399999999997,96.08799999999998,98.015650064,34,0,-4.361604601161778e-05,-0.10581127593136569,0.10581127593136569,4.361604601161778e-05,0.625,1.0,1.25,13.498638883630177,10.528267814100687,1.4806738453903894,-1.4902991435210609,1.489338883630171,-1.4810321858993165,5.375638883630169,2.4052678141006822,1.8088121254443208,3.8503315411465198,216.86456071487643,6.242640687119286,4.1547005383792515,4.1547005383792515,3.914213562373095,1.8273502691896257,1.8273502691896257,0.7886751345948129,0.7886751345948129,0.33183756729740643,0.33183756729740643,0.13466878364870322,0.13466878364870322,-1.76,61.499612265106904,6.24,5.24,4.24,49.29074739604288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,35.522605913133866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.36930570437438,0.0,0.0,0.0,0.0,0.0,0.0,48.36930570437438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.522605913133866,12.846699791240518,0.0,0.0,0.0,0.0,0.0,13.464608843537412,0.0,9.535391156462584,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0872,0,0.2596,33.217999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C#CC#CC#CC#CC#C,55.66845349840038,4.809651596749811,4.809651596749811,2.1064814814814814,2.1064814814814814,0.4042638246635675,3.4,122.12599999999996,120.10999999999997,122.015650064,42,0,-6.734006704808994e-07,-0.10581127593133373,0.10581127593133373,6.734006704808994e-07,0.5,0.8,1.1,13.531739514630736,10.496831029004921,1.5167981896223024,-1.518475661531873,1.522439514630736,-1.5124689709950818,5.408739514630729,2.3738310290049247,1.9671544718900458,4.007813438398581,314.4478355431303,7.6568542494923815,5.154700538379252,5.154700538379252,4.914213562373096,2.327350269189626,2.327350269189626,1.0386751345948129,1.0386751345948129,0.45683756729740643,0.45683756729740643,0.19716878364870322,0.19716878364870322,-2.2,175.07674799821407,7.8,6.799999999999999,5.800000000000001,61.01985701669536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.846699791240518,0.0,47.363474550845154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.210174342085665,0.0,0.0,0.0,0.0,0.0,0.0,60.210174342085665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.363474550845154,12.846699791240518,0.0,0.0,0.0,0.0,0.0,18.380696806500378,0.0,9.619303193499622,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.303999999999999,0,0.263,40.99399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
